,maxval,maxdate,maxarg
1981,6.4313955,1981-03-23,173
1982,20.814856,1982-02-17,139
1983,6.058057,1983-01-21,112
1984,2.7361498,1984-01-29,120
1985,9.788105,1984-12-31,91
1986,5.2000003,1986-01-31,122
1987,9.746442,1987-01-30,121
1988,16.356369,1988-01-27,118
1989,4.019685,1988-12-21,81
1990,6.5711637,1989-12-30,90
1991,5.115962,1990-10-11,10
1992,1.3787427,1991-11-12,42
1993,9.417597,1992-12-05,65
1994,9.674875,1994-09-30,364
1995,10.713692,1994-10-05,4
1996,3.7747161,1996-01-19,110
1997,7.5301695,1997-09-30,364
1998,9.853122,1997-10-04,3
1999,12.615571,1998-11-08,38
2000,3.9879682,1999-11-15,45
2001,11.517834,2001-09-28,362
2002,12.544067,2002-08-27,330
2003,4.053317,2003-09-30,364
2004,17.368515,2003-11-02,32
2005,4.6466208,2004-12-02,62
2006,11.463796,2006-08-09,312
2007,9.380557,2007-08-30,333
2008,3.7517292,2008-08-06,310
2009,7.182657,2009-07-22,294
2010,8.427507,2010-07-23,295
2011,5.105938,2011-09-30,364
2012,6.3780622,2012-08-23,327
2013,1.1488417,2012-10-09,8
2014,5.8793216,2013-12-08,68
2015,4.960903,2014-10-21,20
2016,2.2565446,2015-12-14,74
2017,9.516952,2016-12-01,61
2018,12.734256,2017-10-31,30
2019,7.820189,2018-11-04,34
2020,6.222192,2020-09-30,365
2021,13.006799,2020-10-17,16
2022,5.4177017,2022-09-11,345
2023,19.45589,2022-11-25,55
2024,3.046818,2024-09-07,342
2025,8.273261,2025-09-20,354
2026,6.068918,2025-11-30,60
2027,1.8481294,2027-09-11,345
2028,4.349706,2028-07-21,294
2029,0.91139704,2029-08-19,322
2030,0.8721352,2030-08-06,309
2031,13.232997,2031-09-16,350
2032,9.533289,2031-10-01,0
2033,4.8024573,2033-09-03,337
2034,3.1777782,2034-06-10,252
2035,2.239134,2035-08-13,316
2036,4.482476,2036-08-20,324
2037,5.6391025,2037-06-23,265
2038,5.3409643,2038-06-14,256
2039,1.7168429,2039-09-21,355
2040,1.441515,2040-08-06,310
2041,1.778097,2041-06-26,268
2042,2.6087162,2042-07-09,281
2043,2.8844109,2043-05-14,225
2044,0.34839615,2044-05-27,239
2045,1.0225358,2045-07-16,288
2046,11.513385,2046-07-05,277
2047,3.998517,2047-04-25,206
2048,2.341629,2048-06-09,252
2049,0.700057,2049-05-29,240
2050,3.1195712,2050-06-25,267
2051,6.908294,2051-06-22,264
2052,7.1676893,2052-03-25,176
2053,5.340054,2053-04-20,201
2054,8.3557876e-05,2054-07-10,282
2055,1.9313927,2055-04-30,211
2056,2.7689118,2056-02-24,146
2057,3.053886,2057-05-03,214
2058,0.00015092573,2058-05-27,238
2059,0.37649325,2059-04-25,206
2060,1.9673135,2060-03-07,158
2061,1.1268507,2061-01-27,118
2062,5.6103764,2062-03-31,181
2063,0.08741664,2063-02-28,150
2064,1.5334419,2064-02-01,123
2065,6.034076,2065-04-08,189
2066,8.260065,2066-02-28,150
2067,1.4515261e-05,2067-01-27,118
2068,0.29793513,2067-12-31,91
2069,6.828267e-05,2069-01-11,102
2070,2.5989404,2070-02-01,123
2071,0.42869824,2071-01-11,102
2072,3.4722593,2072-02-23,145
2073,4.973307,2073-02-23,145
2074,2.2013118,2074-01-04,95
2075,3.5298793,2074-12-30,90
2076,3.3313894,2076-01-10,101
2077,1.3341266,2076-12-31,91
2078,2.6072059,2078-01-10,101
2079,2.2375722,2078-11-22,52
2080,1.1340859,2079-12-01,61
2081,10.683109,2080-11-30,60
2082,1.1440202,2081-11-24,54
2083,2.420353e-05,2082-12-07,67
2084,4.4742556,2083-10-14,13
2085,9.042101,2084-11-24,54
2086,6.9673543,2085-10-16,15
2087,4.2219796,2086-10-30,29
2088,0.4444864,2087-10-01,0
2089,0.0007601616,2088-10-28,27
2090,3.1829312,2089-10-28,27
2091,0.0,2090-10-01,0
2092,1.7219528,2091-11-04,34
2093,0.16947745,2092-11-12,42
2094,2.4239624,2094-09-25,359
2095,0.011987284,2095-07-08,280
2096,5.556965e-05,2095-11-07,37
2097,1.1716721,2097-08-29,332
