,maxval,maxdate,maxarg
1981,24.859232,1981-04-05,186
1982,39.389923,1982-04-22,203
1983,27.897795,1983-03-27,177
1984,22.929792,1984-03-23,174
1985,34.37829,1985-04-05,186
1986,16.021515,1986-03-15,165
1987,28.233032,1987-04-01,182
1988,31.405195,1988-03-16,167
1989,19.45412,1989-02-10,132
1990,26.719109,1990-02-26,148
1991,22.938929,1991-02-18,140
1992,23.132704,1992-02-04,126
1993,25.910889,1993-02-09,131
1994,27.206291,1994-01-26,117
1995,28.600744,1995-01-21,112
1996,19.853771,1996-01-20,111
1997,18.963507,1996-12-25,85
1998,31.774979,1998-01-15,106
1999,16.052599,1999-01-01,92
2000,27.72607,2000-01-05,96
2001,17.332024,2000-12-31,91
2002,20.638838,2001-12-08,68
2003,34.91744,2003-01-02,93
2004,34.71771,2003-12-12,72
2005,37.1557,2004-12-18,78
2006,38.961544,2005-11-29,59
2007,28.084045,2006-11-23,53
2008,24.38557,2008-09-30,365
2009,27.622925,2008-11-04,34
2010,29.360546,2009-11-13,43
2011,28.539753,2011-09-30,364
2012,31.813704,2011-10-27,26
2013,27.899403,2012-10-19,18
2014,21.457628,2014-02-05,127
2015,37.902893,2015-02-10,132
2016,16.131989,2016-02-04,126
2017,45.463314,2017-01-28,119
2018,37.00667,2018-02-03,125
2019,22.690834,2019-01-12,103
2020,24.012495,2020-01-12,103
2021,35.41112,2021-01-05,96
2022,20.475185,2022-01-11,102
2023,30.242165,2022-12-31,91
2024,21.007776,2024-01-09,100
2025,35.1015,2024-12-28,88
2026,22.38571,2025-12-15,75
2027,23.37946,2026-11-29,59
2028,26.29392,2027-12-15,75
2029,21.50131,2028-11-24,54
2030,19.152712,2029-11-20,50
2031,18.533876,2030-11-19,49
2032,24.095282,2032-09-30,365
2033,28.833458,2032-11-24,54
2034,28.702923,2034-09-30,364
2035,34.086967,2034-11-01,31
2036,34.574913,2035-10-30,29
2037,29.542793,2036-10-23,22
2038,25.099398,2037-10-19,18
2039,35.34976,2039-09-30,364
2040,35.679962,2039-10-08,7
2041,35.197468,2041-09-09,343
2042,31.813854,2041-10-01,0
2043,15.75815,2043-08-30,333
2044,26.901266,2044-08-16,320
2045,24.982723,2045-09-15,349
2046,32.759613,2046-08-20,323
2047,32.25706,2047-08-24,327
2048,20.912893,2048-08-07,311
2049,27.808165,2049-07-27,299
2050,20.64152,2050-08-02,305
2051,37.225197,2051-08-01,304
2052,32.769104,2052-07-16,289
2053,23.440762,2053-06-28,270
2054,15.184501,2054-07-14,286
2055,19.529963,2055-07-06,278
2056,22.325274,2056-06-05,248
2057,23.297935,2057-07-04,276
2058,28.386395,2058-07-16,288
2059,32.570534,2059-06-03,245
2060,18.775711,2060-05-25,237
2061,26.103386,2061-06-01,243
2062,33.322723,2062-05-19,230
2063,13.449833,2063-05-13,224
2064,34.58605,2064-05-23,235
2065,24.219612,2065-04-29,210
2066,24.373108,2066-04-11,192
2067,31.275219,2067-05-03,214
2068,15.529924,2068-04-17,199
2069,16.512306,2069-03-07,157
2070,17.757412,2070-03-30,180
2071,20.093067,2071-04-01,182
2072,17.446112,2072-03-28,179
2073,29.543966,2073-03-29,179
2074,14.796407,2074-03-03,153
2075,24.085304,2075-03-10,160
2076,27.726212,2076-02-09,131
2077,20.33794,2077-02-23,145
2078,13.948456,2078-02-04,126
2079,14.567215,2079-01-31,122
2080,22.562674,2080-03-20,171
2081,34.29434,2081-01-28,119
2082,10.3091955,2082-01-10,101
2083,19.414076,2083-01-17,108
2084,31.356028,2084-01-09,100
2085,31.233456,2085-01-28,119
2086,18.682438,2086-01-23,114
2087,20.528011,2087-01-11,102
2088,15.203204,2087-12-23,83
2089,14.685788,2088-12-06,66
2090,12.775811,2089-12-23,83
2091,18.991613,2090-12-16,76
2092,20.464502,2091-12-17,77
2093,20.043093,2092-11-18,48
2094,24.199154,2093-11-26,56
2095,14.791226,2094-11-08,38
2096,18.532124,2095-12-05,65
2097,15.866367,2097-09-30,364
