,maxval,maxdate,maxarg
1981,64.12019,1981-04-05,186
1982,40.405293,1982-03-08,158
1983,35.841877,1983-01-23,114
1984,27.524126,1984-01-31,122
1985,63.98158,1985-03-26,176
1986,22.825474,1986-02-05,127
1987,58.666748,1987-03-31,181
1988,52.072887,1988-02-23,145
1989,26.145424,1989-02-09,131
1990,40.897675,1990-01-23,114
1991,32.996944,1991-02-02,124
1992,12.256831,1992-01-21,112
1993,35.618427,1993-02-09,131
1994,52.247623,1994-01-07,98
1995,66.48023,1995-01-15,106
1996,34.317024,1996-01-18,109
1997,21.387913,1997-09-30,364
1998,43.373375,1997-12-06,66
1999,35.440067,1998-11-09,39
2000,19.68674,2000-09-22,357
2001,33.370823,2000-12-19,79
2002,27.998405,2002-09-28,362
2003,35.870396,2002-11-13,43
2004,36.59881,2004-09-23,358
2005,64.215576,2004-12-02,62
2006,40.06768,2006-09-30,364
2007,50.63974,2006-11-07,37
2008,40.456993,2007-11-18,48
2009,24.065727,2009-09-30,364
2010,30.335155,2010-09-23,357
2011,39.1733,2011-09-30,364
2012,39.485405,2011-10-02,1
2013,24.46289,2012-10-17,16
2014,17.379509,2013-12-08,68
2015,22.938902,2015-02-05,127
2016,19.531271,2016-01-10,101
2017,31.201984,2017-01-22,113
2018,39.749638,2018-02-04,126
2019,22.435156,2018-11-05,35
2020,35.19839,2020-01-09,100
2021,39.45928,2020-12-17,77
2022,25.00563,2022-09-30,364
2023,47.219353,2022-11-26,56
2024,22.556276,2024-09-12,347
2025,26.56446,2024-11-22,52
2026,25.653427,2025-12-06,66
2027,21.226854,2027-09-30,364
2028,28.329216,2027-12-16,76
2029,3.7764587,2029-08-20,323
2030,19.734402,2030-08-17,320
2031,24.846771,2030-11-22,52
2032,25.183208,2031-10-27,26
2033,17.038633,2033-09-24,358
2034,19.780725,2034-09-21,355
2035,26.809147,2034-10-28,27
2036,13.281887,2035-10-01,0
2037,17.86843,2037-08-17,320
2038,5.7396245,2038-06-29,271
2039,16.068012,2039-09-22,356
2040,30.759378,2040-08-08,312
2041,27.62185,2040-10-09,8
2042,11.770371,2042-07-11,283
2043,7.4464364,2043-05-30,241
2044,6.7753286,2044-06-29,272
2045,12.03802,2045-07-26,298
2046,19.78146,2046-07-06,278
2047,14.951764,2047-08-11,314
2048,11.37171,2048-06-20,263
2049,5.955096,2049-04-08,189
2050,4.948528,2050-07-06,278
2051,22.077532,2051-06-24,266
2052,9.460055,2052-05-01,213
2053,19.416922,2053-04-26,207
2054,4.378524,2054-04-09,190
2055,11.614371,2055-06-29,271
2056,4.125098,2056-04-24,206
2057,12.477811,2057-05-24,235
2058,3.281766,2058-05-06,217
2059,2.3953338,2059-02-27,149
2060,2.8342772,2060-04-11,193
2061,11.872789,2061-03-09,159
2062,21.4085,2062-04-06,187
2063,5.46677,2063-02-16,138
2064,8.75327,2064-02-10,132
2065,13.46542,2065-04-08,189
2066,16.63228,2066-03-10,160
2067,4.292462,2067-02-26,148
2068,3.1533859,2068-03-05,156
2069,0.947702,2069-01-16,107
2070,10.810469,2070-03-24,174
2071,3.1094391,2071-03-30,180
2072,8.483477,2072-02-26,148
2073,4.718737,2073-03-13,163
2074,1.3399452,2074-01-05,96
2075,9.837515,2075-02-07,129
2076,13.936316,2076-01-29,120
2077,2.6385374,2076-12-14,74
2078,2.7345946,2077-12-06,66
2079,3.216324,2079-01-22,113
2080,3.9602842,2080-01-18,109
2081,6.498424,2080-11-30,60
2082,2.789055,2081-11-25,55
2083,0.73597074,2082-11-13,43
2084,5.782068,2083-12-16,76
2085,7.407862,2084-11-27,57
2086,2.7985785,2085-10-16,15
2087,1.2397518,2086-10-30,29
2088,1.7877232,2087-10-08,7
2089,1.5539403,2088-10-28,27
2090,2.1383126,2089-10-28,27
2091,0.76969206,2091-09-15,349
2092,0.9888796,2091-11-04,34
2093,2.5095394,2092-11-14,44
2094,2.3632653,2094-09-30,364
2095,2.9671881,2094-10-01,0
2096,4.069516,2095-11-11,41
2097,2.1853278,2097-08-30,333
