,maxval,maxdate,maxarg
1981,31.741604,1981-03-29,179
1982,54.945557,1982-04-15,196
1983,20.965458,1983-03-27,177
1984,13.419085,1984-03-22,173
1985,34.356323,1985-03-26,176
1986,17.978394,1986-03-27,177
1987,29.588177,1987-03-07,157
1988,15.701041,1988-02-10,132
1989,14.040418,1989-02-10,132
1990,31.615881,1990-02-28,150
1991,25.34729,1991-02-16,138
1992,23.83727,1992-02-02,124
1993,21.43638,1993-02-02,124
1994,21.942528,1994-01-26,117
1995,32.716835,1995-01-15,106
1996,27.523516,1996-01-21,112
1997,22.22955,1997-01-04,95
1998,27.716213,1998-01-14,105
1999,19.401695,1998-12-28,88
2000,13.816569,1999-12-03,63
2001,18.109045,2000-12-25,85
2002,22.546497,2002-09-30,364
2003,35.605698,2003-01-03,94
2004,30.392437,2003-12-05,65
2005,28.739191,2004-12-10,70
2006,33.23519,2005-11-24,54
2007,24.492907,2006-11-24,54
2008,25.371643,2008-09-30,365
2009,27.342157,2008-10-23,22
2010,23.406832,2009-11-03,33
2011,32.723774,2011-09-30,364
2012,32.9045,2011-10-07,6
2013,29.547434,2012-10-13,12
2014,20.76058,2014-01-28,119
2015,32.040596,2015-02-11,133
2016,21.903234,2016-02-06,128
2017,37.307556,2017-01-22,113
2018,29.84282,2018-02-02,124
2019,24.660944,2019-01-24,115
2020,19.705389,2019-12-26,86
2021,36.39488,2021-01-04,95
2022,23.691317,2022-01-12,103
2023,36.18154,2022-12-31,91
2024,20.690247,2024-01-11,102
2025,35.99456,2024-12-09,69
2026,24.509844,2025-12-03,63
2027,18.120136,2026-11-17,47
2028,17.495152,2028-09-30,365
2029,27.509491,2028-11-21,51
2030,14.8719015,2029-11-26,56
2031,18.737268,2031-09-30,364
2032,23.236048,2031-11-03,33
2033,27.30163,2033-09-30,364
2034,30.360111,2033-10-16,15
2035,32.233334,2035-09-30,364
2036,34.71019,2035-10-20,19
2037,31.847868,2037-09-27,361
2038,31.910454,2037-10-21,20
2039,42.8494,2039-09-27,361
2040,42.84895,2039-10-05,4
2041,23.08835,2041-09-07,341
2042,19.28126,2042-08-21,324
2043,23.710781,2043-08-28,331
2044,22.022694,2044-08-31,335
2045,18.021343,2045-08-19,322
2046,44.528687,2046-08-11,314
2047,42.485023,2047-08-16,319
2048,29.372751,2048-08-19,323
2049,24.414528,2049-06-26,268
2050,31.635965,2050-08-16,319
2051,26.706736,2051-07-23,295
2052,19.807514,2052-07-10,283
2053,27.875051,2053-06-26,268
2054,25.187387,2054-07-13,285
2055,19.976208,2055-06-22,264
2056,14.892791,2056-06-02,245
2057,20.91353,2057-06-11,253
2058,23.47393,2058-06-07,249
2059,25.420567,2059-05-29,240
2060,19.289186,2060-05-26,238
2061,17.866446,2061-05-12,223
2062,46.41592,2062-05-20,231
2063,12.626765,2063-05-12,223
2064,22.789085,2064-05-17,229
2065,18.637358,2065-04-07,188
2066,26.252712,2066-05-09,220
2067,17.599298,2067-04-17,198
2068,15.6405325,2068-04-13,195
2069,7.323313,2069-02-26,148
2070,14.786197,2070-03-21,171
2071,24.620766,2071-03-26,176
2072,25.495955,2072-03-26,177
2073,29.283901,2073-03-19,169
2074,19.984903,2074-03-07,157
2075,19.040236,2075-02-11,133
2076,24.980757,2076-02-02,124
2077,21.29683,2077-02-19,141
2078,19.2779,2078-02-03,125
2079,21.69936,2079-01-24,115
2080,18.476522,2080-01-21,112
2081,21.809402,2081-01-25,116
2082,8.559169,2082-01-07,98
2083,10.996979,2083-01-13,104
2084,20.173574,2084-01-05,96
2085,19.809183,2084-12-30,90
2086,15.253735,2086-01-08,99
2087,20.524338,2087-01-15,106
2088,16.360184,2087-12-24,84
2089,13.881761,2088-12-06,66
2090,10.758796,2090-09-28,362
2091,15.9859295,2090-12-19,79
2092,17.74222,2092-09-30,365
2093,25.684978,2092-11-14,44
2094,12.5986,2093-12-03,63
2095,14.034603,2094-11-29,59
2096,11.318971,2095-10-24,23
2097,11.979441,2097-09-30,364
