,maxval,maxdate,maxarg
1981,8.23905,1981-03-24,174
1982,10.36218,1982-02-21,143
1983,7.66673,1983-01-27,118
1984,3.1207995,1984-02-03,125
1985,10.177843,1985-02-21,143
1986,2.1190143,1986-02-07,129
1987,11.209477,1987-02-24,146
1988,4.1099606,1988-01-20,111
1989,4.1954117,1988-12-26,86
1990,6.8425922,1990-01-19,110
1991,5.619599,1990-12-19,79
1992,1.9937412,1991-12-14,74
1993,7.90452,1993-01-10,101
1994,5.2289643,1993-12-12,72
1995,12.771232,1994-12-14,74
1996,4.6267686,1995-12-16,76
1997,4.3412404,1997-09-30,364
1998,9.031708,1997-12-02,62
1999,5.5645237,1998-11-09,39
2000,1.5511824,2000-09-23,358
2001,2.4184163,2001-09-30,364
2002,5.2174225,2002-09-30,364
2003,7.301848,2002-10-29,28
2004,8.87399,2004-09-27,362
2005,8.912309,2004-10-09,8
2006,9.002017,2006-09-30,364
2007,9.796748,2006-10-24,23
2008,5.018429,2008-09-15,350
2009,4.2061954,2008-10-01,0
2010,9.407541,2010-09-09,343
2011,9.686891,2011-09-24,358
2012,7.2808566,2012-09-10,345
2013,2.6517084,2012-10-01,0
2014,5.9641447,2013-12-13,73
2015,7.514362,2014-12-01,61
2016,6.550149,2015-12-15,75
2017,9.927526,2016-12-05,65
2018,7.2794776,2017-11-25,55
2019,4.639005,2018-11-04,34
2020,3.0327513,2020-09-30,365
2021,8.187103,2020-11-12,42
2022,2.8709066,2022-09-30,364
2023,10.448202,2022-12-11,71
2024,7.1734,2024-09-28,363
2025,7.916531,2024-10-14,13
2026,4.970199,2025-10-04,3
2027,4.1741014,2027-09-30,364
2028,4.9720836,2027-10-17,16
2029,1.1987776,2029-08-29,332
2030,4.8035064,2030-09-22,356
2031,3.7494705,2031-09-27,361
2032,3.6886375,2031-10-01,0
2033,6.0747714,2033-09-17,351
2034,7.7226267,2034-09-11,345
2035,6.008831,2034-10-01,0
2036,3.2361705,2036-07-25,298
2037,6.2378445,2037-08-17,320
2038,4.7530537,2038-08-03,306
2039,2.1700284,2039-05-18,229
2040,6.4854183,2040-08-27,331
2041,1.5095793,2041-06-28,270
2042,0.97726417,2042-06-13,255
2043,1.6112574,2043-05-08,219
2044,4.330888,2044-07-02,275
2045,1.4507252,2045-07-21,293
2046,8.381859,2046-07-08,280
2047,1.7072961,2047-06-28,270
2048,1.056582,2048-06-02,245
2049,1.866862,2049-05-09,220
2050,1.1567042,2050-06-24,266
2051,5.5385237,2051-05-16,227
2052,2.0217586,2052-03-25,176
2053,2.688032,2053-04-27,208
2054,4.4662585,2054-04-09,190
2055,4.012629,2055-05-15,226
2056,1.400495,2056-04-27,209
2057,3.1832378,2057-05-17,228
2058,1.2558427,2058-03-24,174
2059,0.7105212,2059-02-28,150
2060,2.0685153,2060-04-10,192
2061,5.8592877,2061-03-13,163
2062,6.0678167,2062-03-27,177
2063,1.1737752,2063-02-16,138
2064,2.3789096,2064-02-03,125
2065,2.0058036,2065-03-15,165
2066,5.5133286,2066-02-22,144
2067,0.26842746,2067-01-21,112
2068,2.411853,2068-02-19,141
2069,1.246708,2069-01-19,110
2070,2.6861618,2070-02-23,145
2071,2.9103723,2071-01-23,114
2072,3.5581405,2072-02-23,145
2073,0.8039543,2072-12-11,71
2074,2.699041,2074-01-07,98
2075,1.3311622,2074-12-30,90
2076,2.2367682,2076-01-05,96
2077,1.2372103,2076-12-12,72
2078,1.8713496,2077-12-07,67
2079,3.1309242,2078-12-06,66
2080,0.4093554,2079-11-24,54
2081,0.47918782,2081-01-11,102
2082,0.5364024,2081-11-25,55
2083,0.7497129,2082-10-22,21
2084,0.67644775,2084-01-02,93
2085,0.93656504,2084-11-21,51
2086,1.5551914,2085-11-01,31
2087,0.3472132,2086-11-28,58
2088,0.3088333,2087-12-02,62
2089,0.22881795,2088-10-10,9
2090,0.2619783,2090-09-14,348
2091,0.1462154,2091-09-02,336
2092,0.1654459,2091-11-25,55
2093,0.39976147,2092-11-01,31
2094,0.9515542,2094-09-25,359
2095,0.5982846,2094-10-02,1
2096,0.3638912,2095-10-22,21
2097,0.80460405,2097-09-26,360
