,maxval,maxdate,maxarg
1981,7.0516315,1981-03-23,173
1982,19.243782,1982-02-18,140
1983,7.6804934,1983-02-23,145
1984,6.665943,1984-03-07,158
1985,12.472558,1985-03-05,155
1986,11.580528,1986-03-14,164
1987,14.180974,1987-03-02,152
1988,6.0681753,1988-01-28,119
1989,6.3201885,1989-02-11,133
1990,13.866743,1990-02-25,147
1991,5.3510303,1991-02-12,134
1992,9.053786,1992-01-30,121
1993,11.265632,1993-01-28,119
1994,9.056282,1994-09-30,364
1995,15.14532,1995-01-18,109
1996,11.346525,1996-01-18,109
1997,5.8553653,1996-12-15,75
1998,13.016262,1998-01-01,92
1999,9.383149,1999-01-06,97
2000,5.3538656,1999-11-18,48
2001,5.658553,2000-12-12,72
2002,11.781222,2001-12-20,80
2003,8.764185,2003-09-30,364
2004,15.28687,2003-12-02,62
2005,4.1971564,2004-11-28,58
2006,5.1105065,2005-11-13,43
2007,4.6777744,2007-09-20,354
2008,8.385443,2008-09-30,365
2009,8.596845,2008-10-12,11
2010,7.714786,2009-10-15,14
2011,10.237344,2010-11-09,39
2012,5.5571914,2012-09-18,353
2013,5.535945,2012-10-01,0
2014,5.9948497,2014-01-21,112
2015,10.504751,2015-02-10,132
2016,9.785537,2016-01-27,118
2017,9.29552,2017-01-13,104
2018,3.8401365,2017-11-25,55
2019,6.8285317,2019-01-11,102
2020,1.9340756,2020-09-30,365
2021,7.561357,2020-12-10,70
2022,7.6753182,2021-12-23,83
2023,8.078799,2022-12-25,85
2024,14.056272,2023-12-17,77
2025,6.038278,2025-09-29,363
2026,8.355711,2025-12-02,62
2027,3.8496747,2027-09-30,364
2028,6.5043387,2027-11-25,55
2029,11.28787,2028-11-12,42
2030,3.9109151,2029-10-06,5
2031,5.1277976,2031-09-28,362
2032,6.170652,2032-09-30,365
2033,8.641235,2033-09-30,364
2034,9.091761,2033-10-10,9
2035,9.647229,2035-09-30,364
2036,9.8161745,2035-10-02,1
2037,5.0022783,2037-09-16,350
2038,15.736625,2038-09-12,346
2039,14.8107605,2038-10-01,0
2040,8.483285,2040-09-15,350
2041,1.8796064,2041-05-18,229
2042,5.5589185,2042-08-19,322
2043,9.306483,2043-08-28,331
2044,5.0199986,2044-07-11,284
2045,3.9261012,2045-08-12,315
2046,7.46347,2046-07-04,276
2047,10.3863325,2047-07-16,288
2048,11.998983,2048-07-18,291
2049,1.1384833,2049-05-30,241
2050,6.968398,2050-06-25,267
2051,3.4605489,2051-06-17,259
2052,1.2096964,2052-04-28,210
2053,4.9807324,2053-06-05,247
2054,9.474128,2054-07-06,278
2055,7.9686275,2055-06-13,255
2056,2.9415312,2056-04-23,205
2057,9.112557,2057-06-10,252
2058,2.0587306,2058-05-07,218
2059,3.6832716,2059-04-30,211
2060,2.651218,2060-05-01,213
2061,2.1421554,2061-03-13,163
2062,2.9754705,2062-03-26,176
2063,6.417904,2063-04-20,201
2064,2.1817365,2064-04-20,202
2065,2.4400487,2065-03-08,158
2066,4.6720634,2066-03-03,153
2067,2.7583082,2067-03-25,175
2068,2.400695,2068-03-25,176
2069,2.606898,2069-03-16,166
2070,4.788613,2070-03-06,156
2071,9.509955,2071-03-24,174
2072,8.288134,2072-03-07,158
2073,2.293166,2073-02-12,134
2074,11.786216,2074-02-27,149
2075,1.7950215,2075-02-04,126
2076,1.0847625,2076-01-04,95
2077,2.397479,2076-12-20,80
2078,4.8044395,2078-01-08,99
2079,4.932805,2079-01-11,102
2080,1.1503487,2080-01-20,111
2081,4.1227117,2080-10-17,16
2082,2.2847862,2081-12-01,61
2083,2.1823702,2082-12-12,72
2084,0.85964316,2083-12-04,64
2085,3.14716,2084-12-24,84
2086,1.1419419,2085-12-06,66
2087,5.5629654,2086-12-10,70
2088,5.3288255,2087-12-10,70
2089,1.7318006,2089-09-30,364
2090,2.089357,2089-10-07,6
2091,1.0891851,2090-12-18,78
2092,2.078138,2091-12-03,63
2093,2.7183905,2092-10-23,22
2094,4.314297,2094-09-30,364
2095,5.399538,2094-10-24,23
2096,1.0277928,2096-09-04,339
2097,1.757748,2097-09-29,363
