,maxval,maxdate,maxarg
1981,141.76793,1981-04-06,187
1982,97.950584,1982-03-30,180
1983,98.79779,1983-03-24,174
1984,75.66724,1984-04-19,201
1985,142.12839,1985-04-14,195
1986,69.36434,1986-03-25,175
1987,124.8961,1987-03-31,181
1988,111.79361,1988-02-24,146
1989,74.92131,1989-02-10,132
1990,100.16542,1990-04-02,183
1991,88.75654,1991-02-15,137
1992,58.1211,1992-03-08,159
1993,99.69874,1993-02-09,131
1994,97.3122,1994-01-26,117
1995,133.31949,1995-02-02,124
1996,74.68104,1996-01-22,113
1997,51.355293,1996-12-23,83
1998,103.19511,1998-01-21,112
1999,77.82686,1998-12-14,74
2000,48.836678,2000-01-25,116
2001,83.09493,2000-12-24,84
2002,59.349327,2002-09-30,364
2003,114.701546,2002-12-31,91
2004,90.92747,2003-12-10,70
2005,130.57945,2004-12-16,76
2006,98.22965,2005-12-25,85
2007,108.46616,2006-12-12,72
2008,91.07903,2007-11-20,50
2009,73.491684,2008-10-25,24
2010,76.35978,2010-09-24,358
2011,83.06034,2010-10-28,27
2012,92.8293,2011-11-03,33
2013,82.97481,2012-10-30,29
2014,59.54477,2014-02-10,132
2015,83.37987,2015-02-09,131
2016,58.285072,2016-02-15,137
2017,92.94547,2017-01-22,113
2018,130.35098,2018-02-08,130
2019,50.57342,2019-01-09,100
2020,105.43013,2020-01-31,122
2021,118.723625,2021-01-24,115
2022,61.658134,2022-01-09,100
2023,111.33886,2023-01-12,103
2024,48.82556,2024-01-16,107
2025,76.399025,2025-01-03,94
2026,81.95264,2025-12-06,66
2027,63.137207,2027-09-30,364
2028,90.32281,2027-12-17,77
2029,25.688671,2028-11-29,59
2030,64.25272,2030-09-30,364
2031,108.724945,2030-12-09,69
2032,65.13888,2031-12-01,61
2033,66.84324,2033-09-30,364
2034,73.9921,2033-10-24,23
2035,86.15252,2034-11-10,40
2036,58.324146,2035-10-30,29
2037,54.677814,2037-09-20,354
2038,49.41316,2037-10-01,0
2039,69.2,2039-09-30,364
2040,85.24986,2040-09-22,357
2041,87.444046,2040-10-10,9
2042,64.46364,2041-10-07,6
2043,21.84875,2043-08-24,327
2044,35.456196,2044-06-29,272
2045,52.909252,2045-09-16,350
2046,67.22417,2046-08-27,330
2047,60.89716,2047-08-14,317
2048,36.633,2047-10-01,0
2049,24.941433,2049-08-28,331
2050,31.456123,2050-08-26,329
2051,54.525738,2051-06-23,265
2052,19.306393,2052-04-30,212
2053,50.218285,2053-06-16,258
2054,24.757254,2054-07-14,286
2055,64.89251,2055-07-25,297
2056,19.469973,2056-04-25,207
2057,47.868122,2057-07-04,276
2058,19.59638,2058-07-10,282
2059,8.8565035,2059-02-27,149
2060,6.5843163,2060-04-24,206
2061,62.552605,2061-06-18,260
2062,64.775734,2062-05-12,223
2063,23.32297,2063-02-16,138
2064,27.202593,2064-05-14,226
2065,52.082134,2065-04-28,209
2066,39.973774,2066-03-13,163
2067,8.776226,2066-12-21,81
2068,3.18963,2068-02-12,134
2069,6.113154,2069-01-17,108
2070,49.107735,2070-03-28,178
2071,16.916441,2071-03-30,180
2072,27.951736,2072-03-24,175
2073,22.81487,2073-03-13,163
2074,9.557459,2074-01-20,111
2075,52.87781,2075-04-09,190
2076,42.393524,2076-04-01,183
2077,6.813868,2077-02-22,144
2078,16.759836,2078-01-06,97
2079,6.454424,2079-01-23,114
2080,16.814068,2080-02-27,149
2081,16.498732,2081-01-25,116
2082,5.8291526,2081-11-24,54
2083,4.5629177,2082-11-12,42
2084,19.6957,2084-02-12,134
2085,28.241327,2084-12-31,91
2086,4.947428,2085-10-29,28
2087,2.5329466,2086-12-15,75
2088,1.8472701,2088-01-14,105
2089,2.4997754,2089-01-09,100
2090,4.6396523,2089-11-03,33
2091,1.7504188,2091-08-31,334
2092,7.53764,2091-12-11,71
2093,3.4442852,2092-12-26,86
2094,6.040388,2094-09-30,364
2095,6.290741,2094-10-01,0
2096,22.497232,2095-12-13,73
2097,12.74325,2096-11-10,40
