,maxval,maxdate,maxarg
1981,22.138962,1981-03-23,173
1982,39.405518,1982-04-15,196
1983,15.120727,1983-03-17,167
1984,11.255161,1984-03-21,172
1985,26.348186,1985-03-05,155
1986,18.495598,1986-03-15,165
1987,23.019375,1987-03-06,156
1988,16.197102,1988-02-15,137
1989,10.56874,1989-02-20,142
1990,24.158985,1990-02-27,149
1991,18.303886,1991-02-14,136
1992,21.2493,1992-02-12,134
1993,20.187292,1993-01-29,120
1994,12.13134,1994-01-16,107
1995,25.876514,1995-01-27,118
1996,21.026808,1996-01-21,112
1997,17.303047,1997-01-21,112
1998,23.130253,1998-01-01,92
1999,20.436197,1999-01-06,97
2000,11.222262,1999-12-03,63
2001,14.416989,2000-12-25,85
2002,19.58874,2001-12-30,90
2003,30.175945,2003-01-02,93
2004,23.970331,2003-12-04,64
2005,18.278288,2004-11-27,57
2006,17.494356,2005-11-17,47
2007,11.20544,2006-10-25,24
2008,19.311226,2008-09-30,365
2009,21.065935,2008-10-24,23
2010,18.267118,2009-11-02,32
2011,23.1084,2010-11-22,52
2012,21.602472,2012-09-30,365
2013,23.376675,2012-10-10,9
2014,12.815293,2014-01-22,113
2015,24.642427,2015-02-11,133
2016,20.297705,2016-02-05,127
2017,22.26027,2017-01-17,108
2018,16.518307,2018-01-31,122
2019,19.258425,2019-01-25,116
2020,12.005626,2020-09-30,365
2021,26.873009,2020-12-11,71
2022,17.656023,2021-12-29,89
2023,25.413124,2022-12-31,91
2024,21.667154,2024-01-07,98
2025,24.901611,2024-12-09,69
2026,16.59311,2025-12-06,66
2027,8.818335,2026-11-15,45
2028,14.6440525,2027-11-26,56
2029,25.052658,2028-11-20,50
2030,10.22599,2029-11-15,45
2031,15.806454,2031-09-28,362
2032,18.354591,2031-10-25,24
2033,27.9391,2033-09-30,364
2034,30.0783,2033-10-16,15
2035,22.079576,2035-09-30,364
2036,23.355652,2035-10-20,19
2037,21.752876,2037-09-22,356
2038,23.18556,2038-09-28,362
2039,29.315863,2039-09-30,364
2040,29.316925,2039-10-01,0
2041,12.575017,2041-08-28,331
2042,14.278008,2042-08-20,323
2043,21.942839,2043-08-27,330
2044,16.10641,2044-08-23,327
2045,17.931826,2045-08-18,321
2046,23.904125,2046-08-12,315
2047,30.37626,2047-08-09,312
2048,25.74084,2048-08-10,314
2049,13.037727,2049-06-24,266
2050,23.68996,2050-08-14,317
2051,12.045099,2051-06-28,270
2052,11.9593525,2052-07-06,279
2053,19.69045,2053-06-25,267
2054,24.158787,2054-07-12,284
2055,14.651955,2055-06-14,256
2056,7.42835,2056-06-02,245
2057,17.962284,2057-06-11,253
2058,15.820818,2058-06-08,250
2059,10.681291,2059-05-16,227
2060,14.427606,2060-05-24,236
2061,10.531218,2061-04-16,197
2062,20.656958,2062-04-15,196
2063,13.840961,2063-05-13,224
2064,14.397929,2064-05-02,214
2065,14.022863,2065-04-08,189
2066,18.499664,2066-03-27,177
2067,11.362018,2067-04-17,198
2068,16.208351,2068-04-12,194
2069,5.4336686,2069-03-06,156
2070,12.011119,2070-03-21,171
2071,16.556202,2071-03-25,175
2072,28.462091,2072-03-27,178
2073,13.301988,2073-03-23,173
2074,19.133255,2074-03-10,160
2075,11.147429,2075-02-07,129
2076,13.753002,2076-02-03,125
2077,15.565511,2077-02-18,140
2078,16.255985,2078-02-06,128
2079,17.013872,2079-01-28,119
2080,12.257538,2080-01-30,121
2081,11.950675,2081-01-15,106
2082,8.241467,2082-01-05,96
2083,10.368602,2083-01-13,104
2084,10.234406,2084-01-03,94
2085,9.089306,2084-12-26,86
2086,12.417049,2086-01-02,93
2087,21.47164,2087-01-15,106
2088,13.333496,2087-12-16,76
2089,12.1818695,2088-12-07,67
2090,6.2785425,2090-09-17,351
2091,11.153843,2090-12-11,71
2092,7.2286534,2091-12-03,63
2093,12.634878,2092-11-16,46
2094,8.809303,2093-11-25,55
2095,9.475094,2094-11-28,58
2096,7.970313,2095-10-19,18
2097,7.8555684,2097-09-30,364
