,maxval,maxdate,maxarg
1981,18.22627,1981-03-29,179
1982,27.725267,1982-04-22,203
1983,16.494713,1983-03-27,177
1984,19.14846,1984-03-23,174
1985,25.284813,1985-04-05,186
1986,12.1497135,1986-03-15,165
1987,20.750717,1987-04-02,183
1988,20.80601,1988-03-16,167
1989,15.063658,1989-02-11,133
1990,18.516281,1990-02-27,149
1991,18.002127,1991-02-16,138
1992,17.397266,1992-02-03,125
1993,17.181446,1993-02-06,128
1994,17.896263,1994-01-26,117
1995,20.905977,1995-02-10,132
1996,15.758413,1996-01-20,111
1997,13.506667,1996-12-24,84
1998,21.218277,1997-12-31,91
1999,9.486867,1998-12-08,68
2000,18.5332,2000-01-06,97
2001,14.916189,2000-12-31,91
2002,14.811306,2002-01-01,92
2003,26.582825,2003-01-03,94
2004,25.748785,2003-12-12,72
2005,23.843586,2004-12-18,78
2006,24.788506,2005-11-27,57
2007,22.259964,2006-11-24,54
2008,17.29837,2008-09-30,365
2009,21.027262,2008-11-05,35
2010,21.010864,2009-11-13,43
2011,22.758816,2011-09-30,364
2012,24.97373,2011-10-27,26
2013,19.924671,2012-10-18,17
2014,16.297915,2014-02-04,126
2015,21.74023,2015-02-10,132
2016,14.077874,2016-02-05,127
2017,30.90932,2017-01-28,119
2018,26.038553,2018-02-03,125
2019,18.028456,2019-01-13,104
2020,17.36648,2020-01-01,92
2021,24.55646,2021-01-04,95
2022,16.425632,2022-01-11,102
2023,25.555529,2023-01-16,107
2024,16.765535,2024-01-10,101
2025,22.617903,2024-12-09,69
2026,16.747301,2025-12-11,71
2027,16.047743,2026-11-21,51
2028,18.869368,2027-12-13,73
2029,15.452474,2028-11-22,52
2030,12.614297,2029-11-20,50
2031,15.054526,2030-11-22,52
2032,14.510867,2032-09-30,365
2033,18.516493,2032-11-25,55
2034,20.420443,2034-09-30,364
2035,24.549961,2034-10-29,28
2036,25.51772,2035-10-30,29
2037,20.976805,2036-10-23,22
2038,16.31188,2037-10-01,0
2039,23.813238,2039-09-30,364
2040,24.578148,2039-10-08,7
2041,24.861933,2041-09-09,343
2042,20.559711,2041-10-01,0
2043,13.043546,2043-08-30,333
2044,19.449867,2044-08-16,320
2045,15.329151,2045-09-15,349
2046,24.933119,2046-08-20,323
2047,20.76479,2047-08-26,329
2048,16.214806,2048-08-08,312
2049,18.338947,2049-07-30,302
2050,17.140167,2050-08-05,308
2051,27.804972,2051-08-02,305
2052,23.327436,2052-07-16,289
2053,19.228977,2053-07-03,275
2054,12.094675,2054-07-14,286
2055,15.227279,2055-07-06,278
2056,11.901705,2056-06-04,247
2057,18.010311,2057-06-29,271
2058,19.343073,2058-06-21,263
2059,23.255531,2059-06-03,245
2060,15.058237,2060-05-26,238
2061,18.031443,2061-06-01,243
2062,23.242514,2062-05-19,230
2063,9.278064,2063-05-12,223
2064,23.971863,2064-05-24,236
2065,18.237076,2065-04-29,210
2066,17.451567,2066-05-07,218
2067,20.430176,2067-05-14,225
2068,11.953498,2068-04-15,197
2069,9.975566,2069-03-07,157
2070,11.971787,2070-03-30,180
2071,12.682883,2071-03-31,181
2072,12.972788,2072-03-28,179
2073,19.250982,2073-03-29,179
2074,9.858215,2074-03-01,151
2075,15.661857,2075-03-10,160
2076,16.147255,2076-02-07,129
2077,11.935037,2077-02-23,145
2078,11.489628,2078-02-04,126
2079,10.419498,2079-01-31,122
2080,12.64881,2080-03-20,171
2081,23.496553,2081-01-25,116
2082,8.447063,2082-01-09,100
2083,15.059174,2083-01-19,110
2084,21.222809,2084-01-10,101
2085,18.453201,2085-01-16,107
2086,12.636024,2086-01-23,114
2087,14.889605,2087-01-11,102
2088,10.678983,2087-12-16,76
2089,8.640469,2088-12-06,66
2090,8.07292,2090-09-28,362
2091,12.719958,2090-12-19,79
2092,16.698336,2091-12-04,64
2093,13.577826,2092-11-18,48
2094,13.948517,2093-11-26,56
2095,8.824511,2094-10-24,23
2096,13.732391,2095-12-06,66
2097,11.453691,2097-09-30,364
