,maxval,maxdate,maxarg
1981,18.506907,1981-03-24,174
1982,29.560354,1982-03-09,159
1983,13.65558,1983-01-23,114
1984,2.1873345,1984-02-02,124
1985,20.335344,1985-02-22,144
1986,11.986869,1986-02-07,129
1987,19.834522,1987-02-23,145
1988,9.400966,1988-01-20,111
1989,7.365194,1989-01-26,117
1990,17.652998,1990-02-26,148
1991,11.354222,1990-12-23,83
1992,3.3949268,1992-01-23,114
1993,16.7454,1993-01-28,119
1994,14.688061,1993-12-12,72
1995,19.871983,1995-01-12,103
1996,12.333768,1995-12-11,71
1997,11.683892,1996-11-12,42
1998,19.337753,1997-12-04,64
1999,11.372564,1998-11-11,41
2000,4.2760415,2000-09-16,351
2001,9.936884,2000-12-16,76
2002,10.413373,2002-09-30,364
2003,14.257787,2002-12-01,61
2004,17.548096,2004-09-30,365
2005,17.98871,2004-10-25,24
2006,21.298517,2005-11-17,47
2007,20.837242,2006-10-22,21
2008,13.489737,2008-09-30,365
2009,13.499723,2008-10-01,0
2010,18.343782,2010-09-08,342
2011,19.0677,2011-09-24,358
2012,17.38618,2012-09-10,345
2013,17.456007,2012-10-08,7
2014,16.206007,2014-01-20,111
2015,11.705951,2015-01-27,118
2016,7.5702977,2015-12-15,75
2017,19.895836,2016-11-30,60
2018,15.14204,2018-01-29,120
2019,8.929143,2018-10-31,30
2020,5.785945,2019-11-10,40
2021,21.88176,2020-11-23,53
2022,6.116842,2022-09-30,364
2023,19.43073,2022-11-26,56
2024,15.021449,2024-09-28,363
2025,18.215813,2024-10-15,14
2026,8.177091,2025-12-02,62
2027,8.393619,2027-09-30,364
2028,8.376073,2027-10-01,0
2029,10.710088,2028-10-28,27
2030,7.8772097,2030-09-15,349
2031,8.163209,2030-11-04,34
2032,6.762176,2031-10-25,24
2033,20.219719,2033-09-30,364
2034,20.880247,2033-10-15,14
2035,15.700066,2034-10-22,21
2036,14.271116,2035-10-01,0
2037,8.9674,2037-08-18,321
2038,9.397892,2038-09-03,337
2039,15.755907,2039-09-27,361
2040,16.134779,2040-09-17,352
2041,8.118705,2040-10-03,2
2042,10.347358,2042-07-13,285
2043,5.042673,2043-08-03,306
2044,11.822745,2044-07-13,286
2045,3.9145267,2045-08-17,320
2046,27.287647,2046-07-08,280
2047,8.20493,2047-07-25,297
2048,9.488321,2048-07-17,290
2049,7.9773555,2049-05-31,242
2050,8.034532,2050-06-24,266
2051,11.28284,2051-06-21,263
2052,3.203237,2052-05-20,232
2053,11.738169,2053-06-06,248
2054,15.165212,2054-06-23,265
2055,9.658299,2055-06-13,255
2056,2.2628329,2056-03-04,155
2057,11.95814,2057-06-08,250
2058,1.5699437,2058-03-28,178
2059,2.5681891,2059-03-01,151
2060,3.3817537,2060-04-10,192
2061,8.929732,2061-04-09,190
2062,12.669792,2062-03-26,176
2063,4.5778146,2063-03-16,166
2064,2.2694635,2064-02-02,124
2065,4.81702,2065-03-11,161
2066,10.444763,2066-02-21,143
2067,2.3370833,2067-04-10,191
2068,3.7444472,2068-02-10,132
2069,1.4044422,2069-01-20,111
2070,5.8860865,2070-02-27,149
2071,5.5668683,2071-02-03,125
2072,8.973409,2072-03-08,159
2073,4.5494933,2073-03-14,164
2074,6.463033,2074-02-18,140
2075,9.395741,2075-02-07,129
2076,4.9087796,2076-01-05,96
2077,3.3605533,2076-12-11,71
2078,9.245626,2078-01-12,103
2079,6.321834,2079-01-22,113
2080,2.0590346,2080-01-19,110
2081,4.353642,2081-01-24,115
2082,1.4249911,2081-12-04,64
2083,1.3484046,2082-10-22,21
2084,3.582591,2083-12-15,75
2085,2.5586998,2084-12-25,85
2086,2.304512,2085-11-02,32
2087,4.2633,2086-12-04,64
2088,3.1309452,2087-12-01,61
2089,1.3467941,2088-10-11,10
2090,1.4322164,2090-09-15,349
2091,1.3628057,2091-09-03,337
2092,3.1673987,2091-11-27,57
2093,2.6881452,2092-11-02,32
2094,1.2012208,2094-09-30,364
2095,2.8055966,2095-08-13,316
2096,1.206683,2095-10-19,18
2097,3.3386903,2097-09-30,364
