,maxval,maxdate,maxarg
1981,32.126675,1981-03-24,174
1982,18.572487,1982-02-19,141
1983,8.480438,1982-12-23,83
1984,2.6030133,1983-12-25,85
1985,15.919457,1985-03-07,157
1986,6.231562,1986-02-05,127
1987,16.255802,1987-03-11,161
1988,31.399185,1988-02-23,145
1989,6.925532,1989-02-03,125
1990,17.880983,1990-01-22,113
1991,7.991698,1990-11-03,33
1992,2.8028224,1992-01-03,94
1993,11.520617,1992-12-03,63
1994,13.971381,1993-12-08,68
1995,28.018509,1995-01-03,94
1996,9.97258,1996-01-21,112
1997,3.222439,1996-12-20,80
1998,9.5652485,1998-09-30,364
1999,19.800682,1998-11-08,38
2000,5.982606,2000-09-14,349
2001,6.3472543,2000-11-26,56
2002,8.590841,2002-08-26,329
2003,5.728905,2002-10-26,25
2004,13.776958,2003-11-02,32
2005,13.201332,2004-12-03,63
2006,12.073831,2006-09-29,363
2007,13.959864,2007-08-31,334
2008,12.852257,2007-10-09,8
2009,8.103565,2009-08-24,327
2010,13.089332,2010-09-07,341
2011,9.432176,2010-10-28,27
2012,9.989495,2012-08-24,328
2013,2.1461418,2012-10-11,10
2014,3.6312754,2013-12-06,66
2015,6.9747157,2015-02-05,127
2016,1.7095704,2015-10-29,28
2017,7.323103,2016-12-01,61
2018,20.088657,2017-11-02,32
2019,10.258725,2018-11-03,33
2020,6.3634715,2020-09-30,365
2021,15.830418,2020-11-03,33
2022,4.6231146,2022-01-06,97
2023,23.157366,2022-11-25,55
2024,8.470363,2024-09-12,347
2025,6.604677,2025-09-20,354
2026,15.532453,2025-12-01,61
2027,5.2683535,2027-09-13,347
2028,4.2559876,2028-07-19,292
2029,1.1455759,2029-07-12,284
2030,5.6602626,2030-08-17,320
2031,12.870556,2031-09-17,351
2032,10.835169,2031-10-15,14
2033,6.272172,2033-06-29,271
2034,2.7395227,2034-08-27,330
2035,4.172659,2034-10-24,23
2036,4.783858,2036-08-19,323
2037,8.880253,2037-06-22,264
2038,1.3632505,2038-06-13,255
2039,7.2920337,2039-09-22,356
2040,5.0154305,2039-10-01,0
2041,2.8121371,2041-08-12,315
2042,0.632945,2042-06-08,250
2043,1.1304162,2043-05-07,218
2044,1.7993102,2044-05-28,240
2045,10.861571,2045-07-25,297
2046,15.302014,2046-07-04,276
2047,10.144412,2047-07-23,295
2048,2.2788625,2048-06-09,252
2049,3.8988626,2049-04-04,185
2050,3.6244156,2050-06-28,270
2051,5.906152,2051-05-19,230
2052,3.0676613,2052-03-23,174
2053,7.3956203,2053-04-18,199
2054,1.0800982,2054-07-11,283
2055,4.424455,2055-05-01,212
2056,3.4537158,2056-02-28,150
2057,11.831565,2057-05-24,235
2058,1.6311009,2058-05-30,241
2059,1.2907318,2059-04-28,209
2060,0.4473805,2060-03-06,157
2061,1.5067459,2061-02-26,148
2062,5.98289,2062-03-31,181
2063,1.3986399,2063-02-10,132
2064,2.7952068,2064-01-30,121
2065,4.96845,2065-04-05,186
2066,7.01306,2066-02-21,143
2067,0.80748004,2066-12-20,80
2068,0.09457596,2068-01-12,103
2069,7.7824836e-05,2068-11-15,45
2070,6.4633484,2070-02-12,134
2071,1.0636854,2071-03-16,166
2072,5.9118376,2072-02-21,143
2073,1.6394305,2072-12-10,70
2074,1.6037034,2074-01-04,95
2075,3.4720979,2074-12-29,89
2076,5.30144,2076-01-07,98
2077,1.1283879,2076-12-07,67
2078,0.79269123,2077-12-31,91
2079,1.8440895,2078-11-06,36
2080,0.95973295,2080-01-16,107
2081,1.927703,2080-11-25,55
2082,0.5096523,2081-11-13,43
2083,5.966693e-05,2082-12-18,78
2084,3.7370594,2083-12-14,74
2085,1.6362857,2084-11-23,53
2086,1.9354619,2085-10-14,13
2087,0.4711554,2086-10-02,1
2088,5.8560323e-05,2087-11-26,56
2089,0.0017273191,2088-11-29,59
2090,0.000103199935,2089-10-07,6
2091,1.7529081e-06,2091-08-30,333
2092,0.56089205,2091-10-14,13
2093,0.3294579,2092-11-12,42
2094,0.03694499,2094-09-26,360
2095,0.007586498,2095-07-11,283
2096,1.1886797,2095-11-11,41
2097,1.5363884,2097-08-13,316
