,maxval,maxdate,maxarg
1981,16.680689,1981-03-28,178
1982,18.436907,1982-04-22,203
1983,14.996097,1983-03-24,174
1984,13.064524,1984-04-21,203
1985,20.309858,1985-04-23,204
1986,14.274089,1986-03-25,175
1987,20.254675,1987-04-01,182
1988,13.083401,1988-02-23,145
1989,14.627316,1989-02-03,125
1990,14.904075,1990-02-20,142
1991,12.557638,1991-02-12,134
1992,14.73108,1992-01-24,115
1993,18.402182,1993-02-09,131
1994,16.89702,1994-01-26,117
1995,16.165676,1995-01-15,106
1996,14.176226,1996-01-23,114
1997,11.87289,1996-12-23,83
1998,17.210297,1997-12-31,91
1999,7.485833,1999-01-06,97
2000,8.700966,2000-01-05,96
2001,13.069533,2000-12-25,85
2002,14.032055,2001-12-31,91
2003,26.53016,2003-01-02,93
2004,16.666487,2003-12-11,71
2005,17.806528,2004-12-17,77
2006,19.114016,2005-11-23,53
2007,16.40294,2006-11-29,59
2008,12.749856,2007-10-30,29
2009,12.286676,2008-11-04,34
2010,12.869095,2009-11-12,42
2011,17.385715,2011-09-30,364
2012,17.402653,2011-10-03,2
2013,14.327885,2012-10-16,15
2014,12.522477,2014-01-22,113
2015,9.903394,2015-02-09,131
2016,15.281554,2016-02-01,123
2017,19.729769,2017-01-21,112
2018,18.278063,2018-02-02,124
2019,13.275273,2019-01-11,102
2020,8.859616,2019-11-26,56
2021,16.973297,2020-12-18,78
2022,13.58276,2022-01-12,103
2023,17.409874,2022-12-31,91
2024,9.294775,2024-01-11,102
2025,13.370115,2024-12-08,68
2026,10.7211485,2025-12-05,65
2027,11.126429,2027-09-30,364
2028,17.171995,2027-12-12,72
2029,11.196618,2028-12-06,66
2030,10.77013,2030-09-30,364
2031,16.519215,2030-11-10,40
2032,11.520594,2031-10-31,30
2033,12.319908,2033-09-30,364
2034,17.210848,2034-09-30,364
2035,19.79278,2034-10-28,27
2036,17.235943,2035-10-09,8
2037,13.055772,2036-10-21,20
2038,8.650101,2038-09-09,343
2039,16.314922,2039-09-30,364
2040,16.754557,2039-10-05,4
2041,14.734938,2041-09-08,342
2042,11.363055,2041-10-07,6
2043,10.276178,2043-08-18,321
2044,11.903848,2044-07-27,300
2045,7.4286838,2045-08-18,321
2046,15.926718,2046-08-10,313
2047,13.082465,2047-07-27,299
2048,7.658236,2048-08-07,311
2049,8.776905,2049-06-28,270
2050,9.908612,2050-07-24,296
2051,14.675047,2051-06-26,268
2052,8.724922,2052-07-12,285
2053,16.06564,2053-06-19,261
2054,9.983263,2054-07-13,285
2055,10.897239,2055-06-22,264
2056,7.105419,2056-05-22,234
2057,12.845293,2057-06-29,271
2058,9.074117,2058-06-06,248
2059,10.571443,2059-05-04,215
2060,7.490567,2060-05-18,230
2061,6.317414,2061-03-13,163
2062,9.664535,2062-05-19,230
2063,7.5676613,2063-04-17,198
2064,11.908476,2064-05-15,227
2065,8.62232,2065-04-07,188
2066,8.511185,2066-03-14,164
2067,4.1451526,2067-04-15,196
2068,4.833179,2068-03-06,157
2069,5.318423,2069-02-24,146
2070,7.7573295,2070-03-24,174
2071,6.728521,2071-03-30,180
2072,8.065892,2072-03-27,178
2073,10.209918,2073-03-28,178
2074,2.9628227,2074-02-24,146
2075,10.073596,2075-02-09,131
2076,7.940988,2076-02-03,125
2077,4.844582,2077-02-22,144
2078,6.8677692,2078-01-21,112
2079,6.251006,2079-01-23,114
2080,6.4817023,2080-01-21,112
2081,4.684735,2081-01-25,116
2082,3.4029982,2082-01-05,96
2083,4.8101854,2082-12-08,68
2084,8.740324,2083-12-16,76
2085,5.808728,2085-01-01,92
2086,4.946132,2085-11-06,36
2087,4.6881084,2086-12-18,78
2088,2.6686072,2087-12-16,76
2089,2.7947907,2088-12-06,66
2090,3.447022,2090-09-16,350
2091,4.911799,2091-09-30,364
2092,7.3793015,2091-12-11,71
2093,5.388699,2092-11-14,44
2094,2.3265042,2094-09-30,364
2095,4.053486,2094-10-23,22
2096,6.9828606,2095-12-05,65
2097,4.84901,2097-09-30,364
