,maxval,maxdate,maxarg
1981,20.476898,1981-03-24,174
1982,20.066244,1982-02-21,143
1983,14.749986,1983-01-23,114
1984,8.856211,1984-02-01,123
1985,21.089582,1985-03-06,156
1986,8.259046,1986-02-01,123
1987,11.392551,1987-01-31,122
1988,18.71009,1988-01-27,118
1989,6.6786194,1988-12-22,82
1990,10.894581,1990-01-18,109
1991,9.66646,1990-11-04,34
1992,2.2461395,1991-11-23,53
1993,15.441655,1993-01-18,109
1994,21.552174,1993-12-09,69
1995,24.336178,1995-01-15,106
1996,16.808365,1996-01-19,110
1997,7.759219,1997-09-30,364
1998,19.812681,1997-12-04,64
1999,13.798575,1998-11-08,38
2000,8.619414,2000-09-22,357
2001,11.843222,2000-11-27,57
2002,8.842698,2002-09-29,363
2003,12.821546,2002-10-26,25
2004,12.971667,2004-09-22,357
2005,20.208399,2004-11-27,57
2006,17.219515,2006-09-30,364
2007,19.032986,2006-10-12,11
2008,18.45927,2007-10-06,5
2009,7.3825583,2009-09-26,360
2010,14.989796,2010-09-10,344
2011,12.480382,2011-09-30,364
2012,12.359383,2011-10-01,0
2013,2.8894053,2013-07-05,277
2014,7.393759,2013-12-08,68
2015,6.561106,2014-11-27,57
2016,7.601184,2015-12-02,62
2017,7.09745,2016-12-04,64
2018,14.181557,2017-11-04,34
2019,11.95097,2018-11-03,33
2020,7.7803364,2019-11-02,32
2021,12.236942,2020-11-06,36
2022,4.7947516,2022-01-06,97
2023,14.681645,2022-11-26,56
2024,13.555451,2024-09-13,348
2025,10.811569,2025-09-28,362
2026,10.795896,2025-10-01,0
2027,12.354815,2027-09-30,364
2028,12.968807,2027-10-29,28
2029,0.9325819,2029-07-12,284
2030,10.968692,2030-09-10,344
2031,10.652128,2031-09-29,363
2032,13.589817,2031-10-26,25
2033,4.23444,2033-07-02,274
2034,7.616223,2034-09-16,350
2035,5.8864794,2034-10-01,0
2036,2.563579,2036-07-05,278
2037,4.260586,2037-06-23,265
2038,2.232639,2038-06-12,254
2039,4.2500606,2039-09-23,357
2040,4.0297365,2040-08-09,313
2041,3.8640292,2041-05-17,228
2042,2.2967873,2042-07-09,281
2043,2.053492,2043-05-07,218
2044,4.8325806,2044-06-01,244
2045,1.1714956,2045-07-21,293
2046,9.346941,2046-07-05,277
2047,3.4123354,2047-07-19,291
2048,1.1457247,2048-06-20,263
2049,2.664011,2049-04-04,185
2050,1.8339239,2050-06-24,266
2051,14.479959,2051-06-15,257
2052,3.8987286,2052-05-01,213
2053,8.687106,2053-04-24,205
2054,0.85506517,2054-04-08,189
2055,2.301206,2055-05-01,212
2056,2.5481067,2056-04-26,208
2057,4.8029246,2057-05-18,229
2058,0.7573463,2058-05-01,212
2059,2.3938622,2059-04-12,193
2060,0.9380896,2060-04-09,191
2061,5.315065,2061-03-12,162
2062,4.6042213,2062-03-04,154
2063,5.538785,2063-02-12,134
2064,2.8790662,2064-03-19,170
2065,11.159591,2065-03-14,164
2066,6.1534624,2066-02-22,144
2067,1.9661522,2066-12-19,79
2068,1.4891745,2068-01-18,109
2069,0.6440732,2069-01-17,108
2070,4.0441093,2070-03-05,155
2071,1.7075204,2070-12-30,90
2072,6.3478346,2072-02-23,145
2073,1.2765028,2073-02-18,140
2074,3.5564735,2074-01-05,96
2075,2.67404,2075-01-04,95
2076,2.5695245,2076-01-08,99
2077,1.1781015,2077-02-17,139
2078,1.9429531,2078-01-07,98
2079,1.6318691,2078-11-21,51
2080,1.9552438,2080-01-19,110
2081,2.6010625,2080-11-29,59
2082,1.1195534,2081-11-14,44
2083,0.6795504,2082-11-12,42
2084,1.3350661,2083-12-15,75
2085,1.7287995,2084-11-21,51
2086,0.58768183,2085-10-29,28
2087,0.19300373,2086-10-28,27
2088,0.06756597,2087-10-22,21
2089,0.04174333,2088-11-19,49
2090,0.7451286,2089-10-09,8
2091,0.0043368866,2091-09-01,335
2092,0.49397177,2092-09-16,351
2093,0.344581,2092-11-01,31
2094,0.32028228,2094-09-27,361
2095,0.21653679,2095-07-12,284
2096,0.6795218,2095-10-19,18
2097,2.6517603,2097-08-17,320
