,maxval,maxdate,maxarg
1981,11.335229,1981-03-23,173
1982,15.424943,1982-02-18,140
1983,5.9884253,1983-01-23,114
1984,3.539941,1984-02-18,140
1985,12.8872595,1985-02-04,126
1986,13.314895,1986-03-15,165
1987,15.421793,1987-02-23,145
1988,5.693679,1988-01-18,109
1989,5.587391,1989-01-12,103
1990,14.183261,1990-02-26,148
1991,8.203108,1991-02-05,127
1992,4.634249,1992-01-23,114
1993,8.644707,1993-01-20,111
1994,11.622823,1993-12-12,72
1995,12.853745,1994-12-12,72
1996,8.243676,1995-12-14,74
1997,8.554829,1996-11-28,58
1998,17.342184,1997-12-31,91
1999,10.60495,1998-11-28,58
2000,3.125347,1999-11-18,48
2001,8.214417,2000-12-09,69
2002,12.142407,2001-12-05,65
2003,8.705994,2002-12-02,62
2004,5.947275,2003-10-26,25
2005,8.593104,2005-09-30,364
2006,8.965205,2005-10-01,0
2007,5.357536,2007-09-21,355
2008,12.077212,2008-09-30,365
2009,12.082649,2008-10-01,0
2010,13.61629,2010-09-17,351
2011,14.128224,2010-11-06,36
2012,6.9964366,2011-10-01,0
2013,4.9965925,2012-10-01,0
2014,9.758814,2014-01-21,112
2015,8.115291,2015-01-28,119
2016,10.027706,2015-12-15,75
2017,9.825468,2016-12-01,61
2018,8.474223,2018-09-30,364
2019,10.376294,2018-11-01,31
2020,5.6411076,2019-11-06,36
2021,10.942374,2020-11-27,57
2022,3.0531104,2021-11-29,59
2023,5.5133057,2023-09-06,340
2024,10.193929,2023-12-05,65
2025,10.689726,2024-10-16,15
2026,6.3103414,2025-10-14,13
2027,6.1787715,2027-09-30,364
2028,6.469866,2027-10-09,8
2029,7.5792046,2028-10-28,27
2030,9.798661,2030-09-15,349
2031,11.594866,2030-10-20,19
2032,9.589012,2031-10-01,0
2033,11.646682,2033-09-30,364
2034,12.050716,2033-10-10,9
2035,11.229672,2034-10-01,0
2036,10.657339,2035-10-05,4
2037,6.6813884,2037-07-25,297
2038,8.148676,2038-09-03,337
2039,5.2991123,2038-10-01,0
2040,7.6825027,2040-09-10,345
2041,3.77569,2041-06-22,264
2042,2.3047023,2042-07-15,287
2043,8.019581,2043-08-28,331
2044,5.5365543,2044-07-06,279
2045,3.0245178,2045-07-21,293
2046,5.976017,2046-07-08,280
2047,8.664504,2047-07-01,273
2048,6.9963245,2048-07-17,290
2049,3.3885117,2049-05-10,221
2050,2.183837,2050-06-13,255
2051,3.9441483,2051-05-08,219
2052,1.9789071,2052-04-22,204
2053,9.187866,2053-06-02,244
2054,13.266801,2054-06-24,266
2055,8.600095,2055-06-13,255
2056,2.6737328,2056-04-27,209
2057,10.5768795,2057-06-09,251
2058,3.690981,2058-04-30,211
2059,2.2968075,2059-06-14,256
2060,3.4543033,2060-05-24,236
2061,7.8927755,2061-03-13,163
2062,5.4142647,2062-03-25,175
2063,6.237553,2063-04-19,200
2064,3.0473387,2064-04-20,202
2065,5.4653754,2065-03-11,161
2066,5.702105,2066-02-17,139
2067,1.7437166,2067-04-07,188
2068,2.8837237,2068-03-05,156
2069,1.539844,2069-02-22,144
2070,5.042587,2070-03-03,153
2071,8.197517,2071-03-25,175
2072,10.071037,2072-03-07,158
2073,2.5488644,2073-02-12,134
2074,8.320169,2074-02-19,141
2075,2.6154647,2075-02-05,127
2076,1.0919914,2075-12-28,88
2077,3.1622908,2076-12-18,78
2078,6.199628,2078-01-11,102
2079,3.487982,2079-01-22,113
2080,1.6000729,2079-12-30,90
2081,2.011501,2080-10-15,14
2082,1.6563336,2081-12-02,62
2083,1.436214,2082-12-01,61
2084,2.4016545,2084-01-02,93
2085,2.333367,2084-10-15,14
2086,3.2064562,2085-11-01,31
2087,3.3398755,2086-12-06,66
2088,1.20526,2087-12-05,65
2089,1.1702744,2089-09-30,364
2090,1.2714373,2089-10-06,5
2091,1.8891035,2091-09-03,337
2092,1.2512668,2091-12-03,63
2093,1.6775653,2093-09-28,362
2094,1.543619,2093-10-05,4
2095,2.2199485,2094-10-20,19
2096,1.5503225,2096-09-04,339
2097,4.1197486,2097-09-30,364
