,maxval,maxdate,maxarg
1981,20.954666,1981-03-25,175
1982,35.55696,1982-03-12,162
1983,18.230042,1983-02-26,148
1984,12.105952,1984-02-18,140
1985,29.188171,1985-03-06,156
1986,12.524676,1986-03-12,162
1987,20.360687,1987-03-06,156
1988,14.786108,1988-02-02,124
1989,13.95863,1989-01-31,122
1990,23.179148,1990-02-19,141
1991,19.43176,1991-01-28,119
1992,16.197771,1992-01-22,113
1993,19.035263,1993-02-01,123
1994,23.277563,1993-12-28,88
1995,26.80273,1995-01-15,106
1996,13.719604,1996-01-19,110
1997,14.295087,1996-12-20,80
1998,23.66509,1997-12-30,90
1999,9.084649,1998-11-09,39
2000,6.7459846,1999-12-02,62
2001,12.743864,2001-09-30,364
2002,18.112986,2001-11-25,55
2003,23.292328,2002-12-05,65
2004,21.451681,2004-09-27,362
2005,25.515285,2004-12-01,61
2006,27.851496,2005-11-16,46
2007,18.27021,2006-10-26,25
2008,13.950758,2007-10-30,29
2009,17.265137,2009-09-29,363
2010,17.825098,2009-10-08,7
2011,29.805841,2011-09-30,364
2012,29.791798,2011-10-02,1
2013,25.023386,2012-10-12,11
2014,16.12819,2014-01-22,113
2015,21.057764,2015-01-27,118
2016,13.684502,2016-02-02,124
2017,30.6954,2017-01-21,112
2018,21.683556,2018-01-30,121
2019,18.046156,2018-12-07,67
2020,14.714221,2019-11-10,40
2021,23.93944,2020-12-07,67
2022,14.141928,2022-01-05,96
2023,23.353867,2022-12-12,72
2024,16.243824,2024-09-30,365
2025,25.298292,2024-11-22,52
2026,14.961847,2025-12-05,65
2027,12.988698,2026-11-16,46
2028,12.772447,2028-09-30,365
2029,18.824785,2028-10-31,30
2030,11.740095,2030-09-30,364
2031,14.067838,2030-11-10,40
2032,13.9118395,2031-10-28,27
2033,18.825361,2033-09-30,364
2034,24.53654,2034-09-30,364
2035,26.059855,2034-10-22,21
2036,23.952635,2035-10-08,7
2037,22.980284,2037-08-19,322
2038,17.561249,2037-10-01,0
2039,26.728065,2039-09-23,357
2040,27.292406,2039-10-04,3
2041,22.859829,2041-08-12,315
2042,13.545726,2042-08-10,313
2043,15.791242,2043-08-18,321
2044,20.58049,2044-07-13,286
2045,6.9444904,2045-08-17,320
2046,21.694513,2046-07-12,284
2047,24.285706,2047-07-27,299
2048,11.038205,2048-07-16,289
2049,10.925927,2049-06-23,265
2050,15.724538,2050-07-25,297
2051,18.784395,2051-06-25,267
2052,18.518248,2052-05-23,235
2053,22.967234,2053-06-20,262
2054,14.765925,2054-06-24,266
2055,10.852917,2055-06-22,264
2056,8.31978,2056-04-30,212
2057,12.364171,2057-06-08,250
2058,12.484038,2058-06-04,246
2059,11.452401,2059-05-02,213
2060,6.954264,2060-04-25,207
2061,13.4850445,2061-04-14,195
2062,22.772976,2062-04-02,183
2063,7.837471,2063-04-16,197
2064,10.896305,2064-04-19,201
2065,9.142638,2065-03-15,165
2066,17.063515,2066-03-15,165
2067,5.4478865,2067-02-01,123
2068,7.4354944,2068-02-19,141
2069,7.16572,2069-02-24,146
2070,9.722029,2070-03-23,173
2071,8.261105,2071-02-17,139
2072,11.932862,2072-03-25,176
2073,15.2282715,2073-03-18,168
2074,8.155055,2074-02-18,140
2075,15.553334,2075-02-09,131
2076,10.682823,2076-02-04,126
2077,4.3142476,2077-01-06,97
2078,10.332849,2078-01-21,112
2079,10.130649,2079-01-23,114
2080,3.0741246,2080-01-21,112
2081,5.9310102,2080-12-03,63
2082,4.670032,2081-12-09,69
2083,5.2314696,2082-12-08,68
2084,12.086377,2083-12-14,74
2085,12.086468,2085-01-01,92
2086,5.38863,2085-11-06,36
2087,4.1274476,2086-10-29,28
2088,1.5963733,2087-12-02,62
2089,3.5153883,2088-10-25,24
2090,2.940241,2090-09-16,350
2091,4.724815,2091-09-19,353
2092,5.868961,2091-10-16,15
2093,4.097211,2092-11-12,42
2094,4.8645635,2094-09-30,364
2095,6.319733,2094-10-22,21
2096,7.401916,2095-10-23,22
2097,5.907609,2097-09-30,364
