,maxval,maxdate,maxarg
1981,2.1488523,1981-02-02,124
1982,3.1399555,1982-01-09,100
1983,1.1995962,1982-12-25,85
1984,0.95861274,1984-01-07,98
1985,4.0107813,1985-01-11,102
1986,2.7263331,1986-01-05,96
1987,5.051462,1987-01-30,121
1988,1.3203309,1987-12-12,72
1989,0.6425884,1988-11-27,57
1990,4.6694584,1990-01-03,94
1991,1.2414472,1990-10-19,18
1992,0.78584343,1991-11-23,53
1993,2.8656487,1992-12-15,75
1994,4.067053,1993-12-09,69
1995,4.91867,1994-11-27,57
1996,1.1764809,1995-10-30,29
1997,3.9128232,1997-09-30,364
1998,4.581621,1997-10-04,3
1999,3.546829,1998-11-08,38
2000,1.1205441,1999-10-04,3
2001,2.027522,2001-09-29,363
2002,3.2221334,2001-10-07,6
2003,0.8226921,2003-09-30,364
2004,4.975221,2004-09-24,359
2005,4.99795,2004-10-03,2
2006,1.8800094,2006-08-11,314
2007,3.1075342,2007-08-31,334
2008,3.025932,2008-08-26,330
2009,1.2399273,2009-07-11,283
2010,7.8414617,2010-09-09,343
2011,3.4962232,2010-10-01,0
2012,1.0188999,2012-07-15,288
2013,0.661744,2013-07-06,278
2014,5.619584,2013-12-15,75
2015,2.3581388,2015-01-22,113
2016,1.4815017,2015-11-24,54
2017,3.9844065,2016-11-30,60
2018,2.4939244,2017-11-04,34
2019,1.2338693,2018-10-20,19
2020,1.0219576,2019-10-14,13
2021,5.1590366,2020-10-11,10
2022,0.73264986,2022-08-10,313
2023,3.7212577,2022-11-08,38
2024,4.117318,2024-09-12,347
2025,1.4404893,2024-10-01,0
2026,1.0387659,2025-10-01,0
2027,2.4409738,2027-09-16,350
2028,1.9149462,2027-10-01,0
2029,0.75535405,2029-09-09,343
2030,2.814951,2030-08-17,320
2031,3.2569864,2031-09-18,352
2032,1.5066789,2031-10-01,0
2033,2.325582,2033-06-24,266
2034,1.7887378,2034-07-20,292
2035,1.4181541,2035-09-23,357
2036,0.88668853,2036-08-22,326
2037,1.2374104,2037-06-02,244
2038,0.62526006,2038-06-29,271
2039,1.1030277,2039-05-15,226
2040,1.3770885,2040-08-06,310
2041,0.95545477,2041-05-11,222
2042,0.61428183,2042-07-14,286
2043,1.0931224,2043-05-07,218
2044,1.2293366,2044-06-01,244
2045,1.7758428,2045-07-21,293
2046,1.5270187,2046-06-12,254
2047,1.285339,2047-04-11,192
2048,1.9963818,2048-06-02,245
2049,0.8114918,2049-04-04,185
2050,1.0174487,2050-03-27,177
2051,1.4666059,2051-05-07,218
2052,1.026532,2052-03-23,174
2053,2.4792025,2053-04-19,200
2054,1.7111133,2054-03-30,180
2055,1.3666279,2055-03-11,161
2056,0.6884018,2056-03-03,154
2057,2.3988986,2057-05-16,227
2058,1.5012705,2058-06-03,245
2059,0.38277024,2059-04-29,210
2060,0.512397,2060-04-05,187
2061,1.7858568,2061-02-28,150
2062,1.485994,2062-03-26,176
2063,0.7268293,2063-03-15,165
2064,0.63814145,2064-04-19,201
2065,1.0123165,2065-03-11,161
2066,2.0056925,2066-01-12,103
2067,0.35777873,2067-02-21,143
2068,1.0932664,2068-01-20,111
2069,0.30609503,2069-01-19,110
2070,1.3746365,2070-02-07,129
2071,2.3049717,2071-01-14,105
2072,2.5621464,2072-02-19,141
2073,1.4771414,2073-02-11,133
2074,1.019748,2074-01-20,111
2075,0.4021737,2074-11-03,33
2076,0.9976297,2076-01-29,120
2077,1.2113246,2076-12-10,70
2078,1.2416024,2077-11-23,53
2079,1.195376,2078-11-16,46
2080,0.49783865,2080-03-10,161
2081,0.70784825,2081-01-10,101
2082,0.1950501,2081-11-13,43
2083,0.3698342,2082-12-20,80
2084,0.6842026,2083-12-03,63
2085,0.5098225,2084-10-14,13
2086,1.1025099,2085-10-29,28
2087,0.48821753,2086-10-15,14
2088,1.4966611,2087-12-01,61
2089,0.38687286,2088-10-07,6
2090,0.32009065,2090-09-14,348
2091,0.10654488,2091-08-31,334
2092,0.6527673,2091-10-14,13
2093,0.6487419,2093-09-27,361
2094,0.41749376,2094-08-31,334
2095,0.33610016,2095-08-10,313
2096,0.37312582,2095-10-07,6
2097,0.8061533,2097-08-16,319
