,maxval,maxdate,maxarg
1981,11.818477,1981-03-24,174
1982,9.261358,1982-02-21,143
1983,2.6927762,1983-01-25,116
1984,3.3015447,1984-04-21,203
1985,10.5173,1985-03-05,155
1986,2.4369504,1986-03-14,164
1987,11.118571,1987-02-24,146
1988,3.7512512,1988-01-19,110
1989,3.4910698,1988-12-26,86
1990,9.355384,1990-01-19,110
1991,2.755026,1990-11-08,38
1992,3.0007598,1991-12-05,65
1993,6.156165,1992-12-15,75
1994,6.3911905,1993-12-12,72
1995,9.603273,1995-01-04,95
1996,5.3920493,1995-12-29,89
1997,4.8369637,1996-11-12,42
1998,8.035162,1997-12-31,91
1999,5.8642535,1998-11-09,39
2000,1.3898711,2000-09-18,353
2001,1.4070191,2001-08-07,310
2002,4.7971277,2002-09-30,364
2003,7.03662,2002-12-05,65
2004,4.876738,2004-09-28,363
2005,7.139581,2005-09-17,351
2006,7.5701303,2005-11-16,46
2007,7.1604705,2006-10-14,13
2008,4.77898,2007-10-25,24
2009,3.6898353,2008-10-01,0
2010,8.847191,2010-09-22,356
2011,9.84641,2011-09-26,360
2012,9.812809,2011-10-01,0
2013,0.9204564,2012-11-27,57
2014,5.6136227,2014-01-20,111
2015,3.4096103,2015-01-27,118
2016,6.0764494,2016-01-06,97
2017,7.769215,2016-12-04,64
2018,6.548482,2017-11-25,55
2019,3.2573323,2018-10-21,20
2020,2.2020192,2019-10-25,24
2021,8.225541,2020-11-20,50
2022,2.7520616,2022-01-20,111
2023,6.857319,2022-11-28,58
2024,6.641478,2024-09-13,348
2025,6.84472,2024-10-16,15
2026,4.196349,2025-10-01,0
2027,5.1055183,2027-09-30,364
2028,5.6041236,2027-10-16,15
2029,0.9022686,2028-10-28,27
2030,4.683068,2030-09-17,351
2031,4.2645335,2031-09-18,352
2032,3.785465,2031-10-01,0
2033,9.877426,2033-09-22,356
2034,9.745395,2033-10-02,1
2035,7.919191,2035-09-23,357
2036,7.1280212,2035-10-01,0
2037,4.039744,2037-08-02,305
2038,1.432966,2038-06-11,253
2039,2.2157202,2039-05-22,233
2040,2.6192136,2040-08-09,313
2041,2.6598208,2040-10-04,3
2042,1.0225427,2042-05-31,242
2043,2.3890944,2043-08-28,331
2044,5.393832,2044-07-10,283
2045,1.9123322,2045-07-21,293
2046,7.481713,2046-07-08,280
2047,2.5392919,2047-06-06,248
2048,3.8307796,2048-06-02,245
2049,1.2327251,2049-05-08,219
2050,3.5360742,2050-04-17,198
2051,7.175057,2051-06-16,258
2052,1.4119017,2052-04-10,192
2053,2.698327,2053-06-06,248
2054,1.9132596,2054-04-12,193
2055,4.2477736,2055-06-02,244
2056,1.4265461,2056-06-17,260
2057,8.25883,2057-05-23,234
2058,1.8747313,2058-06-05,247
2059,2.157665,2059-04-25,206
2060,1.0737312,2060-05-14,226
2061,3.8387678,2061-03-13,163
2062,3.8940916,2062-03-31,181
2063,0.81509876,2063-02-13,135
2064,2.4826467,2064-04-19,201
2065,3.0572321,2065-03-11,161
2066,3.3110743,2066-02-22,144
2067,0.80322933,2067-04-07,188
2068,1.042146,2067-12-07,67
2069,1.9523432,2069-05-13,224
2070,2.8177989,2070-02-27,149
2071,2.2144868,2071-01-12,103
2072,5.182756,2072-02-19,141
2073,2.1157055,2073-03-14,164
2074,1.9084146,2074-01-06,97
2075,1.4895302,2074-11-03,33
2076,1.4480048,2076-01-30,121
2077,2.724334,2076-12-10,70
2078,1.7180334,2077-11-23,53
2079,2.0211656,2078-11-26,56
2080,2.0887275,2079-12-31,91
2081,0.7555101,2080-11-10,40
2082,0.90535027,2081-12-01,61
2083,0.82518387,2082-11-17,47
2084,1.3539228,2084-01-02,93
2085,1.0783186,2084-12-24,84
2086,1.8853703,2085-10-30,29
2087,1.139806,2086-10-26,25
2088,1.4221048,2087-12-02,62
2089,0.45007288,2088-10-09,8
2090,0.40678775,2089-10-25,24
2091,0.88928604,2091-09-02,336
2092,0.8621944,2092-08-24,328
2093,1.1910055,2093-09-28,362
2094,1.142176,2094-09-05,339
2095,0.64157,2095-08-14,317
2096,0.8985939,2095-10-07,6
2097,1.8255678,2097-08-16,319
