,maxval,maxdate,maxarg
1981,38.89365,1981-03-28,178
1982,32.33377,1982-03-06,156
1983,30.505611,1983-01-26,117
1984,28.109762,1984-02-04,126
1985,44.5614,1985-03-14,164
1986,22.846498,1986-02-06,128
1987,32.367023,1987-03-11,161
1988,35.90007,1988-02-23,145
1989,26.446573,1989-02-04,126
1990,27.291101,1990-02-19,141
1991,23.95801,1991-01-28,119
1992,15.194299,1992-01-24,115
1993,26.846443,1993-01-31,122
1994,30.951454,1994-01-08,99
1995,43.173588,1995-01-15,106
1996,25.561798,1996-01-19,110
1997,14.7208,1996-11-18,48
1998,37.601906,1997-12-28,88
1999,17.469357,1998-11-19,49
2000,13.544799,2000-09-23,358
2001,20.935408,2000-12-19,79
2002,20.296366,2002-09-30,364
2003,28.940409,2002-11-28,58
2004,27.881561,2003-11-06,36
2005,39.880264,2004-12-02,62
2006,29.10802,2005-11-18,48
2007,30.426098,2006-11-08,38
2008,26.404154,2007-10-31,30
2009,27.650064,2008-10-24,23
2010,28.918568,2010-09-23,357
2011,27.317282,2010-10-27,26
2012,26.165491,2012-09-10,345
2013,26.02981,2012-10-12,11
2014,19.332672,2014-01-15,106
2015,31.591427,2014-12-18,78
2016,14.899411,2016-01-07,98
2017,32.91941,2017-01-20,111
2018,39.3689,2018-02-03,125
2019,17.344936,2018-11-05,35
2020,23.013962,2019-11-25,55
2021,38.321926,2020-12-17,77
2022,19.986607,2022-01-09,100
2023,32.277035,2022-11-27,57
2024,18.409431,2024-09-30,365
2025,26.378315,2024-11-22,52
2026,25.369339,2025-12-01,61
2027,21.89435,2027-09-30,364
2028,27.961353,2027-12-10,70
2029,9.660036,2028-10-30,29
2030,21.002615,2030-09-30,364
2031,29.169916,2030-11-18,48
2032,19.136358,2031-10-31,30
2033,24.260008,2033-09-25,359
2034,27.004812,2034-09-22,356
2035,32.84964,2034-10-24,23
2036,23.897287,2035-10-01,0
2037,18.231195,2037-08-18,321
2038,15.530315,2038-08-03,306
2039,18.650751,2039-09-23,357
2040,22.032845,2040-08-30,334
2041,22.419811,2041-08-14,317
2042,13.9011,2041-10-01,0
2043,5.587658,2043-05-31,242
2044,15.981441,2044-06-30,273
2045,9.418663,2045-08-17,320
2046,24.435219,2046-07-12,284
2047,13.787073,2047-07-26,298
2048,9.403973,2048-06-21,264
2049,9.104,2049-06-27,269
2050,6.280237,2050-07-07,279
2051,24.166231,2051-06-24,266
2052,5.077871,2052-05-01,213
2053,14.960989,2053-06-11,253
2054,4.49786,2054-04-15,196
2055,16.143635,2055-07-01,273
2056,2.2492945,2056-04-27,209
2057,13.223697,2057-05-24,235
2058,3.8927464,2058-04-01,182
2059,5.7613645,2059-05-01,212
2060,2.129312,2060-04-08,190
2061,14.057073,2061-03-14,164
2062,16.759031,2062-04-21,202
2063,15.806937,2063-04-02,183
2064,9.803382,2064-04-22,204
2065,16.402374,2065-04-04,185
2066,16.936302,2066-03-13,163
2067,3.3127067,2067-04-10,191
2068,5.3491297,2068-02-14,136
2069,2.817856,2069-01-19,110
2070,17.220625,2070-03-28,178
2071,3.9076085,2071-02-03,125
2072,10.156129,2072-03-24,175
2073,7.5704813,2073-02-25,147
2074,7.527374,2074-02-20,142
2075,15.171307,2075-02-08,130
2076,10.977233,2076-02-02,124
2077,3.1920788,2076-12-18,78
2078,4.988924,2078-01-10,101
2079,3.9147902,2078-12-20,80
2080,8.540473,2080-01-20,111
2081,7.2204957,2080-12-02,62
2082,1.2053261,2082-09-24,358
2083,3.4741023,2082-12-08,68
2084,5.4186387,2083-12-16,76
2085,7.123956,2084-12-31,91
2086,2.2342665,2085-10-31,30
2087,3.2380912,2086-12-10,70
2088,1.0150164,2087-11-03,33
2089,1.107968,2088-10-28,27
2090,3.9246585,2089-10-28,27
2091,1.4178998,2090-10-01,0
2092,2.0299325,2092-09-25,360
2093,2.7639565,2093-08-13,316
2094,3.4056273,2094-09-30,364
2095,3.6046534,2094-10-02,1
2096,3.6029935,2095-11-17,47
2097,4.7862573,2097-08-31,334
