,maxval,maxdate,maxarg
1981,37.29266,1981-04-06,187
1982,24.10518,1982-03-09,159
1983,29.944826,1983-03-23,173
1984,21.718355,1984-02-01,123
1985,35.023373,1985-03-24,174
1986,19.047192,1986-02-18,140
1987,34.76662,1987-03-30,180
1988,26.298485,1988-02-23,145
1989,22.41214,1989-02-07,129
1990,29.245901,1990-02-19,141
1991,30.919495,1991-02-03,125
1992,13.319698,1992-01-20,111
1993,18.973875,1993-02-09,131
1994,23.260101,1994-01-09,100
1995,30.709694,1994-12-30,90
1996,14.508019,1996-01-22,113
1997,16.814306,1996-11-10,40
1998,27.014574,1997-12-17,77
1999,17.949484,1998-12-13,73
2000,13.081318,2000-09-22,357
2001,22.098341,2000-12-18,78
2002,18.922764,2002-09-30,364
2003,31.885313,2002-12-31,91
2004,21.38452,2003-12-10,70
2005,26.741198,2004-12-03,63
2006,18.66742,2005-11-18,48
2007,23.304428,2006-11-08,38
2008,25.979445,2007-11-01,31
2009,21.379423,2008-10-28,27
2010,20.061182,2009-10-18,17
2011,22.94039,2011-09-30,364
2012,25.004883,2012-08-30,334
2013,24.210884,2012-10-14,13
2014,16.930073,2014-01-13,104
2015,22.391586,2014-12-18,78
2016,17.165922,2016-01-09,100
2017,22.02382,2017-01-23,114
2018,30.037775,2018-02-05,127
2019,14.969935,2018-11-20,50
2020,20.190039,2020-01-09,100
2021,29.692188,2020-12-17,77
2022,22.595861,2022-01-09,100
2023,24.693604,2023-01-12,103
2024,11.807275,2023-11-16,46
2025,13.878406,2024-12-09,69
2026,17.002974,2025-12-07,67
2027,16.345465,2027-09-30,364
2028,21.42396,2027-12-17,77
2029,13.643096,2028-10-31,30
2030,10.397411,2030-08-19,322
2031,17.478153,2030-11-22,52
2032,12.644633,2031-11-02,32
2033,21.150362,2033-09-30,364
2034,21.716982,2033-10-03,2
2035,22.107613,2034-10-25,24
2036,16.591494,2035-10-01,0
2037,16.111633,2037-08-18,321
2038,13.939515,2038-09-06,340
2039,20.854809,2039-09-22,356
2040,27.319574,2040-09-21,356
2041,26.082401,2040-10-02,1
2042,10.829171,2041-10-05,4
2043,8.245173,2043-08-04,307
2044,12.604256,2044-07-14,287
2045,8.803847,2045-07-27,299
2046,15.084315,2046-07-09,281
2047,20.923738,2047-07-27,299
2048,17.30697,2048-07-02,275
2049,10.358129,2049-06-28,270
2050,8.320153,2050-07-24,296
2051,15.709599,2051-06-30,272
2052,3.2072482,2052-05-01,213
2053,15.642327,2053-06-15,257
2054,6.2323947,2054-06-17,259
2055,12.600973,2055-06-30,272
2056,2.458788,2056-04-28,210
2057,12.330446,2057-05-28,239
2058,8.909945,2058-05-17,228
2059,2.221172,2059-03-04,154
2060,11.124407,2060-04-18,200
2061,13.351261,2061-03-11,161
2062,15.342859,2062-04-06,187
2063,5.817074,2063-04-02,183
2064,5.348418,2064-02-14,136
2065,9.135607,2065-04-08,189
2066,12.950147,2066-03-12,162
2067,4.2499204,2067-02-26,148
2068,10.891534,2068-02-15,137
2069,4.38478,2069-02-24,146
2070,12.826406,2070-03-06,156
2071,4.2707453,2071-02-26,148
2072,9.590325,2072-03-07,158
2073,6.7390647,2073-03-12,162
2074,2.0685072,2074-01-19,110
2075,9.095269,2075-02-11,133
2076,16.214851,2076-02-05,127
2077,3.1478453,2076-12-14,74
2078,3.0549088,2078-01-13,104
2079,2.983156,2078-11-29,59
2080,5.419947,2080-01-19,110
2081,5.751125,2080-12-02,62
2082,0.57461447,2081-11-25,55
2083,4.4954977,2082-12-09,69
2084,8.56693,2084-01-01,92
2085,6.4809265,2084-12-31,91
2086,2.9224885,2085-10-29,28
2087,1.774762,2086-10-30,29
2088,1.8024551,2088-09-20,355
2089,2.2507434,2088-10-29,28
2090,2.8543656,2089-11-02,32
2091,1.8016843,2090-10-01,0
2092,1.5941728,2092-09-27,362
2093,1.429594,2092-11-14,44
2094,2.0784903,2093-10-03,2
2095,3.3409705,2095-08-20,323
2096,3.2071977,2095-11-15,45
2097,3.0737686,2097-08-30,333
