,maxval,maxdate,maxarg
1981,24.150642,1981-03-24,174
1982,49.470978,1982-03-08,158
1983,20.168488,1983-01-25,116
1984,6.8855534,1984-02-03,125
1985,26.184618,1985-02-17,139
1986,12.598846,1986-02-07,129
1987,24.080767,1987-02-23,145
1988,11.864115,1988-01-31,122
1989,8.239824,1988-12-29,89
1990,25.457716,1990-02-26,148
1991,18.224665,1991-01-24,115
1992,13.261193,1992-01-22,113
1993,20.512884,1993-01-28,119
1994,19.778957,1993-12-11,71
1995,32.189243,1995-01-12,103
1996,18.022411,1995-12-16,76
1997,15.628745,1996-11-12,42
1998,27.40692,1997-12-30,90
1999,16.263098,1998-11-08,38
2000,4.929665,1999-10-07,6
2001,11.485651,2001-09-30,364
2002,17.937126,2001-11-25,55
2003,22.322762,2002-12-01,61
2004,21.705801,2003-12-02,62
2005,20.81516,2004-10-04,3
2006,23.3802,2006-09-30,364
2007,26.67602,2006-10-24,23
2008,17.397284,2008-09-30,365
2009,17.398615,2008-10-01,0
2010,23.230635,2010-09-08,342
2011,23.676878,2011-09-24,358
2012,26.915442,2012-09-10,345
2013,26.050924,2012-10-08,7
2014,16.287758,2014-01-12,103
2015,20.558805,2015-01-26,117
2016,14.24922,2015-12-16,76
2017,28.269533,2017-01-20,111
2018,18.122866,2018-01-29,120
2019,13.443053,2018-11-22,52
2020,11.37211,2019-11-24,54
2021,24.054956,2020-11-19,49
2022,10.396183,2022-09-30,364
2023,26.589146,2022-11-26,56
2024,21.023071,2024-09-29,364
2025,24.330229,2024-11-19,49
2026,14.913056,2025-11-27,57
2027,12.485659,2027-09-30,364
2028,13.380639,2027-10-17,16
2029,18.9592,2028-10-30,29
2030,10.301732,2030-09-15,349
2031,10.892122,2031-09-26,360
2032,12.142158,2031-10-24,23
2033,28.111908,2033-09-30,364
2034,29.03954,2033-10-10,9
2035,22.861273,2034-10-22,21
2036,19.877594,2035-10-01,0
2037,14.079008,2037-08-17,320
2038,15.952617,2038-08-24,327
2039,15.213831,2039-09-15,349
2040,16.718891,2040-09-17,352
2041,8.33462,2040-10-03,2
2042,12.3000145,2042-08-09,312
2043,9.808556,2043-08-03,306
2044,14.416962,2044-07-11,284
2045,5.4074297,2045-07-21,293
2046,31.790781,2046-07-08,280
2047,18.59987,2047-07-26,298
2048,11.086847,2048-07-10,283
2049,8.404208,2049-06-01,243
2050,13.288019,2050-06-24,266
2051,14.848272,2051-06-20,262
2052,11.055768,2052-05-19,231
2053,17.721966,2053-06-07,249
2054,21.934132,2054-06-23,265
2055,12.164301,2055-06-12,254
2056,3.3022907,2056-03-03,154
2057,15.657208,2057-06-08,250
2058,4.290808,2058-04-02,183
2059,3.5989487,2059-03-02,152
2060,5.020949,2060-04-20,202
2061,12.834917,2061-04-09,190
2062,22.375774,2062-03-28,178
2063,4.8544354,2063-04-02,183
2064,4.87837,2064-02-03,125
2065,5.138776,2065-03-17,167
2066,12.443634,2066-02-22,144
2067,2.216597,2067-04-09,190
2068,5.7339916,2068-02-16,138
2069,1.8903594,2069-01-22,113
2070,8.948271,2070-03-05,155
2071,6.6579037,2071-02-02,124
2072,15.452912,2072-03-08,159
2073,5.527681,2072-12-12,72
2074,13.254297,2074-02-18,140
2075,15.442012,2075-02-06,128
2076,6.0812354,2076-01-05,96
2077,3.1737874,2076-12-11,71
2078,12.147956,2078-01-12,103
2079,10.162732,2079-01-22,113
2080,2.378671,2080-01-18,109
2081,4.6617284,2081-01-24,115
2082,2.069299,2081-11-27,57
2083,3.6270185,2082-12-08,68
2084,3.1382868,2084-01-02,93
2085,4.5890775,2084-12-25,85
2086,2.572556,2085-11-02,32
2087,5.063978,2086-12-08,68
2088,2.825595,2087-12-01,61
2089,1.2800673,2088-10-10,9
2090,1.3951921,2090-09-16,350
2091,1.0179986,2091-09-03,337
2092,1.5357816,2091-11-26,56
2093,2.047528,2092-11-02,32
2094,1.5971148,2094-09-30,364
2095,3.0204532,2095-08-13,316
2096,1.3479054,2095-10-19,18
2097,5.27743,2097-09-30,364
