,maxval,maxdate,maxarg
1981,11.886956,1981-03-29,179
1982,25.420427,1982-04-17,198
1983,14.596511,1983-03-30,180
1984,16.15765,1984-04-27,209
1985,17.90487,1985-04-05,186
1986,12.299452,1986-03-31,181
1987,13.279728,1987-04-03,184
1988,14.1373,1988-03-19,170
1989,8.1542845,1989-03-01,151
1990,14.753731,1990-03-02,152
1991,16.211815,1991-02-19,141
1992,13.865173,1992-02-17,139
1993,14.268452,1993-02-05,127
1994,16.587137,1994-01-29,120
1995,16.821247,1995-02-24,146
1996,12.301107,1996-01-26,117
1997,11.339966,1997-01-21,112
1998,15.632497,1998-01-15,106
1999,10.748963,1998-12-27,87
2000,11.240354,2000-01-05,96
2001,9.062204,2000-12-27,87
2002,13.7115,2002-01-01,92
2003,16.49226,2003-01-03,94
2004,20.566612,2003-12-12,72
2005,16.166342,2004-12-19,79
2006,22.89622,2005-12-09,69
2007,17.10288,2006-11-30,60
2008,16.134789,2008-09-30,365
2009,18.576828,2008-11-06,36
2010,11.628722,2009-11-13,43
2011,16.690514,2010-11-23,53
2012,14.676571,2011-10-27,26
2013,12.560091,2012-10-18,17
2014,8.838544,2014-01-27,118
2015,15.0809965,2015-02-11,133
2016,11.276212,2016-02-08,130
2017,22.155262,2017-01-24,115
2018,17.686249,2018-02-02,124
2019,17.504965,2019-02-01,123
2020,9.611073,2020-01-02,93
2021,16.522863,2021-01-04,95
2022,13.073447,2022-01-12,103
2023,14.537295,2022-12-31,91
2024,15.47206,2024-01-11,102
2025,17.958647,2024-12-11,71
2026,10.179652,2025-12-12,72
2027,9.901004,2026-11-18,48
2028,14.588933,2027-12-13,73
2029,10.052853,2028-11-23,53
2030,10.996038,2029-11-20,50
2031,9.885268,2030-11-12,42
2032,10.846701,2031-11-04,34
2033,13.766095,2032-11-25,55
2034,12.125816,2034-09-30,364
2035,14.891575,2034-11-04,34
2036,19.115059,2035-11-01,31
2037,14.447709,2036-10-23,22
2038,13.343703,2037-10-28,27
2039,16.229546,2038-10-12,11
2040,17.26261,2039-10-07,6
2041,15.730103,2041-09-09,343
2042,12.024823,2041-10-01,0
2043,8.684554,2043-09-16,350
2044,13.284848,2044-08-31,335
2045,11.121533,2045-09-29,363
2046,16.05487,2046-08-11,314
2047,15.151751,2047-08-28,331
2048,13.2567835,2048-08-11,315
2049,13.676572,2049-07-28,300
2050,12.603099,2050-08-16,319
2051,17.816067,2051-08-02,305
2052,14.47981,2052-07-27,300
2053,12.019378,2053-07-11,283
2054,9.048371,2054-07-15,287
2055,7.5624495,2055-06-23,265
2056,8.631972,2056-06-04,247
2057,10.388137,2057-06-29,271
2058,12.872774,2058-06-22,264
2059,17.205368,2059-06-04,246
2060,8.943663,2060-05-26,238
2061,9.734721,2061-06-02,244
2062,15.9160795,2062-05-20,231
2063,8.789355,2063-05-12,223
2064,16.511446,2064-06-01,244
2065,10.083689,2065-04-29,210
2066,11.153481,2066-05-08,219
2067,13.669666,2067-05-14,225
2068,8.694921,2068-04-18,200
2069,7.2279615,2069-05-15,226
2070,8.355156,2070-03-30,180
2071,10.412715,2071-04-19,200
2072,10.211199,2072-03-29,180
2073,14.849119,2073-03-30,180
2074,12.866372,2074-04-09,190
2075,11.172105,2075-02-20,142
2076,10.601078,2076-02-06,128
2077,8.5299,2077-02-23,145
2078,7.7505035,2078-02-08,130
2079,9.451362,2079-03-16,166
2080,9.700819,2080-03-15,166
2081,14.690396,2081-01-28,119
2082,2.560386,2082-01-07,98
2083,6.095816,2083-01-13,104
2084,12.287436,2084-01-09,100
2085,14.334844,2085-01-16,107
2086,9.230768,2086-02-07,129
2087,11.521217,2087-01-14,105
2088,6.7695856,2087-12-27,87
2089,5.2422156,2088-12-09,69
2090,5.6476984,2089-12-17,77
2091,7.321674,2091-01-02,93
2092,7.750825,2091-12-13,73
2093,9.815565,2092-11-20,50
2094,10.886213,2093-11-25,55
2095,6.9204693,2094-12-06,66
2096,7.8216963,2095-12-07,67
2097,7.1582727,2097-09-30,364
