,maxval,maxdate,maxarg
1981,13.291664,1981-03-24,174
1982,15.497481,1982-02-21,143
1983,5.4445133,1983-01-02,93
1984,5.226427,1984-01-31,122
1985,15.44708,1985-03-06,156
1986,8.319039,1986-02-01,123
1987,10.31915,1987-02-03,125
1988,16.174397,1988-01-29,120
1989,4.479752,1988-12-22,82
1990,11.956405,1990-01-18,109
1991,10.557675,1990-11-08,38
1992,1.6225958,1991-11-22,52
1993,6.08926,1993-01-11,102
1994,8.839843,1993-12-08,68
1995,14.410628,1995-01-14,105
1996,6.472864,1996-01-09,100
1997,6.0798492,1997-09-30,364
1998,15.528015,1997-12-04,64
1999,10.995605,1998-11-08,38
2000,4.483428,2000-09-22,357
2001,4.9415545,2000-11-27,57
2002,6.2230515,2002-09-30,364
2003,7.95892,2002-10-26,25
2004,6.002931,2003-11-03,33
2005,9.023617,2004-11-28,58
2006,10.109833,2006-09-30,364
2007,12.369888,2006-10-12,11
2008,7.103806,2008-08-26,330
2009,4.0134654,2008-10-01,0
2010,10.200694,2010-09-23,357
2011,8.368246,2011-09-30,364
2012,8.454284,2011-10-01,0
2013,2.053494,2013-07-05,277
2014,2.4095063,2013-12-08,68
2015,4.781384,2014-12-01,61
2016,6.523442,2015-12-01,61
2017,3.8355534,2016-12-04,64
2018,12.160831,2017-11-03,33
2019,9.980456,2018-11-04,34
2020,4.314251,2020-09-30,365
2021,11.853955,2020-11-05,35
2022,2.6369243,2022-09-14,348
2023,10.547607,2022-11-27,57
2024,7.5696898,2024-09-13,348
2025,7.461139,2025-09-28,362
2026,7.5062523,2025-11-24,54
2027,6.005512,2027-08-25,328
2028,5.376076,2027-10-04,3
2029,0.49753162,2029-07-12,284
2030,8.449196,2030-08-17,320
2031,6.6883507,2030-10-01,0
2032,6.6040845,2031-10-26,25
2033,4.2486935,2033-09-24,358
2034,4.0242763,2034-09-18,352
2035,5.437988,2035-08-20,323
2036,2.08162,2036-08-23,327
2037,4.1752505,2037-06-23,265
2038,3.7708645,2038-06-19,261
2039,2.0788255,2039-07-21,293
2040,3.0455558,2040-08-09,313
2041,2.4480715,2041-06-27,269
2042,1.774637,2042-07-10,282
2043,1.5126704,2043-05-11,222
2044,1.0441836,2044-05-12,224
2045,2.1787179,2045-07-22,294
2046,7.2118173,2046-07-09,281
2047,2.2997408,2047-07-22,294
2048,1.8938948,2048-06-20,263
2049,2.0142043,2049-04-08,189
2050,2.5351052,2050-06-28,270
2051,9.742246,2051-06-23,265
2052,1.3790882,2052-05-01,213
2053,5.671093,2053-04-25,206
2054,0.934224,2054-03-29,179
2055,3.6977777,2055-05-01,212
2056,0.9771218,2056-03-01,152
2057,4.605827,2057-05-20,231
2058,1.4193541,2058-05-01,212
2059,2.7593784,2059-05-01,212
2060,0.7096147,2060-04-07,189
2061,1.6380266,2061-05-14,225
2062,2.9221683,2062-03-04,154
2063,3.9064722,2063-02-11,133
2064,1.484345,2064-02-01,123
2065,3.0985396,2065-03-14,164
2066,6.1487513,2066-03-11,161
2067,0.9321756,2067-02-26,148
2068,0.8016499,2068-03-21,172
2069,0.12667647,2068-12-11,71
2070,4.8569098,2070-03-05,155
2071,1.0330986,2071-02-03,125
2072,5.072702,2072-02-25,147
2073,1.1831274,2073-02-23,145
2074,1.3234143,2074-01-05,96
2075,2.826841,2075-01-04,95
2076,2.852997,2076-01-20,111
2077,0.56285936,2076-12-14,74
2078,1.4124223,2078-01-09,100
2079,1.0955722,2078-11-22,52
2080,2.4508822,2080-01-18,109
2081,2.5450804,2080-11-08,38
2082,0.25377807,2081-11-25,55
2083,0.4473343,2082-11-21,51
2084,1.2237308,2083-12-16,76
2085,4.167393,2084-11-27,57
2086,1.741804,2085-10-16,15
2087,0.496293,2086-10-03,2
2088,0.35867465,2087-11-03,33
2089,0.14852723,2088-11-19,49
2090,2.6471257,2089-10-28,27
2091,0.16462304,2091-09-01,335
2092,0.68230695,2092-09-17,352
2093,0.38442224,2092-11-14,44
2094,0.35180035,2094-09-25,359
2095,0.5691505,2095-07-11,283
2096,0.018519724,2095-10-18,17
2097,1.6908104,2097-08-27,330
