,maxval,maxdate,maxarg
1981,40.040836,1981-03-24,174
1982,21.129263,1982-02-20,142
1983,17.838877,1983-01-21,112
1984,3.6038682,1984-04-20,202
1985,17.64146,1985-03-25,175
1986,10.141825,1986-02-05,127
1987,25.187944,1987-03-11,161
1988,35.170525,1988-02-23,145
1989,6.094333,1989-02-09,131
1990,21.677368,1990-02-19,141
1991,7.182676,1991-02-03,125
1992,5.0103087,1992-01-21,112
1993,12.204187,1992-12-14,74
1994,21.664957,1993-12-09,69
1995,32.924946,1995-01-02,93
1996,16.385632,1996-01-22,113
1997,6.281986,1997-09-13,347
1998,10.1970005,1998-09-04,338
1999,20.388868,1998-11-08,38
2000,7.8406434,1999-11-17,47
2001,11.313992,2000-12-10,70
2002,11.68217,2002-08-24,327
2003,5.7985435,2002-10-26,25
2004,12.217518,2003-12-01,61
2005,14.930502,2004-12-02,62
2006,12.577502,2006-09-28,362
2007,14.239484,2006-10-11,10
2008,13.622843,2008-08-26,330
2009,4.9414434,2009-08-24,327
2010,25.034872,2010-09-08,342
2011,23.604734,2010-10-28,27
2012,11.634859,2012-08-23,327
2013,3.2526464,2012-10-10,9
2014,6.8828397,2013-12-06,66
2015,16.876413,2015-02-09,131
2016,2.4868426,2015-10-29,28
2017,9.463286,2016-12-01,61
2018,24.21493,2017-11-02,32
2019,9.918793,2018-11-03,33
2020,8.712406,2020-09-30,365
2021,21.009836,2020-11-03,33
2022,10.851127,2022-01-09,100
2023,23.985779,2022-11-21,51
2024,12.050637,2024-09-12,347
2025,7.0479507,2025-09-21,355
2026,19.711756,2025-12-02,62
2027,9.157336,2027-09-13,347
2028,11.329287,2027-12-10,70
2029,2.4967046,2029-07-12,284
2030,7.8928723,2030-08-17,320
2031,17.489462,2030-11-08,38
2032,9.163762,2031-10-25,24
2033,7.4000964,2033-06-24,266
2034,4.8554597,2034-07-18,290
2035,8.834212,2034-10-25,24
2036,4.06941,2036-08-19,323
2037,11.854882,2037-06-21,263
2038,1.1543944,2038-05-18,229
2039,10.48219,2039-09-23,357
2040,12.155539,2039-10-14,13
2041,5.5559382,2041-05-14,225
2042,1.8446002,2041-10-22,21
2043,2.4025598,2043-05-07,218
2044,4.7614703,2044-05-28,240
2045,10.186227,2045-07-25,297
2046,21.888126,2046-06-24,266
2047,13.578305,2047-07-22,294
2048,3.110894,2048-06-15,258
2049,6.3697844,2049-04-04,185
2050,2.2823482,2050-07-21,293
2051,14.555902,2051-05-15,226
2052,3.9219089,2052-03-21,172
2053,10.697702,2053-04-14,195
2054,2.931687,2054-06-17,259
2055,8.127558,2055-05-01,212
2056,4.112291,2056-02-29,151
2057,14.359441,2057-05-24,235
2058,3.7770383,2058-06-03,245
2059,3.5951674,2059-04-29,210
2060,1.4422203,2060-05-22,234
2061,7.0612946,2061-02-26,148
2062,8.285446,2062-03-31,181
2063,3.6074624,2063-02-11,133
2064,2.9295843,2064-01-31,122
2065,7.2505717,2065-03-30,180
2066,2.2644753,2066-02-21,143
2067,2.4813762,2067-05-08,219
2068,0.026771942,2068-02-10,132
2069,0.28596815,2069-05-07,218
2070,11.905122,2070-02-13,135
2071,5.86937,2071-03-29,179
2072,10.016284,2072-02-17,139
2073,4.9948454,2072-12-10,70
2074,3.0298743,2074-02-17,139
2075,3.2901025,2075-03-29,179
2076,5.154342,2076-03-03,154
2077,2.430254,2077-02-20,142
2078,3.492179,2077-11-16,46
2079,6.8560905,2078-11-05,35
2080,2.8598528,2080-02-27,149
2081,3.2163706,2080-11-25,55
2082,2.4182665,2081-11-13,43
2083,0.3537157,2082-11-09,39
2084,4.455581,2083-12-14,74
2085,0.8515577,2084-12-14,74
2086,2.6200576,2085-10-28,27
2087,0.00011351951,2086-12-12,72
2088,0.1739385,2088-01-17,108
2089,0.9189981,2088-11-29,59
2090,0.35481212,2089-12-21,81
2091,6.869103e-05,2090-11-28,58
2092,1.4994165,2091-12-11,71
2093,0.6689665,2092-12-26,86
2094,0.32569775,2094-09-27,361
2095,1.4737214,2095-08-08,311
2096,3.033364,2095-11-12,42
2097,3.1234407,2096-10-27,26
