,maxval,maxdate,maxarg
1981,7.2451973,1981-03-22,172
1982,6.014661,1982-01-08,99
1983,1.6247852,1982-11-10,40
1984,7.0161815,1984-01-27,118
1985,5.271939,1984-12-04,64
1986,5.8784094,1985-12-27,87
1987,8.531642,1987-01-27,118
1988,3.7379692,1987-12-10,70
1989,1.554267,1988-10-28,27
1990,9.28841,1989-12-27,87
1991,4.733357,1990-11-08,38
1992,3.401642,1992-01-01,92
1993,13.625078,1992-12-03,63
1994,14.904204,1994-09-30,364
1995,17.597736,1994-10-14,13
1996,6.247689,1995-10-25,24
1997,5.311149,1997-09-30,364
1998,8.250105,1997-11-25,55
1999,8.665952,1998-11-13,43
2000,2.3439665,1999-11-12,42
2001,7.6763587,2001-09-27,361
2002,9.04704,2001-10-03,2
2003,3.0175052,2003-09-30,364
2004,9.429011,2003-10-23,22
2005,3.1505296,2005-08-06,309
2006,4.2812304,2006-07-29,301
2007,2.5884297,2006-11-22,52
2008,8.9785595,2007-10-24,23
2009,1.9351252,2009-08-08,311
2010,8.526145,2010-07-22,294
2011,2.2429676,2011-08-09,312
2012,5.707219,2012-08-22,326
2013,2.219376,2013-07-02,274
2014,1.2283535,2014-09-29,363
2015,3.621819,2014-11-18,48
2016,5.6425943,2015-10-11,10
2017,3.4668684,2016-11-21,51
2018,3.4885952,2017-11-03,33
2019,0.70983136,2018-12-13,73
2020,4.369499,2020-08-31,335
2021,5.09107,2020-11-01,31
2022,6.0915036,2021-11-22,52
2023,6.889949,2023-08-31,334
2024,4.3227096,2023-10-22,21
2025,8.774482,2025-09-24,358
2026,8.693672,2025-10-01,0
2027,3.2813022,2027-08-25,328
2028,4.1834316,2028-08-18,322
2029,3.052321,2029-09-17,351
2030,4.2079854,2030-08-06,309
2031,2.0708525,2031-09-18,352
2032,7.057726,2032-08-27,331
2033,3.557516,2033-09-17,351
2034,0.7853356,2034-08-12,315
2035,4.598647,2035-09-22,356
2036,0.438774,2036-08-15,319
2037,2.8845282,2037-09-15,349
2038,11.259137,2038-09-02,336
2039,3.2022605,2039-07-29,301
2040,4.436218,2040-08-05,309
2041,2.1411014,2041-07-29,301
2042,2.3969631,2042-07-04,276
2043,3.291507,2043-06-26,268
2044,0.6120644,2044-05-09,221
2045,1.6372732,2045-07-19,291
2046,2.748086,2046-06-22,264
2047,2.9813244,2047-06-03,245
2048,5.451168,2048-07-05,278
2049,1.7257701,2049-04-30,211
2050,2.0075681,2050-04-14,195
2051,2.043549,2051-04-17,198
2052,2.8442838,2052-03-18,169
2053,3.8132977,2053-04-09,190
2054,1.7795637,2054-03-23,173
2055,2.0937119,2055-05-20,231
2056,4.01478,2056-03-05,156
2057,10.956888,2057-05-22,233
2058,1.6954285,2058-03-22,172
2059,0.3788757,2059-04-24,205
2060,0.9373329,2060-03-14,165
2061,0.410295,2061-02-26,148
2062,0.98490334,2062-02-08,130
2063,3.2184196,2063-02-10,132
2064,0.4465584,2064-01-27,118
2065,1.3149368,2065-03-26,176
2066,0.54215103,2066-02-12,134
2067,0.25049567,2067-02-23,145
2068,1.4372891,2068-03-02,153
2069,0.086098544,2069-05-11,222
2070,1.9129996,2070-03-02,152
2071,3.8023052,2071-01-10,101
2072,11.612566,2072-02-23,145
2073,1.9507668,2073-02-09,131
2074,10.145561,2074-01-17,108
2075,1.4892704,2075-03-07,157
2076,1.2022215,2076-03-04,155
2077,1.4652164,2077-02-12,134
2078,1.1330843,2077-12-20,80
2079,1.6725695,2078-11-10,40
2080,1.3303906,2080-01-15,106
2081,3.273206,2080-10-14,13
2082,0.929506,2081-11-13,43
2083,0.7871438,2082-10-15,14
2084,0.008913643,2083-12-01,61
2085,1.2375332,2084-12-23,83
2086,0.56970227,2085-11-24,54
2087,0.5710325,2086-11-26,56
2088,3.3692899,2087-12-01,61
2089,0.39827248,2089-09-30,364
2090,3.2950084,2089-10-03,2
2091,0.025179127,2090-11-20,50
2092,0.25142998,2091-12-02,62
2093,2.182288,2093-09-27,361
2094,1.3826214,2093-10-01,0
2095,1.5613184,2095-08-02,305
2096,1.5052026e-05,2095-10-15,14
2097,0.768858,2097-08-13,316
