,maxval,maxdate,maxarg
1981,52.789062,1981-03-24,174
1982,33.906082,1982-02-20,142
1983,27.200289,1983-01-21,112
1984,3.8299634,1983-12-07,67
1985,36.490913,1985-03-25,175
1986,13.193346,1986-02-05,127
1987,31.315762,1987-03-26,176
1988,46.253094,1988-02-23,145
1989,11.217907,1989-02-09,131
1990,24.007408,1990-01-22,113
1991,16.337643,1990-11-03,33
1992,4.128026,1992-01-21,112
1993,25.1505,1993-01-28,119
1994,23.646132,1993-12-09,69
1995,51.29968,1995-01-15,106
1996,21.669893,1996-01-22,113
1997,12.751654,1997-09-29,363
1998,19.535618,1997-12-05,65
1999,30.235312,1998-11-08,38
2000,9.282001,2000-09-14,349
2001,12.47603,2000-12-19,79
2002,14.560106,2002-08-26,329
2003,10.597989,2002-10-26,25
2004,18.837677,2003-11-02,32
2005,37.18079,2004-12-03,63
2006,24.682537,2006-09-30,364
2007,28.795897,2006-11-07,37
2008,27.880205,2007-10-30,29
2009,9.798676,2009-09-02,336
2010,21.93871,2010-09-23,357
2011,22.081467,2010-10-28,27
2012,14.9891,2011-10-01,0
2013,4.8791413,2012-10-11,10
2014,5.001514,2013-12-06,66
2015,13.393967,2015-02-05,127
2016,3.01104,2015-10-28,27
2017,12.877693,2016-12-01,61
2018,29.178986,2017-11-03,33
2019,15.203461,2018-11-04,34
2020,12.063887,2020-09-30,365
2021,25.975204,2020-11-04,34
2022,15.41446,2022-01-09,100
2023,34.360428,2022-11-25,55
2024,16.479555,2024-09-12,347
2025,12.692752,2025-09-27,361
2026,25.241817,2025-12-02,62
2027,10.897204,2027-09-14,348
2028,14.863964,2027-12-16,76
2029,3.0868816,2029-07-11,283
2030,12.845052,2030-08-17,320
2031,17.235765,2031-09-17,351
2032,21.840757,2031-10-26,25
2033,7.305828,2033-06-28,270
2034,4.5830994,2034-09-23,357
2035,12.422771,2034-10-24,23
2036,8.240818,2036-08-22,326
2037,17.407738,2037-06-21,263
2038,2.0517323,2038-06-12,254
2039,12.768267,2039-09-22,356
2040,12.380386,2039-10-10,9
2041,4.3909645,2041-05-16,227
2042,1.9769815,2042-06-10,252
2043,1.8947752,2043-05-07,218
2044,5.121406,2044-05-12,224
2045,15.774325,2045-07-25,297
2046,22.20341,2046-07-04,276
2047,21.212763,2047-07-24,296
2048,2.3491373,2048-06-09,252
2049,6.289898,2049-04-04,185
2050,6.6506767,2050-06-28,270
2051,15.554694,2051-05-19,230
2052,4.913268,2052-04-30,212
2053,12.359797,2053-04-17,198
2054,2.0560126,2054-07-12,284
2055,9.080407,2055-06-29,271
2056,3.8898022,2056-02-28,150
2057,15.267215,2057-05-24,235
2058,3.173052,2058-07-09,281
2059,2.2182093,2059-02-27,149
2060,0.8362321,2060-05-13,225
2061,4.075016,2061-02-27,149
2062,7.968179,2062-03-31,181
2063,4.409414,2063-02-11,133
2064,3.6043644,2064-01-31,122
2065,6.881521,2065-03-08,158
2066,9.855055,2066-02-21,143
2067,4.5202374,2066-12-19,79
2068,0.05858447,2068-01-12,103
2069,0.52944946,2068-11-16,46
2070,10.433779,2070-03-05,155
2071,4.2797747,2071-03-29,179
2072,8.155712,2072-02-16,138
2073,4.102013,2072-12-10,70
2074,1.9192588,2074-02-17,139
2075,4.45559,2075-03-27,177
2076,6.902841,2076-03-05,156
2077,2.2318358,2076-12-07,67
2078,2.0156164,2077-12-31,91
2079,3.2653358,2079-01-21,112
2080,4.1486597,2079-12-05,65
2081,4.4795475,2081-01-24,115
2082,1.2704736,2081-11-12,42
2083,0.123205364,2082-11-12,42
2084,5.905215,2083-12-15,75
2085,2.3208935,2084-11-27,57
2086,1.3848156,2085-10-13,12
2087,0.2397959,2086-10-02,1
2088,0.037850328,2088-01-17,108
2089,0.17226262,2088-11-19,49
2090,0.4956139,2089-12-21,81
2091,5.307919e-05,2090-12-14,74
2092,0.82453036,2091-12-11,71
2093,0.24821779,2092-11-12,42
2094,1.239018,2094-09-27,361
2095,0.98968846,2095-08-08,311
2096,2.493839,2095-11-11,41
2097,2.1021068,2097-08-12,315
