,maxval,maxdate,maxarg
1981,18.038534,1981-03-23,173
1982,30.113232,1982-04-15,196
1983,15.198735,1983-03-26,176
1984,11.864086,1984-03-22,173
1985,21.671907,1985-03-08,158
1986,17.651579,1986-03-28,178
1987,22.703156,1987-03-06,156
1988,10.592424,1988-02-20,142
1989,13.13943,1989-02-24,146
1990,20.293934,1990-02-26,148
1991,15.824697,1991-02-16,138
1992,16.913904,1992-02-13,135
1993,17.151653,1993-02-02,124
1994,11.498209,1993-12-13,73
1995,21.616146,1995-01-28,119
1996,19.076643,1996-01-25,116
1997,12.439044,1996-12-24,84
1998,20.633202,1998-01-14,105
1999,19.543537,1999-01-08,99
2000,10.13167,1999-12-04,64
2001,12.812822,2000-12-26,86
2002,22.324924,2002-01-04,95
2003,25.258287,2003-01-02,93
2004,20.273361,2003-12-05,65
2005,11.70414,2004-11-29,59
2006,19.503075,2005-12-06,66
2007,11.1445055,2006-10-25,24
2008,17.157074,2008-09-30,365
2009,19.28536,2008-10-24,23
2010,22.66745,2009-11-07,37
2011,19.386917,2010-11-22,52
2012,15.164759,2011-10-03,2
2013,16.171698,2012-10-10,9
2014,14.736649,2014-01-22,113
2015,20.969534,2015-02-11,133
2016,16.77958,2016-02-09,131
2017,22.93197,2017-01-19,110
2018,11.1822195,2018-01-31,122
2019,18.283638,2019-02-06,128
2020,9.716988,2020-01-01,92
2021,21.526588,2020-12-11,71
2022,19.586006,2021-12-29,89
2023,29.197842,2022-12-31,91
2024,16.829346,2024-01-11,102
2025,20.171988,2024-12-08,68
2026,14.103277,2025-12-08,68
2027,6.5610924,2027-09-30,364
2028,11.702237,2027-12-12,72
2029,20.662678,2028-11-21,51
2030,9.4062195,2029-11-17,47
2031,11.799353,2031-09-29,363
2032,14.893811,2031-10-31,30
2033,24.515244,2033-09-30,364
2034,26.696444,2033-10-16,15
2035,19.408218,2035-09-30,364
2036,22.54589,2035-10-20,19
2037,22.35726,2037-09-28,362
2038,23.58433,2038-09-30,364
2039,25.972404,2039-09-30,364
2040,26.029995,2039-10-04,3
2041,14.079896,2041-08-28,331
2042,14.327313,2042-08-29,332
2043,17.301788,2043-08-28,331
2044,14.109724,2044-08-01,305
2045,12.416456,2045-08-17,320
2046,22.727188,2046-08-11,314
2047,24.533785,2047-08-16,319
2048,27.255442,2048-08-11,315
2049,7.069907,2049-06-26,268
2050,17.628138,2050-07-23,295
2051,13.276904,2051-07-03,275
2052,14.330263,2052-07-10,283
2053,19.492283,2053-06-26,268
2054,22.473421,2054-07-12,284
2055,13.580314,2055-06-14,256
2056,3.419674,2056-04-30,212
2057,16.282595,2057-06-18,260
2058,16.389559,2058-06-08,250
2059,7.0105095,2059-05-09,220
2060,11.899538,2060-05-25,237
2061,10.345567,2061-04-15,196
2062,16.51862,2062-05-22,233
2063,14.622729,2063-05-09,220
2064,6.1915574,2064-04-21,203
2065,8.966407,2065-04-08,189
2066,19.214045,2066-05-09,220
2067,12.206293,2067-04-17,198
2068,14.778737,2068-04-13,195
2069,3.7756836,2069-03-08,158
2070,8.502624,2070-03-06,156
2071,13.844699,2071-03-26,176
2072,22.915789,2072-03-27,178
2073,15.023696,2073-03-23,173
2074,18.203094,2074-04-11,192
2075,10.941213,2075-02-07,129
2076,7.747868,2076-02-03,125
2077,17.731865,2077-02-18,140
2078,13.241755,2078-02-10,132
2079,13.813478,2079-01-30,121
2080,11.407967,2080-01-18,109
2081,14.229622,2081-01-25,116
2082,10.427776,2082-01-06,97
2083,6.8360925,2083-01-14,105
2084,8.445291,2084-01-05,96
2085,8.76179,2084-12-30,90
2086,8.72162,2086-01-03,94
2087,14.2736435,2086-12-22,82
2088,12.26334,2087-12-20,80
2089,12.6799555,2088-12-07,67
2090,5.689596,2090-09-27,361
2091,13.618049,2090-12-11,71
2092,12.024357,2092-09-30,365
2093,18.979727,2092-11-17,47
2094,5.506055,2094-09-30,364
2095,12.089508,2094-11-28,58
2096,8.5593815,2095-10-24,23
2097,7.5218153,2097-09-30,364
