,maxval,maxdate,maxarg
1981,28.192049,1981-03-27,177
1982,47.96607,1982-04-14,195
1983,13.843603,1983-03-24,174
1984,11.015361,1984-03-21,172
1985,45.286613,1985-03-26,176
1986,24.754112,1986-03-14,164
1987,35.080444,1987-03-06,156
1988,13.500689,1988-02-01,123
1989,16.426977,1989-02-10,132
1990,35.494343,1990-02-26,148
1991,22.473671,1991-02-09,131
1992,21.587402,1992-01-31,122
1993,26.768272,1993-02-01,123
1994,21.897997,1993-12-12,72
1995,33.362316,1995-01-27,118
1996,26.41327,1996-01-21,112
1997,18.600616,1996-12-23,83
1998,34.975105,1998-01-13,104
1999,22.88612,1999-01-02,93
2000,11.299272,1999-12-04,64
2001,22.131607,2000-12-25,85
2002,22.854979,2001-12-30,90
2003,36.926693,2003-01-02,93
2004,34.4001,2003-12-04,64
2005,24.628101,2004-11-30,60
2006,36.12527,2005-12-07,67
2007,23.805376,2006-10-25,24
2008,28.543951,2008-09-30,365
2009,29.883722,2008-10-23,22
2010,27.05424,2010-09-22,356
2011,36.177273,2010-11-22,52
2012,28.276014,2011-10-02,1
2013,25.291727,2012-10-10,9
2014,26.390104,2014-01-21,112
2015,37.104427,2015-02-11,133
2016,21.142172,2016-02-06,128
2017,38.838165,2017-01-20,111
2018,24.24652,2018-01-31,122
2019,24.421505,2019-01-11,102
2020,19.13328,2020-01-01,92
2021,43.137314,2020-12-09,69
2022,26.994081,2022-01-06,97
2023,38.681313,2022-12-30,90
2024,23.259344,2024-01-11,102
2025,32.83371,2024-12-09,69
2026,18.71303,2025-12-06,66
2027,17.492636,2026-11-14,44
2028,19.719711,2027-11-25,55
2029,32.624348,2028-11-20,50
2030,15.579612,2029-11-01,31
2031,16.793634,2030-11-09,39
2032,22.153763,2032-09-30,365
2033,34.094612,2033-09-30,364
2034,38.64123,2033-10-15,14
2035,33.659218,2035-09-30,364
2036,34.910023,2035-10-08,7
2037,35.339603,2037-09-26,360
2038,34.290764,2037-10-01,0
2039,42.994762,2039-09-30,364
2040,43.33052,2039-10-04,3
2041,23.776384,2041-08-28,331
2042,26.534113,2042-08-21,324
2043,24.002396,2043-08-30,333
2044,23.575386,2044-07-31,304
2045,17.484324,2045-08-17,320
2046,41.468723,2046-08-11,314
2047,42.11588,2047-08-16,319
2048,32.465946,2048-08-08,312
2049,22.458975,2049-06-26,268
2050,31.96818,2050-07-26,298
2051,19.298544,2051-06-28,270
2052,17.964863,2052-07-10,283
2053,32.005886,2053-06-21,263
2054,32.133675,2054-07-12,284
2055,21.133337,2055-06-22,264
2056,8.027868,2056-05-02,214
2057,22.15761,2057-06-12,254
2058,24.260254,2058-06-07,249
2059,19.914354,2059-05-26,237
2060,18.02191,2060-05-24,236
2061,17.775942,2061-05-16,227
2062,37.45689,2062-05-21,232
2063,14.779844,2063-05-09,220
2064,18.935333,2064-05-17,229
2065,12.539924,2065-04-07,188
2066,25.334236,2066-03-26,176
2067,12.841483,2067-04-16,197
2068,17.897049,2068-04-03,185
2069,3.851929,2069-02-24,146
2070,11.174614,2070-03-20,170
2071,27.002129,2071-03-30,180
2072,32.68239,2072-03-26,177
2073,23.75765,2073-03-28,178
2074,18.870031,2074-04-09,190
2075,15.22774,2075-02-07,129
2076,19.418407,2076-02-02,124
2077,19.929333,2077-02-19,141
2078,19.127718,2078-01-31,122
2079,21.954315,2079-01-27,118
2080,12.758693,2080-01-21,112
2081,16.97853,2081-01-25,116
2082,5.9720244,2082-01-05,96
2083,8.692694,2083-01-12,103
2084,15.864789,2084-01-03,94
2085,14.339092,2084-12-26,86
2086,11.675005,2086-01-03,94
2087,15.484154,2086-12-14,74
2088,16.133226,2087-12-23,83
2089,13.942572,2088-12-07,67
2090,11.995947,2090-09-26,360
2091,16.190865,2090-12-19,79
2092,14.36699,2092-09-30,365
2093,19.70241,2092-11-13,43
2094,6.376726,2094-09-30,364
2095,11.583667,2094-11-28,58
2096,9.3645525,2095-10-25,24
2097,9.982966,2097-09-30,364
