,maxval,maxdate,maxarg
1981,6.668338,1981-03-23,173
1982,7.8838606,1982-01-08,99
1983,1.3658696,1983-01-23,114
1984,1.2053554,1984-01-31,122
1985,10.161707,1985-02-04,126
1986,3.562066,1986-01-03,94
1987,6.514687,1987-01-30,121
1988,1.4700154,1987-12-15,75
1989,2.1813955,1988-12-23,83
1990,5.002658,1990-01-08,99
1991,3.2164006,1990-11-05,35
1992,0.66461986,1992-01-22,113
1993,5.80377,1992-12-19,79
1994,4.826315,1994-09-30,364
1995,8.828616,1994-11-27,57
1996,2.7912617,1995-11-24,54
1997,4.8826447,1997-09-30,364
1998,8.200583,1997-12-02,62
1999,4.8935223,1998-11-08,38
2000,1.7130891,1999-11-17,47
2001,2.8579721,2001-09-30,364
2002,4.2663326,2002-08-26,329
2003,1.2639834,2003-01-01,92
2004,4.728744,2004-09-20,355
2005,6.7155495,2005-09-18,352
2006,7.0297766,2005-10-01,0
2007,2.7967825,2007-09-06,340
2008,10.3716955,2008-08-26,330
2009,8.950758,2008-10-01,0
2010,9.154782,2010-09-17,351
2011,6.540418,2010-10-01,0
2012,3.1209702,2012-08-05,309
2013,1.3930019,2013-07-06,278
2014,7.346503,2013-12-12,72
2015,2.5716755,2014-11-19,49
2016,5.490247,2015-12-15,75
2017,6.007989,2016-11-25,55
2018,3.7398534,2018-09-30,364
2019,4.500422,2018-10-31,30
2020,1.587122,2019-12-25,85
2021,7.715348,2020-11-06,36
2022,0.8228606,2021-11-22,52
2023,3.9066985,2023-09-01,335
2024,5.218707,2024-09-11,346
2025,4.9368887,2024-10-01,0
2026,3.4429379,2025-10-01,0
2027,3.6597788,2027-09-22,356
2028,3.5485508,2027-10-01,0
2029,1.2837509,2028-10-28,27
2030,4.7848787,2030-09-15,349
2031,4.9151306,2031-09-17,351
2032,2.51141,2031-10-01,0
2033,2.957371,2033-09-18,352
2034,2.7165227,2034-08-10,313
2035,1.9650213,2035-07-13,285
2036,0.73558295,2036-07-04,277
2037,3.670776,2037-07-25,297
2038,1.1482762,2038-06-11,253
2039,1.8153112,2039-07-21,293
2040,1.6700379,2040-08-06,310
2041,1.6430063,2041-05-17,228
2042,1.243843,2042-07-06,278
2043,1.4113238,2043-07-19,291
2044,2.6099508,2044-06-12,255
2045,0.9809,2045-07-21,293
2046,2.5069633,2046-06-13,255
2047,2.864789,2047-06-06,248
2048,3.387267,2048-06-02,245
2049,1.9401308,2049-05-09,220
2050,0.7934505,2050-03-27,177
2051,2.3652153,2051-05-07,218
2052,1.4474908,2052-03-22,173
2053,4.124248,2053-06-02,244
2054,3.173159,2054-04-09,190
2055,2.2703955,2055-03-11,161
2056,1.8263049,2056-04-26,208
2057,2.7994769,2057-05-16,227
2058,0.99248046,2058-03-24,174
2059,0.56969243,2059-06-12,254
2060,1.2886261,2060-04-06,188
2061,3.8567502,2061-03-13,163
2062,1.9903501,2062-02-01,123
2063,1.487079,2063-02-11,133
2064,1.0545961,2064-04-19,201
2065,1.3592333,2065-03-11,161
2066,2.1853588,2066-02-18,140
2067,0.49751946,2067-04-07,188
2068,0.9526973,2068-01-15,106
2069,0.42164516,2069-01-18,109
2070,1.3563167,2070-02-26,148
2071,1.562573,2071-01-14,105
2072,4.383125,2072-02-23,145
2073,0.8146251,2073-02-11,133
2074,2.8037689,2074-01-31,122
2075,0.9401966,2075-01-21,112
2076,0.3649926,2075-12-26,86
2077,1.2962872,2076-12-11,71
2078,1.9697773,2077-11-22,52
2079,1.0181092,2078-11-10,40
2080,0.8201865,2079-12-27,87
2081,0.5197302,2080-11-10,40
2082,0.45398614,2081-12-02,62
2083,0.8307789,2082-11-18,48
2084,0.80035615,2083-12-30,90
2085,1.6692033,2084-10-16,15
2086,2.053856,2085-11-01,31
2087,0.5855289,2086-10-24,23
2088,0.33382043,2087-11-30,60
2089,0.2956045,2089-08-11,314
2090,0.87209874,2090-08-18,321
2091,0.5871313,2091-09-02,336
2092,0.5330398,2092-08-24,328
2093,0.4022845,2093-09-27,361
2094,0.3058996,2094-09-06,340
2095,1.1019214,2095-08-10,313
2096,0.546566,2096-09-04,339
2097,1.1654133,2097-08-18,321
