,maxval,maxdate,maxarg
1981,15.450855,1981-03-23,173
1982,17.140951,1982-04-14,195
1983,8.685042,1983-02-25,147
1984,12.647279,1984-03-19,170
1985,12.386692,1985-02-04,126
1986,16.827438,1986-03-17,167
1987,16.687172,1987-02-23,145
1988,9.440785,1988-01-19,110
1989,7.373172,1989-02-14,136
1990,17.974432,1990-02-21,143
1991,13.247274,1991-02-05,127
1992,9.69096,1992-01-24,115
1993,13.152163,1993-01-31,122
1994,10.692503,1993-12-13,73
1995,13.105965,1995-01-02,93
1996,9.3815365,1995-12-28,88
1997,11.488416,1996-12-16,76
1998,17.451342,1998-01-02,93
1999,13.2816305,1998-12-20,80
2000,4.2782865,1999-11-18,48
2001,11.285636,2000-12-06,66
2002,28.436186,2001-12-28,88
2003,16.80034,2002-12-08,68
2004,12.601017,2003-10-27,26
2005,11.465491,2004-10-22,21
2006,6.4351835,2006-09-30,364
2007,9.533027,2007-09-22,356
2008,11.517897,2007-10-25,24
2009,14.219749,2009-09-28,362
2010,15.437295,2009-10-07,6
2011,13.910537,2010-11-10,40
2012,9.609249,2012-09-12,347
2013,8.4322605,2012-10-01,0
2014,8.139167,2014-01-22,113
2015,15.870113,2015-01-30,121
2016,11.239022,2016-01-27,118
2017,12.609045,2017-01-14,105
2018,6.8940473,2017-11-25,55
2019,19.570522,2019-02-06,128
2020,3.7275264,2019-11-14,44
2021,11.665094,2020-11-22,52
2022,9.404925,2021-11-29,59
2023,13.970231,2022-12-16,76
2024,18.311619,2023-12-18,78
2025,11.200348,2024-11-15,45
2026,7.222665,2025-10-19,18
2027,5.005656,2027-09-26,360
2028,11.085307,2028-09-30,365
2029,20.312399,2028-11-14,44
2030,7.894983,2030-09-30,364
2031,11.486715,2031-09-30,364
2032,11.975716,2031-10-22,21
2033,20.454641,2033-09-30,364
2034,21.582226,2033-10-10,9
2035,12.025423,2034-10-07,6
2036,10.511008,2035-10-20,19
2037,13.0218725,2037-09-17,351
2038,18.664501,2038-09-27,361
2039,18.711687,2038-10-02,1
2040,8.7827215,2039-10-01,0
2041,2.5501008,2041-06-17,259
2042,6.484648,2042-08-20,323
2043,17.490751,2043-08-20,323
2044,4.46409,2044-07-10,283
2045,7.995523,2045-08-12,315
2046,11.139684,2046-07-09,281
2047,17.6492,2047-07-17,289
2048,14.293551,2048-07-19,292
2049,4.2825484,2049-05-30,241
2050,11.215549,2050-07-07,279
2051,7.922702,2051-06-18,260
2052,4.438085,2052-06-18,261
2053,13.655083,2053-06-18,260
2054,18.747145,2054-06-24,266
2055,9.950278,2055-06-14,256
2056,4.8894653,2056-04-24,206
2057,9.77392,2057-06-11,253
2058,6.360569,2058-05-07,218
2059,7.5998917,2059-05-09,220
2060,7.956419,2060-05-18,230
2061,4.6826677,2061-03-13,163
2062,2.5894468,2062-03-25,175
2063,14.187282,2063-05-09,220
2064,1.5884933,2064-04-08,190
2065,4.0516367,2065-03-09,159
2066,10.582732,2066-05-08,219
2067,2.0735595,2067-02-23,145
2068,4.820194,2068-03-24,175
2069,5.2023726,2069-03-21,171
2070,6.7435184,2070-03-05,155
2071,6.464487,2071-02-24,146
2072,20.359793,2072-03-27,178
2073,5.8851366,2073-02-12,134
2074,14.354863,2074-03-12,162
2075,4.473702,2075-02-01,123
2076,4.5599422,2076-01-05,96
2077,8.241691,2077-02-03,125
2078,9.257515,2078-02-07,129
2079,4.0958023,2079-01-12,103
2080,5.3264666,2080-01-17,108
2081,1.8270973,2080-12-22,82
2082,5.6660676,2082-01-05,96
2083,3.3153288,2082-12-27,87
2084,4.057543,2084-01-01,92
2085,7.8808002,2084-12-24,84
2086,3.2990973,2085-10-31,30
2087,9.135733,2086-12-19,79
2088,6.4014406,2087-12-21,81
2089,2.677653,2088-12-08,68
2090,1.7863604,2089-10-29,28
2091,1.7517117,2090-11-22,52
2092,1.9277289,2092-09-30,365
2093,3.1911032,2092-11-02,32
2094,6.2217174,2093-11-17,47
2095,2.638397,2094-10-25,24
2096,1.9443046,2095-10-16,15
2097,7.606957,2097-09-30,364
