,maxval,maxdate,maxarg
1981,27.528214,1981-03-28,178
1982,34.611137,1982-03-11,161
1983,16.394497,1983-03-26,176
1984,15.59523,1984-03-23,174
1985,29.397766,1985-03-27,177
1986,21.7501,1986-03-28,178
1987,23.777567,1987-03-06,156
1988,15.1846,1988-02-10,132
1989,15.232174,1989-01-31,122
1990,25.438934,1990-02-26,148
1991,20.530924,1991-02-16,138
1992,23.402903,1992-02-01,123
1993,21.291525,1993-02-02,124
1994,19.010485,1994-01-06,97
1995,22.2681,1995-01-16,107
1996,23.57351,1996-01-20,111
1997,24.670187,1997-01-04,95
1998,23.887733,1998-01-01,92
1999,15.49548,1998-12-25,85
2000,13.714895,1999-12-04,64
2001,19.604319,2000-12-26,86
2002,20.397327,2001-12-31,91
2003,33.421803,2003-01-02,93
2004,18.422955,2003-12-05,65
2005,21.803635,2004-11-28,58
2006,27.192614,2005-11-24,54
2007,17.85179,2006-10-25,24
2008,17.80258,2008-09-30,365
2009,19.21205,2008-10-13,12
2010,21.4042,2010-09-23,357
2011,28.87124,2010-11-22,52
2012,25.306065,2011-10-02,1
2013,22.492937,2012-10-10,9
2014,18.791737,2014-01-23,114
2015,27.079987,2015-02-11,133
2016,23.23968,2016-02-05,127
2017,27.909866,2017-01-19,110
2018,22.720417,2018-01-31,122
2019,21.907269,2019-01-11,102
2020,15.358841,2020-01-01,92
2021,30.79974,2020-12-11,71
2022,20.386559,2022-01-06,97
2023,30.026224,2022-12-31,91
2024,16.608667,2024-09-30,365
2025,28.667776,2024-12-09,69
2026,17.333525,2025-12-02,62
2027,16.439154,2026-11-15,45
2028,13.612443,2027-11-26,56
2029,25.402096,2028-11-17,47
2030,15.619724,2029-11-17,47
2031,16.708038,2030-11-09,39
2032,18.403725,2032-09-30,365
2033,24.038155,2033-09-30,364
2034,27.06283,2033-10-16,15
2035,24.93375,2035-09-30,364
2036,27.563406,2035-10-13,12
2037,25.600863,2036-10-22,21
2038,23.84825,2037-10-21,20
2039,35.490757,2039-09-16,350
2040,35.465343,2039-10-05,4
2041,22.617334,2041-08-28,331
2042,17.759527,2041-10-01,0
2043,22.429562,2043-08-27,330
2044,21.65033,2044-08-24,328
2045,14.122967,2045-08-18,321
2046,27.45763,2046-08-11,314
2047,29.784075,2047-08-16,319
2048,21.252535,2048-08-19,323
2049,19.728382,2049-06-26,268
2050,25.145258,2050-07-23,295
2051,20.486414,2051-07-04,276
2052,13.196735,2052-07-10,283
2053,22.361864,2053-06-26,268
2054,24.1745,2054-07-13,285
2055,19.834904,2055-06-22,264
2056,9.367897,2056-06-02,245
2057,19.92369,2057-06-12,254
2058,22.137598,2058-06-08,250
2059,20.305609,2059-05-29,240
2060,16.467117,2060-05-24,236
2061,14.049383,2061-04-15,196
2062,24.266235,2062-04-16,197
2063,13.01908,2063-05-13,224
2064,15.541622,2064-05-21,233
2065,14.559792,2065-04-08,189
2066,17.631325,2066-05-09,220
2067,11.910088,2067-04-17,198
2068,15.854686,2068-04-13,195
2069,7.1312156,2069-04-05,186
2070,14.190536,2070-03-20,170
2071,17.695282,2071-03-26,176
2072,23.660463,2072-03-21,172
2073,20.8231,2073-03-19,169
2074,16.697807,2074-04-04,185
2075,15.578485,2075-02-09,131
2076,15.78259,2076-02-03,125
2077,17.697859,2077-02-19,141
2078,16.86653,2078-02-01,123
2079,17.153942,2079-01-29,120
2080,15.755976,2080-01-22,113
2081,14.523211,2081-01-25,116
2082,8.914149,2082-01-05,96
2083,9.4229355,2083-01-14,105
2084,16.568056,2084-01-03,94
2085,11.289742,2084-12-31,91
2086,10.021763,2086-01-02,93
2087,19.714622,2086-12-19,79
2088,13.492931,2087-12-28,88
2089,11.752545,2088-12-06,66
2090,6.6032944,2090-09-27,361
2091,11.61877,2090-12-11,71
2092,14.674728,2091-12-04,64
2093,21.348745,2092-11-14,44
2094,12.141762,2093-12-03,63
2095,13.911328,2094-11-29,59
2096,11.507827,2095-10-25,24
2097,10.05306,2097-09-30,364
