,maxval,maxdate,maxarg
1981,12.088067,1981-03-26,176
1982,13.908802,1982-03-13,163
1983,10.02472,1983-01-29,120
1984,10.256798,1984-02-04,126
1985,16.676146,1985-03-26,176
1986,9.830809,1986-03-14,164
1987,13.354294,1987-04-01,182
1988,8.403474,1988-02-01,123
1989,10.406016,1989-01-31,122
1990,12.138363,1990-02-20,142
1991,9.831448,1991-02-05,127
1992,10.757512,1992-01-24,115
1993,13.495553,1993-02-05,127
1994,15.172767,1994-01-11,102
1995,12.655116,1995-02-10,132
1996,11.4151,1996-01-23,114
1997,9.164379,1996-12-23,83
1998,12.837164,1997-12-31,91
1999,7.0668325,1998-11-28,58
2000,5.443413,1999-11-25,55
2001,8.645267,2000-12-24,84
2002,10.362483,2001-11-26,56
2003,18.05272,2002-12-09,69
2004,10.737542,2003-12-12,72
2005,15.650081,2004-12-18,78
2006,20.065014,2005-11-18,48
2007,13.817399,2006-10-24,23
2008,9.618042,2007-10-30,29
2009,9.620231,2008-10-02,1
2010,9.874838,2009-11-10,40
2011,14.814297,2011-09-30,364
2012,14.88972,2011-10-04,3
2013,10.159312,2012-10-12,11
2014,10.146975,2014-01-21,112
2015,10.181897,2014-12-18,78
2016,11.731698,2016-01-31,122
2017,14.92726,2017-01-21,112
2018,13.800029,2018-02-02,124
2019,7.8298206,2018-12-12,72
2020,7.9303517,2019-11-13,43
2021,14.647689,2020-12-17,77
2022,11.162553,2022-01-10,101
2023,14.413546,2022-12-11,71
2024,8.121873,2024-09-30,365
2025,13.069492,2024-11-23,53
2026,7.234583,2025-12-01,61
2027,10.017405,2027-09-30,364
2028,14.211743,2027-12-11,71
2029,7.8002768,2028-10-30,29
2030,9.246402,2030-09-30,364
2031,11.566486,2030-11-09,39
2032,8.760705,2031-10-31,30
2033,9.878014,2033-09-27,361
2034,15.851218,2034-09-30,364
2035,17.367126,2034-10-28,27
2036,15.9066725,2035-10-09,8
2037,11.470209,2036-10-22,21
2038,9.071987,2038-09-10,344
2039,13.735865,2039-09-24,358
2040,14.150142,2039-10-05,4
2041,10.886439,2041-08-12,315
2042,5.402066,2042-08-12,315
2043,5.103529,2043-08-04,307
2044,11.003818,2044-07-12,285
2045,4.1195254,2045-08-18,321
2046,12.893964,2046-07-13,285
2047,12.797663,2047-07-27,299
2048,5.2504983,2048-08-08,312
2049,9.144161,2049-06-30,272
2050,7.17663,2050-07-24,296
2051,16.511232,2051-07-03,275
2052,5.6854873,2052-05-23,235
2053,12.99557,2053-06-12,254
2054,6.641351,2054-07-01,273
2055,9.287083,2055-06-13,255
2056,3.8093326,2056-04-28,210
2057,7.9994364,2057-06-10,252
2058,7.198222,2058-06-06,248
2059,8.4697075,2059-05-03,214
2060,4.5172715,2060-05-17,229
2061,5.796139,2061-03-13,163
2062,7.95776,2062-04-07,188
2063,3.3805196,2063-04-21,202
2064,6.544708,2064-05-01,213
2065,7.934342,2065-03-17,167
2066,8.829946,2066-03-14,164
2067,3.8401713,2067-04-16,197
2068,3.8609593,2068-03-06,157
2069,4.303574,2069-02-08,130
2070,5.470773,2070-03-06,156
2071,6.0155034,2071-03-30,180
2072,8.360928,2072-03-27,178
2073,8.892078,2073-03-17,167
2074,3.4081724,2074-02-24,146
2075,7.2893806,2075-02-14,136
2076,8.139686,2076-02-03,125
2077,4.3497934,2077-02-22,144
2078,3.2687283,2078-01-21,112
2079,4.2929482,2078-12-27,87
2080,6.734317,2080-01-20,111
2081,3.5527549,2081-01-25,116
2082,1.6157653,2081-12-06,66
2083,3.8027415,2083-09-30,364
2084,8.970521,2084-01-05,96
2085,5.3903937,2084-12-31,91
2086,4.5545726,2085-11-06,36
2087,2.8835745,2086-10-29,28
2088,3.2712355,2087-12-04,64
2089,2.8797932,2088-10-28,27
2090,4.8773084,2090-09-27,361
2091,5.0040603,2090-10-09,8
2092,4.1137133,2091-11-04,34
2093,4.5544815,2092-11-14,44
2094,2.2213752,2094-09-30,364
2095,2.8532586,2094-10-12,11
2096,4.0152063,2095-11-26,56
2097,3.3912888,2097-08-30,333
