,maxval,maxdate,maxarg
1981,4.196377,1981-03-04,154
1982,4.3044357,1982-01-21,112
1983,2.057374,1982-11-18,48
1984,0.8423614,1984-01-17,108
1985,6.853693,1985-02-04,126
1986,3.6840997,1986-01-02,93
1987,6.277168,1987-02-22,144
1988,1.2626001,1987-12-12,72
1989,1.3431664,1988-12-23,83
1990,6.9358087,1990-01-09,100
1991,2.0503588,1990-12-27,87
1992,1.2967805,1992-01-22,113
1993,3.3600385,1992-12-15,75
1994,5.9955735,1993-12-09,69
1995,6.7499065,1994-11-27,57
1996,1.6884198,1995-10-31,30
1997,3.47998,1997-09-30,364
1998,5.2208924,1997-12-02,62
1999,3.9540343,1998-11-09,39
2000,1.6123681,2000-09-15,350
2001,2.7457085,2001-09-30,364
2002,3.1990032,2002-08-21,324
2003,1.8467396,2003-01-02,93
2004,2.112908,2003-10-22,21
2005,6.1061983,2005-09-18,352
2006,5.294199,2005-10-01,0
2007,3.0674746,2007-09-05,339
2008,7.163666,2008-08-24,328
2009,5.5062246,2008-10-01,0
2010,5.776716,2010-09-09,343
2011,5.5390415,2011-09-06,340
2012,2.3860312,2012-07-18,291
2013,1.0407913,2013-07-06,278
2014,5.148186,2013-12-10,70
2015,2.118964,2014-11-19,49
2016,3.9616823,2015-12-15,75
2017,2.1235816,2016-11-21,51
2018,3.7874765,2018-09-30,364
2019,4.4137664,2018-10-22,21
2020,1.9272128,2019-10-26,25
2021,4.6481013,2020-11-06,36
2022,1.2847916,2021-11-28,58
2023,2.0013864,2023-09-02,336
2024,2.478769,2024-09-07,342
2025,2.4128437,2025-09-30,364
2026,2.4124641,2025-10-01,0
2027,1.7002498,2027-08-26,329
2028,1.103557,2028-08-20,324
2029,0.9992085,2028-10-28,27
2030,5.054952,2030-09-15,349
2031,5.086482,2031-09-18,352
2032,3.9401758,2031-10-01,0
2033,1.4318798,2033-06-18,260
2034,5.2272887,2034-09-11,345
2035,3.1061115,2034-10-01,0
2036,0.44850683,2036-09-23,358
2037,2.0338645,2037-07-28,300
2038,1.6721333,2038-06-11,253
2039,1.4989736,2039-07-21,293
2040,1.8782284,2040-08-06,310
2041,2.1113229,2041-05-16,227
2042,1.2400848,2042-07-06,278
2043,1.0850602,2043-05-31,242
2044,1.7209202,2044-05-31,243
2045,1.2321613,2045-07-16,288
2046,1.2283843,2046-06-20,262
2047,2.6333349,2047-06-06,248
2048,2.1564138,2048-06-02,245
2049,1.181011,2049-05-09,220
2050,1.154224,2050-07-20,292
2051,2.3385706,2051-05-07,218
2052,0.81204194,2052-03-21,172
2053,2.1289604,2053-04-17,198
2054,3.049348,2054-04-12,193
2055,1.5785334,2055-03-12,162
2056,2.4055643,2056-04-26,208
2057,4.5645084,2057-05-22,233
2058,1.2565207,2058-04-14,195
2059,0.883497,2059-06-12,254
2060,1.3796616,2060-04-03,185
2061,3.6480749,2061-03-13,163
2062,1.3984476,2062-05-04,215
2063,1.5821577,2063-02-11,133
2064,2.411993,2064-04-20,202
2065,2.0156133,2065-03-11,161
2066,2.0043793,2066-01-12,103
2067,1.0569719,2067-03-24,174
2068,1.1995916,2068-01-16,107
2069,0.78248113,2069-01-19,110
2070,1.764904,2070-02-07,129
2071,2.1594796,2071-03-17,167
2072,4.205177,2072-02-23,145
2073,1.468425,2073-02-11,133
2074,2.5840945,2074-01-30,121
2075,0.84591436,2074-11-02,32
2076,0.56762254,2075-12-26,86
2077,2.1594274,2076-12-11,71
2078,1.8117065,2077-11-22,52
2079,0.76512134,2078-11-08,38
2080,0.7071745,2079-12-27,87
2081,0.71204543,2080-10-12,11
2082,0.59171027,2082-02-05,127
2083,0.83382756,2082-11-18,48
2084,0.9874744,2083-12-31,91
2085,1.1374756,2084-10-14,13
2086,1.7788864,2085-10-30,29
2087,1.4071289,2086-11-27,57
2088,0.35034984,2087-12-02,62
2089,0.6949153,2089-09-29,363
2090,0.5864755,2090-08-18,321
2091,1.4799112,2091-09-03,337
2092,0.52995354,2092-08-23,327
2093,0.7908189,2092-10-23,22
2094,0.5043108,2094-09-30,364
2095,0.80345076,2094-10-19,18
2096,0.61036766,2096-09-04,339
2097,1.12761,2097-08-18,321
