,maxval,maxdate,maxarg
1981,6.9639406,1981-03-24,174
1982,4.9859695,1982-04-15,196
1983,3.7903295,1983-02-25,147
1984,4.9450397,1984-03-20,171
1985,1.9302558,1985-02-04,126
1986,7.009456,1986-03-31,181
1987,5.605381,1987-02-24,146
1988,2.0409446,1988-01-18,109
1989,2.2296367,1989-01-26,117
1990,5.05812,1990-02-24,146
1991,4.007856,1991-02-17,139
1992,4.6589584,1992-01-24,115
1993,5.01903,1993-01-28,119
1994,5.1246595,1994-09-28,362
1995,7.450356,1995-01-25,116
1996,1.8659518,1996-02-19,141
1997,3.1702404,1996-12-24,84
1998,5.975522,1998-01-02,93
1999,6.405476,1998-12-21,81
2000,1.9182101,1999-11-24,54
2001,1.3186135,2001-09-30,364
2002,9.942138,2002-01-01,92
2003,4.0132804,2002-12-09,69
2004,3.111408,2004-01-03,94
2005,1.9037924,2005-09-18,352
2006,4.149244,2005-11-17,47
2007,1.6382234,2007-09-21,355
2008,2.2869883,2008-09-30,365
2009,6.1524243,2009-09-28,362
2010,6.2664456,2009-10-20,19
2011,7.2163925,2010-11-10,40
2012,1.1886555,2011-11-11,41
2013,2.7796853,2013-07-09,281
2014,4.9237914,2014-01-22,113
2015,1.8102823,2015-09-30,364
2016,5.4316664,2016-02-08,130
2017,2.11124,2016-12-07,67
2018,1.4332247,2018-09-27,361
2019,5.889595,2019-02-01,123
2020,2.006636,2020-09-30,365
2021,4.6125116,2020-11-27,57
2022,4.0716715,2021-12-23,83
2023,4.8935785,2022-12-26,86
2024,4.8925843,2024-01-07,98
2025,2.113606,2025-09-29,363
2026,2.7110133,2025-10-22,21
2027,2.5362236,2026-11-06,36
2028,2.1038465,2027-11-13,43
2029,6.6660833,2028-11-17,47
2030,3.2542677,2029-11-02,32
2031,3.0874355,2030-10-23,22
2032,3.554753,2031-10-25,24
2033,3.8072262,2033-09-30,364
2034,4.343652,2033-10-16,15
2035,2.9303722,2035-09-30,364
2036,4.289757,2035-10-10,9
2037,3.1299953,2036-10-01,0
2038,3.074311,2038-09-30,364
2039,3.1609075,2038-10-01,0
2040,2.4073339,2040-08-09,313
2041,1.0565898,2041-08-28,331
2042,2.898201,2042-08-20,323
2043,3.6945643,2043-08-20,323
2044,2.5555825,2044-07-21,294
2045,6.074418,2045-08-17,320
2046,3.0084655,2046-07-09,281
2047,4.3185005,2047-06-24,266
2048,2.6850946,2048-07-19,292
2049,0.18454449,2049-06-17,259
2050,3.5748434,2050-07-21,293
2051,2.684458,2051-06-22,264
2052,1.1505666,2052-08-15,319
2053,3.7989104,2053-07-07,279
2054,7.730404,2054-07-05,277
2055,4.2737155,2055-06-14,256
2056,0.93354607,2056-04-06,188
2057,5.423426,2057-06-11,253
2058,1.2155037,2058-03-05,155
2059,2.280669,2059-06-18,260
2060,1.1179206,2060-05-02,214
2061,0.68957174,2061-04-03,184
2062,0.84140784,2062-03-26,176
2063,3.072934,2063-04-22,203
2064,1.1588364,2064-04-21,203
2065,1.8075231,2065-03-11,161
2066,1.5465726,2066-02-19,141
2067,0.61269784,2067-04-08,189
2068,2.461834,2068-03-19,170
2069,4.8271046,2069-05-05,216
2070,2.6023157,2070-05-05,216
2071,3.2706442,2071-04-16,197
2072,4.0930295,2072-03-11,162
2073,1.1846848,2073-01-31,122
2074,5.12537,2074-03-13,163
2075,3.0378096,2075-02-05,127
2076,0.36527574,2075-11-16,46
2077,1.3800178,2076-12-11,71
2078,2.4726195,2078-02-28,150
2079,2.9798915,2079-01-13,104
2080,1.3439969,2079-12-31,91
2081,0.6346977,2081-01-08,99
2082,3.8566513,2082-01-07,98
2083,1.837947,2083-02-09,131
2084,1.1617663,2084-02-15,137
2085,1.9798856,2084-12-24,84
2086,0.74703056,2086-09-04,338
2087,0.3538934,2086-12-09,69
2088,2.5767267,2087-12-08,68
2089,2.9089637,2088-12-07,67
2090,2.373918,2089-12-14,74
2091,1.8013153,2090-11-19,49
2092,0.36859268,2092-09-09,344
2093,1.3876833,2092-11-17,47
2094,1.6340302,2093-11-14,44
2095,3.304769,2094-10-25,24
2096,1.2152314,2096-08-25,329
2097,1.4496462,2096-10-14,13
