,maxval,maxdate,maxarg
1981,21.152407,1981-03-28,178
1982,26.78441,1982-04-22,203
1983,19.450104,1983-03-25,175
1984,20.901686,1984-04-21,203
1985,26.90191,1985-04-02,183
1986,20.38827,1986-03-29,179
1987,25.336384,1987-04-01,182
1988,22.953176,1988-02-23,145
1989,17.938744,1989-02-03,125
1990,23.93277,1990-03-09,159
1991,17.553745,1991-02-16,138
1992,21.520166,1992-02-02,124
1993,23.61761,1993-02-06,128
1994,22.17821,1994-01-26,117
1995,25.209528,1995-02-22,144
1996,22.788338,1996-01-23,114
1997,22.097107,1997-02-03,125
1998,26.67291,1998-01-15,106
1999,12.533437,1998-12-09,69
2000,13.466959,2000-01-05,96
2001,15.752031,2000-12-26,86
2002,21.256306,2001-12-30,90
2003,31.032528,2002-12-18,78
2004,19.346302,2003-12-11,71
2005,28.088142,2004-12-19,79
2006,29.343039,2005-11-27,57
2007,24.415184,2006-11-10,40
2008,18.16285,2008-09-30,365
2009,20.23409,2008-10-24,23
2010,23.386192,2009-11-12,42
2011,25.214619,2011-09-30,364
2012,26.028612,2011-10-27,26
2013,20.955135,2012-10-12,11
2014,21.912464,2014-01-29,120
2015,22.34156,2015-02-17,139
2016,19.839891,2016-01-31,122
2017,29.390852,2017-01-24,115
2018,26.30076,2018-02-02,124
2019,22.617502,2019-01-12,103
2020,16.92777,2019-12-02,62
2021,25.624088,2021-01-03,94
2022,21.5793,2022-01-12,103
2023,26.505962,2022-12-31,91
2024,13.646744,2024-09-30,365
2025,24.05356,2024-11-24,54
2026,14.9304695,2025-12-18,78
2027,16.69106,2027-09-30,364
2028,21.746557,2027-12-11,71
2029,16.919388,2028-11-16,46
2030,17.603563,2030-09-30,364
2031,21.76242,2030-11-22,52
2032,18.712988,2031-11-03,33
2033,21.73058,2032-11-24,54
2034,23.497026,2034-09-30,364
2035,28.16363,2034-10-28,27
2036,27.49395,2035-10-12,11
2037,24.654255,2036-10-22,21
2038,18.079369,2038-09-10,344
2039,26.30271,2039-09-30,364
2040,26.60145,2039-10-07,6
2041,21.628569,2041-09-09,343
2042,17.232395,2041-10-08,7
2043,13.870591,2043-08-30,333
2044,20.417969,2044-08-23,327
2045,10.970513,2045-08-19,322
2046,27.42513,2046-08-10,313
2047,20.01392,2047-08-18,321
2048,13.616823,2048-08-08,312
2049,16.99259,2049-06-29,271
2050,15.514517,2050-07-25,297
2051,25.401676,2051-08-02,305
2052,15.483386,2052-07-12,285
2053,23.896297,2053-06-25,267
2054,14.092039,2054-07-06,278
2055,17.347378,2055-07-12,284
2056,11.21093,2056-06-04,247
2057,16.4242,2057-06-10,252
2058,19.886532,2058-06-08,250
2059,20.110498,2059-06-03,245
2060,7.8544726,2060-05-18,230
2061,15.218054,2061-05-31,242
2062,17.911135,2062-05-18,229
2063,9.414843,2063-05-13,224
2064,20.64295,2064-05-23,235
2065,14.444979,2065-04-29,210
2066,16.492548,2066-05-13,224
2067,7.2933407,2067-02-01,123
2068,7.70564,2068-03-22,173
2069,12.620656,2069-02-24,146
2070,10.675503,2070-03-24,174
2071,10.028002,2071-03-30,180
2072,17.480473,2072-03-27,178
2073,19.509262,2073-03-29,179
2074,11.757401,2074-03-02,152
2075,13.97909,2075-02-11,133
2076,14.856689,2076-02-03,125
2077,8.481137,2077-02-23,145
2078,10.460285,2078-02-07,129
2079,12.26183,2079-01-26,117
2080,11.652159,2080-01-23,114
2081,14.215097,2081-01-25,116
2082,9.93302,2082-01-06,97
2083,14.364217,2082-12-08,68
2084,22.52005,2084-01-09,100
2085,13.291993,2085-01-01,92
2086,9.868169,2086-01-24,115
2087,11.05061,2086-12-20,80
2088,7.7031016,2087-12-16,76
2089,5.746696,2088-11-04,34
2090,9.839675,2090-09-30,364
2091,10.617275,2091-09-30,364
2092,12.864427,2091-11-05,35
2093,14.617188,2092-11-15,45
2094,5.7223735,2094-09-30,364
2095,8.003989,2094-10-20,19
2096,13.325709,2095-12-14,74
2097,10.176673,2097-09-30,364
