,maxval,maxdate,maxarg
1981,20.457811,1981-03-28,178
1982,15.092283,1982-03-08,158
1983,16.135891,1983-03-23,173
1984,12.344373,1984-02-01,123
1985,19.489876,1985-03-27,177
1986,10.123584,1986-02-19,141
1987,22.08293,1987-03-31,181
1988,13.168025,1988-02-23,145
1989,15.5036745,1989-02-10,132
1990,18.269636,1990-02-20,142
1991,22.595985,1991-02-03,125
1992,11.152012,1992-01-23,114
1993,10.916543,1993-02-05,127
1994,10.725892,1993-12-14,74
1995,15.374453,1994-12-31,91
1996,9.00229,1996-01-22,113
1997,12.857624,1996-11-11,41
1998,15.587383,1997-12-29,89
1999,11.604129,1998-12-15,75
2000,6.003193,2000-09-23,358
2001,10.390547,2000-12-18,78
2002,11.166577,2002-09-30,364
2003,23.349104,2002-11-26,56
2004,12.461251,2004-09-23,358
2005,15.551079,2004-12-02,62
2006,8.710505,2005-11-18,48
2007,11.993733,2007-09-30,364
2008,16.477459,2007-10-30,29
2009,11.541332,2008-10-01,0
2010,6.579881,2010-09-24,358
2011,12.931349,2011-09-30,364
2012,14.089222,2012-09-09,344
2013,13.285251,2012-10-14,13
2014,11.623372,2013-12-31,91
2015,15.287634,2014-12-18,78
2016,11.41198,2016-01-09,100
2017,10.835423,2017-01-22,113
2018,12.239972,2018-02-07,129
2019,8.894798,2018-11-20,50
2020,9.56501,2020-01-09,100
2021,16.534044,2020-12-17,77
2022,16.208466,2021-12-17,77
2023,18.853746,2023-01-12,103
2024,6.011732,2023-11-16,46
2025,6.564653,2024-10-16,15
2026,9.382647,2025-12-05,65
2027,8.040852,2027-09-30,364
2028,13.585777,2027-12-10,70
2029,9.125631,2028-10-31,30
2030,5.750809,2030-08-19,322
2031,9.868817,2030-11-22,52
2032,9.798784,2032-09-26,361
2033,17.854149,2033-09-30,364
2034,18.116806,2033-10-13,12
2035,15.512628,2034-10-25,24
2036,9.475666,2035-10-01,0
2037,10.194255,2037-08-18,321
2038,11.016711,2038-09-06,340
2039,13.031778,2039-09-23,357
2040,21.407055,2040-09-21,356
2041,20.533821,2040-10-02,1
2042,3.9601185,2041-10-05,4
2043,7.6314306,2043-08-03,306
2044,6.992114,2044-07-14,287
2045,4.602733,2045-07-27,299
2046,7.3310623,2046-08-06,309
2047,18.293442,2047-07-27,299
2048,13.198359,2048-07-01,274
2049,9.464954,2049-06-28,270
2050,6.03032,2050-07-24,296
2051,9.2755575,2051-06-30,272
2052,2.0132132,2052-06-18,261
2053,12.277517,2053-06-14,256
2054,3.7733672,2054-06-17,259
2055,8.2812395,2055-06-30,272
2056,1.4302642,2056-01-19,110
2057,9.940914,2057-05-31,242
2058,9.194617,2058-05-16,227
2059,2.0162387,2059-04-30,211
2060,6.855797,2060-04-20,202
2061,8.0852785,2061-03-10,160
2062,11.187774,2062-04-06,187
2063,2.4941316,2063-02-16,138
2064,3.1783345,2064-02-14,136
2065,5.672741,2065-04-08,189
2066,7.8935056,2066-03-12,162
2067,3.176998,2067-04-10,191
2068,6.945704,2068-02-15,137
2069,1.9193715,2069-01-17,108
2070,7.8976645,2070-03-06,156
2071,3.845781,2071-02-26,148
2072,8.792604,2072-03-07,158
2073,3.7333238,2072-12-11,71
2074,1.6081561,2074-01-05,96
2075,6.3228626,2075-02-10,132
2076,12.484329,2076-02-05,127
2077,3.626532,2077-01-06,97
2078,2.028984,2078-01-15,106
2079,2.9880388,2078-11-30,60
2080,3.2485547,2080-01-19,110
2081,4.074579,2080-12-02,62
2082,0.7418281,2081-11-25,55
2083,3.1114378,2082-12-09,69
2084,3.8205636,2084-01-01,92
2085,7.3922114,2085-01-02,93
2086,3.4038599,2085-10-31,30
2087,1.6246877,2086-10-20,19
2088,1.4075043,2088-09-16,351
2089,1.9809817,2088-10-29,28
2090,3.235955,2089-11-02,32
2091,1.9987862,2090-10-01,0
2092,1.8471152,2092-09-28,363
2093,1.478445,2092-10-07,6
2094,1.9657683,2093-11-21,51
2095,2.4499252,2095-08-12,315
2096,2.8414948,2095-11-16,46
2097,1.647532,2097-08-30,333
