,maxval,maxdate,maxarg
1981,29.9419,1981-03-29,179
1982,44.77508,1982-04-24,205
1983,25.181183,1983-03-27,177
1984,21.668695,1984-04-28,210
1985,33.215828,1985-04-03,184
1986,25.965412,1986-04-01,182
1987,30.464073,1987-03-14,164
1988,16.059195,1988-03-21,172
1989,20.355654,1989-02-11,133
1990,29.935478,1990-03-03,153
1991,32.530525,1991-02-17,139
1992,29.243324,1992-03-20,171
1993,29.273325,1993-02-05,127
1994,28.313744,1994-01-28,119
1995,28.405216,1995-01-27,118
1996,27.269426,1996-01-22,113
1997,29.753202,1997-02-08,130
1998,29.074152,1998-01-15,106
1999,20.073093,1999-01-08,99
2000,20.99208,2000-01-01,92
2001,24.977095,2000-12-27,87
2002,23.02867,2002-01-04,95
2003,38.983128,2003-01-03,94
2004,25.156372,2003-12-05,65
2005,29.948364,2004-12-19,79
2006,44.089344,2005-12-08,68
2007,28.732574,2006-11-30,60
2008,21.927092,2007-11-21,51
2009,23.775211,2008-10-28,27
2010,22.701378,2009-11-18,48
2011,36.03264,2011-09-30,364
2012,37.66992,2011-10-26,25
2013,30.453375,2012-10-13,12
2014,25.057592,2014-01-30,121
2015,33.790253,2015-02-11,133
2016,29.799965,2016-02-10,132
2017,42.64202,2017-01-22,113
2018,30.540728,2018-02-02,124
2019,34.895718,2019-01-31,122
2020,22.56899,2020-01-01,92
2021,34.666504,2021-01-04,95
2022,30.568138,2022-01-12,103
2023,37.409443,2023-01-01,92
2024,26.759007,2024-01-11,102
2025,33.110535,2024-12-09,69
2026,22.771032,2025-12-06,66
2027,22.63292,2026-11-18,48
2028,18.378538,2027-12-12,72
2029,26.591125,2028-11-22,52
2030,29.253096,2029-12-12,72
2031,19.629478,2031-09-30,364
2032,25.54436,2031-11-03,33
2033,31.977438,2032-11-27,57
2034,29.33638,2034-09-30,364
2035,34.046413,2034-10-22,21
2036,38.3373,2035-10-30,29
2037,31.024569,2036-10-23,22
2038,31.996248,2037-10-23,22
2039,40.90955,2039-09-30,364
2040,41.286568,2039-10-05,4
2041,33.551884,2041-09-08,342
2042,30.798435,2041-10-12,11
2043,25.593113,2043-08-31,334
2044,28.089375,2044-08-31,335
2045,18.985405,2045-09-08,342
2046,38.044052,2046-08-11,314
2047,35.048416,2047-08-17,320
2048,30.372248,2048-08-20,324
2049,30.306486,2049-08-11,314
2050,31.085962,2050-08-16,319
2051,28.556564,2051-07-26,298
2052,21.79645,2052-07-12,285
2053,30.998,2053-07-04,276
2054,25.541584,2054-07-26,298
2055,22.500202,2055-06-22,264
2056,17.235863,2056-06-03,246
2057,25.295732,2057-06-29,271
2058,28.24146,2058-06-23,265
2059,33.515186,2059-06-24,266
2060,24.086384,2060-05-27,239
2061,16.94222,2061-05-30,241
2062,37.30884,2062-05-27,238
2063,18.212551,2063-05-12,223
2064,24.347322,2064-05-22,234
2065,20.013386,2065-04-28,209
2066,27.15005,2066-05-09,220
2067,27.710112,2067-05-14,225
2068,22.855541,2068-05-07,219
2069,17.95111,2069-05-15,226
2070,13.207295,2070-03-21,171
2071,21.19256,2071-03-31,181
2072,20.029194,2072-03-26,177
2073,35.587654,2073-03-30,180
2074,24.619383,2074-04-10,191
2075,23.65261,2075-02-16,138
2076,24.16359,2076-02-06,128
2077,20.897163,2077-02-22,144
2078,19.921562,2078-03-09,159
2079,19.24731,2079-02-28,150
2080,22.431084,2080-03-24,175
2081,22.709759,2081-01-25,116
2082,10.097504,2082-02-10,132
2083,14.687915,2083-01-19,110
2084,23.189169,2084-01-05,96
2085,23.614908,2085-01-01,92
2086,18.797848,2086-01-25,116
2087,28.717844,2087-01-16,107
2088,15.583815,2087-12-28,88
2089,16.129322,2088-12-06,66
2090,12.459741,2090-09-27,361
2091,21.540077,2090-12-19,79
2092,19.621254,2092-09-30,365
2093,29.469446,2092-11-16,46
2094,22.574133,2093-12-03,63
2095,21.947351,2094-11-29,59
2096,13.73784,2095-11-24,54
2097,11.656316,2097-09-30,364
