,maxval,maxdate,maxarg
1981,14.647545,1981-03-16,166
1982,11.00665,1982-02-18,140
1983,8.501559,1983-02-08,130
1984,10.0032835,1984-03-19,170
1985,8.244042,1985-02-04,126
1986,9.712902,1986-03-17,167
1987,11.515724,1987-02-23,145
1988,7.7592154,1988-01-19,110
1989,4.3122883,1989-02-13,135
1990,13.786511,1990-02-16,138
1991,8.191941,1991-02-04,126
1992,3.515811,1991-12-04,64
1993,11.379934,1993-01-20,111
1994,6.971444,1993-12-07,67
1995,9.778104,1994-12-11,71
1996,7.4099455,1995-12-26,86
1997,6.704255,1996-12-15,75
1998,10.525757,1998-01-01,92
1999,10.546446,1998-12-22,82
2000,2.945146,1999-11-18,48
2001,6.5568895,2001-09-27,361
2002,20.59535,2001-12-28,88
2003,8.254427,2002-12-08,68
2004,9.540774,2003-10-26,25
2005,5.741869,2004-10-22,21
2006,4.6041217,2006-09-18,352
2007,9.007179,2007-09-21,355
2008,8.704301,2007-10-07,6
2009,11.340292,2009-09-28,362
2010,13.21917,2009-10-07,6
2011,10.929251,2010-10-11,10
2012,7.3632197,2012-09-12,347
2013,4.980476,2012-10-01,0
2014,3.7120323,2013-12-11,71
2015,5.5076504,2015-01-22,113
2016,10.494033,2015-12-13,73
2017,5.104072,2017-09-30,364
2018,7.618574,2017-11-05,35
2019,7.129939,2019-02-03,125
2020,2.7302494,2019-11-14,44
2021,4.1119494,2020-10-29,28
2022,6.6952753,2021-12-05,65
2023,6.8926773,2022-11-30,60
2024,7.751987,2023-12-17,77
2025,5.813604,2025-09-25,359
2026,6.877601,2025-10-18,17
2027,6.413518,2027-09-13,347
2028,8.750712,2028-09-30,365
2029,12.687697,2028-11-13,43
2030,5.1649756,2030-09-29,363
2031,8.164095,2031-09-29,363
2032,7.9863067,2031-10-01,0
2033,12.185247,2033-09-30,364
2034,12.421472,2033-10-03,2
2035,3.7674692,2034-10-01,0
2036,3.8027542,2036-09-25,360
2037,5.100839,2037-08-15,318
2038,13.435378,2038-09-04,338
2039,12.707652,2038-10-01,0
2040,3.9852653,2040-08-07,311
2041,2.0296688,2041-05-17,228
2042,2.7746801,2042-07-27,299
2043,10.154136,2043-07-31,303
2044,1.9282368,2044-07-08,281
2045,1.9723793,2045-05-15,226
2046,3.2330256,2046-07-04,276
2047,14.418419,2047-07-16,288
2048,8.238549,2048-07-18,291
2049,1.24859,2049-05-09,220
2050,1.9886416,2050-04-16,197
2051,4.3347473,2051-06-17,259
2052,2.553666,2052-06-17,260
2053,9.347104,2053-06-17,259
2054,10.731135,2054-06-24,266
2055,5.0813084,2055-05-26,237
2056,2.816922,2056-03-06,157
2057,5.317901,2057-05-17,228
2058,1.417838,2058-04-30,211
2059,3.04449,2059-02-27,149
2060,5.101351,2060-05-03,215
2061,2.2324545,2061-03-12,162
2062,1.4807811,2062-03-23,173
2063,8.097274,2063-04-20,201
2064,0.86930037,2064-02-01,123
2065,2.3869352,2065-03-04,154
2066,2.8536906,2066-03-10,160
2067,0.8371088,2066-12-29,89
2068,2.812945,2068-02-12,134
2069,2.1339993,2069-03-21,171
2070,3.392962,2070-03-03,153
2071,3.5231657,2071-02-09,131
2072,15.363562,2072-03-11,162
2073,1.6586413,2072-12-31,91
2074,10.946606,2074-03-12,162
2075,3.6085973,2075-02-01,123
2076,2.1100125,2076-01-05,96
2077,3.025686,2076-12-10,70
2078,4.809838,2078-01-09,100
2079,2.4025664,2079-01-11,102
2080,3.853377,2080-01-16,107
2081,1.1623439,2080-10-15,14
2082,3.2358801,2081-12-02,62
2083,3.567587,2082-10-21,20
2084,3.689386,2083-12-31,91
2085,3.109695,2084-12-23,83
2086,1.8496841,2085-10-29,28
2087,4.0184627,2086-12-07,67
2088,4.125926,2087-12-08,68
2089,0.61096543,2088-12-08,68
2090,1.4043168,2089-10-07,6
2091,1.7518135,2090-11-09,39
2092,0.77725756,2092-08-23,327
2093,3.004249,2093-09-30,364
2094,3.0035768,2093-11-15,45
2095,1.8827825,2094-10-25,24
2096,0.7802174,2095-10-08,7
2097,4.8452225,2097-09-30,364
