,maxval,maxdate,maxarg
1981,66.62717,1981-03-24,174
1982,36.84288,1982-02-20,142
1983,33.39907,1983-01-22,113
1984,10.687826,1984-01-31,122
1985,48.567398,1985-03-25,175
1986,21.62646,1986-02-05,127
1987,46.5348,1987-03-30,180
1988,64.72699,1988-02-23,145
1989,14.782515,1989-02-09,131
1990,39.80378,1990-02-25,147
1991,21.496561,1990-11-03,33
1992,11.653642,1992-01-21,112
1993,24.788277,1993-01-28,119
1994,26.993475,1993-12-09,69
1995,53.710766,1995-01-03,94
1996,25.523542,1996-01-22,113
1997,12.327191,1997-09-30,364
1998,27.675467,1997-12-10,70
1999,32.97962,1998-11-08,38
2000,11.145,2000-09-14,349
2001,21.873043,2000-12-19,79
2002,15.365935,2002-08-25,328
2003,17.794157,2002-10-27,26
2004,26.288832,2003-12-10,70
2005,34.73603,2004-12-02,62
2006,26.213186,2006-09-28,362
2007,34.506,2006-11-07,37
2008,31.486296,2007-10-30,29
2009,22.201519,2008-10-01,0
2010,34.946396,2010-09-09,343
2011,38.196766,2010-10-28,27
2012,18.262917,2012-08-30,334
2013,13.188028,2012-10-11,10
2014,8.797363,2013-12-07,67
2015,18.854483,2015-02-07,129
2016,10.184411,2015-11-28,58
2017,19.372509,2017-01-19,110
2018,44.627354,2018-01-31,122
2019,20.758684,2018-11-03,33
2020,12.584508,2020-09-30,365
2021,39.483208,2021-01-03,94
2022,16.410158,2022-01-06,97
2023,44.696102,2022-11-26,56
2024,17.462904,2024-09-13,348
2025,14.018533,2024-10-01,0
2026,31.002474,2025-12-02,62
2027,16.498564,2027-09-30,364
2028,23.529171,2027-12-15,75
2029,3.916427,2028-10-30,29
2030,16.433935,2030-08-18,321
2031,28.906546,2030-11-22,52
2032,21.55943,2031-10-26,25
2033,17.565325,2033-09-22,356
2034,15.800457,2033-10-01,0
2035,15.443107,2034-10-25,24
2036,6.761826,2036-08-19,323
2037,22.713337,2037-06-21,263
2038,1.3767844,2038-06-12,254
2039,13.230387,2039-09-23,357
2040,16.944353,2039-10-14,13
2041,9.454483,2040-10-02,1
2042,2.3082163,2042-09-15,349
2043,4.7548523,2043-05-07,218
2044,5.865217,2044-05-28,240
2045,17.558886,2045-07-25,297
2046,28.85486,2046-07-04,276
2047,21.099657,2047-07-24,296
2048,4.5431128,2048-06-15,258
2049,6.7774935,2049-04-07,188
2050,4.0844717,2050-06-29,271
2051,20.916409,2051-05-17,228
2052,4.564849,2052-03-22,173
2053,13.77484,2053-04-17,198
2054,2.5984035,2054-06-17,259
2055,15.471031,2055-06-29,271
2056,5.055138,2056-02-29,151
2057,27.836979,2057-06-24,266
2058,3.0905745,2058-05-12,223
2059,5.9176774,2059-04-30,211
2060,1.77741,2060-02-17,139
2061,7.028825,2061-05-31,242
2062,13.059961,2062-03-03,153
2063,5.771268,2063-02-12,134
2064,5.9889474,2064-01-31,122
2065,8.656131,2065-03-30,180
2066,10.205243,2066-03-10,160
2067,3.3957949,2066-12-20,80
2068,0.30985302,2068-01-14,105
2069,0.38431787,2068-12-17,77
2070,15.795852,2070-03-21,171
2071,9.891681,2071-03-30,180
2072,11.778524,2072-02-16,138
2073,7.70253,2072-12-10,70
2074,4.674516,2074-02-17,139
2075,5.9158216,2075-03-30,180
2076,10.418289,2076-01-29,120
2077,2.5095632,2077-02-21,143
2078,3.1227918,2077-11-16,46
2079,8.313887,2078-11-05,35
2080,4.0136456,2080-01-17,108
2081,5.3763123,2081-01-24,115
2082,2.1747835,2081-11-13,43
2083,0.9968826,2082-12-19,79
2084,6.090166,2083-12-15,75
2085,1.7328366,2084-12-03,63
2086,2.4033442,2085-10-28,27
2087,0.34544212,2086-10-02,1
2088,0.031204538,2087-11-27,57
2089,1.0862149,2088-11-29,59
2090,0.9215714,2089-12-22,82
2091,0.0007059161,2091-08-31,334
2092,1.497536,2091-12-11,71
2093,1.1116987,2092-12-26,86
2094,1.0580157,2094-09-27,361
2095,1.2625684,2095-07-11,283
2096,4.5001287,2095-11-12,42
2097,3.8794858,2097-08-13,316
