,maxval,maxdate,maxarg
1981,20.824148,1981-03-25,175
1982,21.411356,1982-03-06,156
1983,19.429714,1983-01-25,116
1984,14.659168,1984-02-03,125
1985,22.971642,1985-03-25,175
1986,9.72472,1986-02-06,128
1987,17.661293,1987-03-27,177
1988,20.088484,1988-02-23,145
1989,9.7855835,1989-02-03,125
1990,14.132461,1990-01-22,113
1991,9.105925,1990-12-22,82
1992,8.378698,1992-01-21,112
1993,14.601063,1993-01-28,119
1994,16.749477,1993-12-14,74
1995,20.918188,1995-01-15,106
1996,12.934325,1996-01-20,111
1997,6.882169,1997-09-30,364
1998,18.308432,1997-12-04,64
1999,9.385851,1998-11-08,38
2000,6.576097,2000-09-23,358
2001,10.928993,2000-12-10,70
2002,12.9989395,2002-09-30,364
2003,17.014874,2002-11-24,54
2004,17.871407,2003-11-05,35
2005,21.58126,2004-12-04,64
2006,19.232725,2005-11-17,47
2007,21.24076,2006-10-27,26
2008,12.285701,2007-10-25,24
2009,12.413611,2009-09-30,364
2010,12.432833,2009-10-01,0
2011,16.450872,2011-09-29,363
2012,16.37261,2011-10-01,0
2013,14.948672,2012-10-12,11
2014,7.0742493,2014-01-16,107
2015,11.622898,2014-11-30,60
2016,7.866824,2016-01-13,104
2017,15.801907,2017-01-21,112
2018,15.082666,2017-12-05,65
2019,10.915273,2018-11-04,34
2020,10.7830305,2019-11-05,35
2021,19.730053,2020-12-18,78
2022,8.748948,2022-09-30,364
2023,17.139965,2022-11-27,57
2024,10.395052,2024-09-30,365
2025,13.357724,2024-11-23,53
2026,10.99352,2025-12-02,62
2027,11.918511,2027-09-30,364
2028,12.45634,2027-10-29,28
2029,5.122049,2029-09-28,362
2030,10.169697,2030-09-30,364
2031,13.641613,2030-11-01,31
2032,10.617533,2031-10-29,28
2033,11.120057,2033-09-23,357
2034,16.22987,2034-09-19,353
2035,18.188326,2034-10-28,27
2036,11.563239,2035-10-01,0
2037,8.020469,2037-08-18,321
2038,3.762938,2038-07-01,273
2039,8.964303,2039-09-24,358
2040,11.052912,2040-08-31,335
2041,6.692345,2040-10-02,1
2042,7.08995,2042-07-12,284
2043,2.846428,2043-05-07,218
2044,7.849999,2044-06-02,245
2045,3.798329,2045-07-26,298
2046,14.479129,2046-07-11,283
2047,9.730217,2047-07-24,296
2048,2.462648,2048-06-02,245
2049,2.8963346,2049-06-01,243
2050,2.854494,2050-07-07,279
2051,17.46341,2051-06-23,265
2052,3.7181728,2052-05-01,213
2053,12.03932,2053-06-09,251
2054,1.5189505,2054-04-09,190
2055,6.3132186,2055-06-02,244
2056,3.6084692,2056-04-28,210
2057,7.450894,2057-05-23,234
2058,1.6383234,2058-05-07,218
2059,4.085067,2059-03-03,153
2060,1.3780818,2060-03-06,157
2061,5.3783584,2061-03-12,162
2062,8.575644,2062-04-01,182
2063,6.1578717,2063-02-16,138
2064,3.8365695,2064-02-12,134
2065,7.7889376,2065-03-15,165
2066,9.282874,2066-03-13,163
2067,2.5338929,2066-12-21,81
2068,2.4798295,2068-01-28,119
2069,1.3793256,2069-01-19,110
2070,7.2858505,2070-03-06,156
2071,1.9261203,2071-03-29,179
2072,5.0946627,2072-02-24,146
2073,2.4972267,2073-02-22,144
2074,1.9198515,2074-01-05,96
2075,6.722903,2075-02-07,129
2076,4.0581174,2076-01-29,120
2077,1.3379564,2076-12-16,76
2078,1.8198041,2077-12-07,67
2079,2.4417417,2078-12-03,63
2080,3.0968156,2080-01-20,111
2081,3.9195278,2080-11-30,60
2082,0.8906874,2081-12-03,63
2083,1.8301722,2083-09-26,360
2084,3.2318716,2083-12-15,75
2085,4.0417905,2084-12-30,90
2086,1.4965823,2085-10-14,13
2087,1.4084516,2086-10-28,27
2088,1.6793559,2087-10-28,27
2089,1.3432938,2088-11-30,60
2090,0.7532129,2089-10-10,9
2091,0.9574854,2091-09-30,364
2092,0.96698797,2091-10-01,0
2093,1.1248646,2092-11-01,31
2094,1.5507803,2094-09-30,364
2095,1.7621479,2094-10-01,0
2096,2.495963,2095-10-19,18
2097,2.55646,2097-08-30,333
