,maxval,maxdate,maxarg
1981,46.261852,1981-05-06,217
1982,80.05752,1982-04-23,204
1983,41.643364,1983-04-28,209
1984,27.057737,1984-05-03,215
1985,59.22246,1985-04-10,191
1986,32.787598,1986-03-31,181
1987,51.297485,1987-04-10,191
1988,42.55812,1988-03-07,158
1989,22.850307,1989-02-25,147
1990,51.331543,1990-03-11,161
1991,33.121925,1991-03-16,166
1992,43.092228,1992-03-11,162
1993,34.955914,1993-02-05,127
1994,33.207256,1994-02-14,136
1995,49.093956,1995-02-11,133
1996,50.95415,1996-02-01,123
1997,37.678314,1997-02-06,128
1998,50.304012,1998-01-21,112
1999,38.634296,1999-01-14,105
2000,29.862875,2000-01-06,97
2001,34.71947,2001-01-06,97
2002,38.526096,2002-01-07,98
2003,57.18029,2003-01-03,94
2004,45.49359,2004-01-03,94
2005,38.51232,2004-12-18,78
2006,44.445614,2005-12-07,67
2007,34.81075,2006-12-06,66
2008,44.894367,2008-09-30,365
2009,50.352306,2008-11-05,35
2010,42.69272,2009-11-21,51
2011,56.05602,2010-11-26,56
2012,33.620907,2011-10-26,25
2013,35.484932,2012-10-16,15
2014,29.911943,2014-01-22,113
2015,51.874275,2015-02-24,146
2016,35.57848,2016-02-14,136
2017,59.416004,2017-02-15,137
2018,49.12292,2018-02-10,132
2019,35.396362,2019-02-06,128
2020,29.998602,2020-01-06,97
2021,63.261845,2021-01-18,109
2022,42.62897,2022-01-21,112
2023,69.05872,2023-01-25,116
2024,38.877968,2024-01-17,108
2025,56.98795,2024-12-25,85
2026,37.34535,2025-12-20,80
2027,20.630302,2026-11-21,51
2028,37.47951,2027-12-12,72
2029,42.550365,2028-11-30,60
2030,27.299002,2029-12-15,75
2031,33.040268,2031-09-28,362
2032,40.86272,2031-11-05,35
2033,44.938953,2033-09-30,364
2034,53.096603,2033-11-07,37
2035,43.864048,2035-09-30,364
2036,50.38526,2035-11-11,41
2037,57.960526,2037-09-29,363
2038,62.75479,2037-10-30,29
2039,54.442787,2039-09-30,364
2040,54.79581,2039-10-05,4
2041,37.13011,2040-10-05,4
2042,34.68201,2041-10-01,0
2043,43.65555,2043-09-19,353
2044,36.948242,2043-10-01,0
2045,29.647131,2045-08-28,331
2046,55.95332,2046-08-18,321
2047,56.735695,2047-08-17,320
2048,46.54032,2048-08-27,331
2049,42.102333,2049-07-28,300
2050,44.461544,2050-08-16,319
2051,33.903988,2051-07-25,297
2052,27.799822,2052-07-11,284
2053,43.029358,2053-07-28,300
2054,40.16123,2054-07-26,298
2055,30.528397,2055-06-26,268
2056,18.763231,2056-06-28,271
2057,44.06433,2057-07-04,276
2058,36.848835,2058-06-22,264
2059,35.457214,2059-06-23,265
2060,29.64509,2060-06-04,247
2061,27.501516,2061-05-29,240
2062,57.19077,2062-05-31,242
2063,28.083153,2063-05-24,235
2064,41.015656,2064-05-31,243
2065,29.467987,2065-04-28,209
2066,37.610367,2066-05-10,221
2067,39.38152,2067-05-14,225
2068,41.848686,2068-05-06,218
2069,15.850285,2069-05-08,219
2070,32.327015,2070-03-30,180
2071,39.05987,2071-04-18,199
2072,57.74151,2072-04-12,194
2073,44.68844,2073-04-05,186
2074,43.83836,2074-04-11,192
2075,30.437836,2075-03-09,159
2076,55.485302,2076-03-05,156
2077,34.2282,2077-02-28,150
2078,33.600838,2078-03-22,172
2079,38.392784,2079-03-04,154
2080,32.6108,2080-03-23,174
2081,39.040394,2081-01-25,116
2082,14.583749,2082-02-14,136
2083,19.250366,2083-01-25,116
2084,40.240627,2084-01-05,96
2085,40.80074,2085-02-15,137
2086,31.236141,2086-02-06,128
2087,50.538754,2087-01-17,108
2088,36.739292,2087-12-28,88
2089,30.032059,2089-01-01,92
2090,22.604836,2090-01-09,100
2091,35.853485,2091-01-05,96
2092,28.594637,2092-09-30,365
2093,46.244118,2092-12-16,76
2094,17.87367,2093-12-03,63
2095,31.180927,2094-12-03,63
2096,20.69179,2095-11-29,59
2097,17.691547,2097-09-30,364
