,maxval,maxdate,maxarg
1981,27.044216,1981-03-24,174
1982,21.33546,1982-03-06,156
1983,15.852248,1983-01-26,117
1984,13.487551,1984-02-01,123
1985,27.484385,1985-03-07,157
1986,13.697895,1986-02-01,123
1987,23.117796,1987-03-10,160
1988,23.188776,1988-02-22,144
1989,7.819189,1988-12-23,83
1990,18.204538,1990-01-23,114
1991,17.459494,1991-01-03,94
1992,6.667354,1992-01-24,115
1993,11.331949,1993-01-24,115
1994,16.277681,1993-12-08,68
1995,24.27466,1995-01-02,93
1996,15.578097,1996-01-09,100
1997,10.338991,1997-09-30,364
1998,25.617622,1997-12-05,65
1999,14.810619,1998-11-21,51
2000,9.473908,2000-09-23,358
2001,12.958924,2000-11-27,57
2002,14.108046,2002-09-30,364
2003,18.485374,2002-11-25,55
2004,13.095983,2003-11-05,35
2005,21.514765,2004-11-29,59
2006,14.514039,2006-09-30,364
2007,17.451187,2006-10-11,10
2008,14.63871,2007-10-17,16
2009,13.135162,2008-10-01,0
2010,20.05161,2010-09-23,357
2011,17.953888,2010-10-06,5
2012,17.73373,2011-10-02,1
2013,11.91402,2012-10-12,11
2014,5.793481,2013-12-23,83
2015,14.420928,2014-12-18,78
2016,10.425845,2015-12-02,62
2017,13.23404,2016-12-05,65
2018,18.822948,2017-11-04,34
2019,12.608559,2018-11-05,35
2020,10.502964,2019-11-25,55
2021,19.684643,2020-11-06,36
2022,8.37549,2022-09-29,363
2023,20.00727,2022-11-27,57
2024,9.74428,2024-09-16,351
2025,11.378576,2024-10-16,15
2026,17.16629,2025-11-30,60
2027,11.756919,2027-09-30,364
2028,13.822829,2027-11-10,40
2029,2.7074215,2028-10-01,0
2030,12.832847,2030-09-20,354
2031,12.766844,2030-10-31,30
2032,11.498971,2031-10-27,26
2033,15.89025,2033-09-25,359
2034,14.881589,2033-10-01,0
2035,14.813986,2034-10-23,22
2036,9.542927,2035-10-01,0
2037,9.237324,2037-08-18,321
2038,7.0642614,2038-07-16,288
2039,3.7440228,2039-07-22,294
2040,8.974866,2040-08-29,333
2041,8.68636,2041-07-02,274
2042,4.4109764,2042-07-11,283
2043,3.5737002,2043-05-31,242
2044,4.557437,2044-06-30,273
2045,7.6064234,2045-07-27,299
2046,14.487895,2046-07-10,282
2047,9.0552025,2047-07-22,294
2048,6.0473156,2048-06-20,263
2049,4.240594,2049-05-09,220
2050,2.5843754,2050-06-29,271
2051,14.862879,2051-06-24,266
2052,1.7412225,2052-04-12,194
2053,6.9377446,2053-04-26,207
2054,2.9590518,2054-04-15,196
2055,10.633763,2055-05-31,242
2056,1.4727471,2056-04-27,209
2057,9.351945,2057-05-23,234
2058,2.1463318,2058-05-07,218
2059,5.066686,2059-05-01,212
2060,1.7829721,2060-04-06,188
2061,6.578647,2061-03-11,161
2062,7.3378415,2062-03-05,155
2063,6.3017845,2063-02-12,134
2064,3.2872229,2064-02-10,132
2065,8.589196,2065-04-08,189
2066,8.782903,2066-03-12,162
2067,2.0248654,2066-12-25,85
2068,1.6677307,2068-03-23,174
2069,0.9841762,2069-01-18,109
2070,12.0239725,2070-03-25,175
2071,1.5331941,2071-02-06,128
2072,5.959914,2072-02-26,148
2073,4.2995195,2073-01-25,116
2074,2.7728515,2074-01-21,112
2075,7.9970245,2075-02-08,130
2076,9.658181,2076-01-28,119
2077,1.4283764,2076-12-18,78
2078,1.3832594,2077-12-02,62
2079,2.352351,2079-01-23,114
2080,5.6134143,2080-01-20,111
2081,6.0741076,2080-12-02,62
2082,0.76858175,2081-11-29,59
2083,1.6829958,2082-12-08,68
2084,2.963831,2083-12-17,77
2085,4.8565316,2084-11-28,58
2086,1.9465631,2085-10-16,15
2087,0.5473438,2086-10-04,3
2088,0.526474,2087-11-03,33
2089,0.85645944,2088-10-28,27
2090,3.547916,2089-10-28,27
2091,0.51456064,2091-09-01,335
2092,2.4538596,2092-09-27,362
2093,0.76342154,2092-10-01,0
2094,1.3207564,2094-09-30,364
2095,1.6185138,2094-10-02,1
2096,1.4387246,2095-11-11,41
2097,3.8563216,2097-08-31,334
