,maxval,maxdate,maxarg
1981,13.696554,1981-03-24,174
1982,19.61637,1982-03-06,156
1983,11.331811,1983-01-27,118
1984,5.4854927,1984-02-03,125
1985,16.904589,1985-03-06,156
1986,9.116402,1986-03-14,164
1987,14.413987,1987-03-01,151
1988,6.835181,1988-01-31,122
1989,6.42883,1989-01-14,105
1990,14.224295,1990-02-20,142
1991,9.631374,1991-02-04,126
1992,7.6672196,1992-01-23,114
1993,14.098423,1993-01-27,118
1994,12.733248,1993-12-22,82
1995,20.544699,1995-01-03,94
1996,8.732665,1995-12-18,78
1997,7.618273,1996-11-19,49
1998,13.772626,1997-12-30,90
1999,6.579756,1998-11-09,39
2000,2.4977705,1999-11-23,53
2001,6.4311943,2001-09-30,364
2002,10.301297,2001-11-25,55
2003,12.141711,2002-12-05,65
2004,12.983269,2004-09-28,363
2005,14.128548,2004-11-30,60
2006,14.675422,2005-11-07,37
2007,13.279104,2006-10-25,24
2008,8.908954,2007-10-25,24
2009,7.9666247,2009-09-29,363
2010,13.304919,2010-09-22,356
2011,16.668995,2011-09-24,358
2012,15.003084,2011-10-02,1
2013,13.012779,2012-10-09,8
2014,10.581602,2014-01-20,111
2015,11.834313,2015-01-28,119
2016,10.375824,2016-01-30,121
2017,15.009438,2017-01-19,110
2018,10.542159,2017-12-01,61
2019,6.946485,2018-12-14,74
2020,7.309246,2019-11-10,40
2021,14.508499,2020-11-26,56
2022,7.507835,2022-09-30,364
2023,17.700687,2022-12-12,72
2024,10.980044,2024-09-29,364
2025,13.136048,2024-10-16,15
2026,7.1168456,2025-12-02,62
2027,6.639493,2027-09-30,364
2028,7.811409,2027-10-30,29
2029,7.795737,2028-10-29,28
2030,6.7740374,2029-10-01,0
2031,7.085695,2031-09-27,361
2032,7.4361343,2031-10-24,23
2033,12.007878,2033-09-23,357
2034,13.846038,2034-09-19,353
2035,14.264014,2034-10-22,21
2036,12.271,2035-10-01,0
2037,9.955413,2037-08-18,321
2038,9.649577,2038-08-04,307
2039,7.140619,2039-09-15,349
2040,9.6814,2040-09-09,344
2041,7.334504,2041-06-28,270
2042,6.004622,2042-07-13,285
2043,7.285474,2043-08-03,306
2044,8.653239,2044-07-10,283
2045,2.5930126,2045-07-21,293
2046,12.711324,2046-07-08,280
2047,8.907187,2047-07-25,297
2048,4.453324,2048-06-21,264
2049,3.143266,2049-06-01,243
2050,5.698516,2050-06-24,266
2051,7.667165,2051-06-19,261
2052,6.155416,2052-05-01,213
2053,8.310862,2053-06-07,249
2054,8.894184,2054-06-24,266
2055,6.8234344,2055-06-07,249
2056,3.4702947,2056-04-28,210
2057,7.144724,2057-05-22,233
2058,3.7658985,2058-04-08,189
2059,3.1129391,2059-03-01,151
2060,3.029748,2060-04-11,193
2061,8.513515,2061-03-13,163
2062,9.441476,2062-04-01,182
2063,3.2801797,2063-04-02,183
2064,3.0025609,2064-02-03,125
2065,3.4772131,2065-03-16,166
2066,9.328784,2066-02-22,144
2067,1.1420404,2067-04-08,189
2068,4.1920433,2068-02-19,141
2069,2.4514215,2069-02-16,138
2070,5.209871,2070-03-06,156
2071,4.2733665,2071-01-23,114
2072,6.8838205,2072-02-27,149
2073,3.454329,2072-12-12,72
2074,6.3965507,2074-02-17,139
2075,7.53603,2075-02-07,129
2076,4.294916,2076-01-05,96
2077,1.9874203,2076-12-20,80
2078,4.3613925,2078-01-12,103
2079,4.8098097,2079-01-23,114
2080,0.96061915,2080-01-19,110
2081,1.9873955,2081-01-15,106
2082,1.9591365,2081-11-30,60
2083,2.1940796,2082-12-01,61
2084,1.8511083,2084-01-04,95
2085,2.8706334,2084-12-28,88
2086,2.0268703,2085-10-15,14
2087,1.1306453,2086-11-29,59
2088,1.0616568,2087-12-01,61
2089,0.49516693,2088-10-24,23
2090,1.2746795,2090-09-15,349
2091,0.8437238,2091-09-22,356
2092,0.84059453,2091-11-25,55
2093,1.1369164,2092-11-02,32
2094,1.7682301,2094-09-30,364
2095,2.040812,2094-10-02,1
2096,1.0865437,2095-10-23,22
2097,2.9526932,2097-09-30,364
