,maxval,maxdate,maxarg
1981,8.733841,1981-03-16,166
1982,13.22903,1982-02-18,140
1983,4.640999,1983-01-29,120
1984,5.036538,1984-02-01,123
1985,9.026119,1985-02-10,132
1986,7.8699236,1986-03-17,167
1987,14.377265,1987-02-23,145
1988,6.25314,1988-01-19,110
1989,4.533475,1988-12-22,82
1990,12.067142,1990-02-17,139
1991,6.06259,1991-01-01,92
1992,4.7195044,1991-12-04,64
1993,7.466535,1993-01-20,111
1994,7.453753,1993-12-13,73
1995,8.646459,1994-12-28,88
1996,4.5979247,1995-12-08,68
1997,7.65119,1996-12-04,64
1998,7.97727,1998-01-01,92
1999,7.870687,1998-12-22,82
2000,2.3392825,2000-09-15,350
2001,7.1701937,2001-09-28,362
2002,18.520405,2001-12-22,82
2003,6.5599337,2002-11-10,40
2004,8.331704,2003-10-25,24
2005,3.5595334,2005-09-11,345
2006,5.8004413,2006-09-15,349
2007,5.8908367,2006-10-08,7
2008,5.6883063,2007-10-07,6
2009,8.1629305,2009-09-22,356
2010,10.464319,2010-09-22,356
2011,9.904445,2010-10-10,9
2012,7.422908,2012-09-12,347
2013,4.8466396,2012-10-01,0
2014,3.8936167,2013-12-16,76
2015,4.059488,2015-01-23,114
2016,7.3945637,2015-12-01,61
2017,6.3236475,2016-12-02,62
2018,6.3451385,2017-11-05,35
2019,5.409179,2018-12-28,88
2020,1.8066157,2019-11-14,44
2021,5.2570624,2020-10-30,29
2022,3.643573,2021-11-29,59
2023,6.390963,2022-11-26,56
2024,9.471651,2023-12-17,77
2025,5.883665,2024-10-15,14
2026,4.894877,2025-10-16,15
2027,3.9121735,2027-09-13,347
2028,5.382001,2028-09-30,365
2029,8.269462,2028-10-29,28
2030,5.358963,2030-09-09,343
2031,6.4065237,2031-09-28,362
2032,6.163036,2031-10-01,0
2033,16.534628,2033-09-30,364
2034,16.43433,2033-10-01,0
2035,3.404282,2034-10-01,0
2036,2.7462654,2036-08-14,318
2037,3.8765013,2037-08-15,318
2038,9.189587,2038-09-03,337
2039,6.639778,2038-10-01,0
2040,4.615589,2040-08-07,311
2041,1.6554675,2041-07-28,300
2042,1.7588339,2042-07-20,292
2043,9.171685,2043-07-31,303
2044,0.8462619,2044-07-08,281
2045,1.7778046,2045-05-04,215
2046,5.8778844,2046-07-04,276
2047,13.048932,2047-07-01,273
2048,7.4918427,2048-07-18,291
2049,1.1984903,2049-05-29,240
2050,2.7373428,2050-05-25,236
2051,2.4121537,2051-06-15,257
2052,2.0811708,2052-06-17,260
2053,8.557367,2053-06-10,252
2054,9.789863,2054-06-24,266
2055,3.8079803,2055-05-26,237
2056,1.3418579,2056-02-29,151
2057,5.119231,2057-05-08,219
2058,1.5799892,2058-04-30,211
2059,2.2747998,2059-04-11,192
2060,2.6108553,2060-05-02,214
2061,2.6054115,2061-03-12,162
2062,1.1915246,2062-03-23,173
2063,7.2516913,2063-04-20,201
2064,1.2738432,2064-02-01,123
2065,2.2257288,2065-03-04,154
2066,2.100219,2066-03-10,160
2067,0.5077469,2067-04-07,188
2068,2.844079,2068-02-11,133
2069,1.506479,2069-03-18,168
2070,3.7679281,2070-03-03,153
2071,2.0193436,2071-02-09,131
2072,12.188743,2072-03-10,161
2073,1.6658068,2072-11-24,54
2074,5.238804,2074-02-17,139
2075,1.4330472,2074-12-20,80
2076,1.9244572,2076-01-05,96
2077,2.9078753,2076-12-11,71
2078,4.4481444,2078-01-09,100
2079,2.0891097,2078-11-14,44
2080,2.7751915,2080-01-16,107
2081,0.8617029,2080-10-16,15
2082,2.3450189,2081-12-01,61
2083,1.7209493,2082-10-20,19
2084,2.1221714,2083-12-31,91
2085,2.4792192,2084-11-27,57
2086,1.2895631,2085-10-12,11
2087,4.7455044,2086-12-07,67
2088,3.888224,2087-12-08,68
2089,0.6537915,2088-12-18,78
2090,0.79859626,2089-10-07,6
2091,0.9411442,2090-11-08,38
2092,0.8638165,2092-08-24,328
2093,2.6218388,2093-09-28,362
2094,2.525854,2093-10-05,4
2095,1.3954312,2094-10-25,24
2096,1.0517365,2096-09-04,339
2097,4.2411222,2097-09-29,363
