,maxval,maxdate,maxarg
1981,65.21774,1981-03-26,176
1982,51.2885,1982-03-08,158
1983,33.94824,1983-03-23,173
1984,14.947291,1984-02-01,123
1985,60.913086,1985-03-25,175
1986,29.416937,1986-03-12,162
1987,47.432415,1987-03-23,173
1988,53.23179,1988-02-22,144
1989,14.658647,1989-02-08,130
1990,53.552776,1990-02-25,147
1991,39.745277,1991-02-02,124
1992,20.98153,1992-01-09,100
1993,24.000948,1992-12-07,67
1994,27.63759,1993-12-10,70
1995,54.08948,1995-01-02,93
1996,26.637775,1996-01-22,113
1997,23.744537,1996-11-10,40
1998,39.676178,1997-12-30,90
1999,37.044334,1998-11-22,52
2000,10.612655,1999-11-25,55
2001,27.14274,2000-12-16,76
2002,19.98685,2001-11-20,50
2003,34.555885,2002-11-26,56
2004,35.270473,2003-11-30,60
2005,37.51518,2004-12-01,61
2006,27.594967,2005-11-16,46
2007,32.501995,2006-11-08,38
2008,38.320217,2008-09-23,358
2009,36.781742,2008-10-01,0
2010,39.70785,2010-09-10,344
2011,45.414997,2010-10-28,27
2012,30.95302,2012-08-27,331
2013,26.409296,2012-10-09,8
2014,27.524195,2014-01-13,104
2015,33.691235,2015-02-09,131
2016,20.105196,2016-01-07,98
2017,34.34939,2016-12-24,84
2018,47.01018,2018-01-31,122
2019,28.817816,2018-11-18,48
2020,26.831839,2020-01-09,100
2021,41.874947,2021-01-03,94
2022,24.327106,2022-09-30,364
2023,51.631397,2022-11-26,56
2024,15.131489,2024-09-12,347
2025,18.205362,2024-12-09,69
2026,34.510963,2025-12-05,65
2027,16.468716,2027-09-30,364
2028,25.056608,2027-12-10,70
2029,5.690625,2028-10-30,29
2030,16.53659,2030-08-17,320
2031,32.46049,2030-11-22,52
2032,16.446823,2031-10-26,25
2033,33.842644,2033-09-27,361
2034,33.484253,2033-10-01,0
2035,25.368534,2034-10-25,24
2036,14.847257,2035-10-01,0
2037,25.496096,2037-09-17,351
2038,17.998741,2037-10-01,0
2039,18.735401,2039-09-23,357
2040,20.61638,2040-09-17,352
2041,14.814902,2040-10-02,1
2042,4.537755,2042-07-12,284
2043,10.115619,2043-05-10,221
2044,12.98666,2044-06-23,266
2045,16.43241,2045-07-25,297
2046,40.60506,2046-07-04,276
2047,40.291862,2047-07-24,296
2048,12.291978,2048-07-04,277
2049,8.072194,2049-05-03,214
2050,4.707329,2050-07-22,294
2051,19.942799,2051-05-15,226
2052,4.536333,2052-03-22,173
2053,23.217768,2053-06-10,252
2054,11.853355,2054-06-17,259
2055,19.40602,2055-06-29,271
2056,5.1793284,2056-06-15,258
2057,18.579334,2057-07-04,276
2058,4.5186667,2058-05-13,224
2059,5.936093,2059-04-30,211
2060,2.7637541,2060-04-25,207
2061,18.110693,2061-03-09,159
2062,22.030073,2062-03-31,181
2063,6.0262947,2063-03-14,164
2064,8.259234,2064-02-02,124
2065,10.974585,2065-03-31,181
2066,10.55937,2066-03-11,161
2067,5.9421844,2066-12-19,79
2068,1.9887657,2068-01-17,108
2069,3.9661107,2069-01-17,108
2070,20.63942,2070-03-23,173
2071,9.1196575,2071-03-30,180
2072,23.190517,2072-03-06,157
2073,13.204592,2072-12-10,70
2074,10.266737,2074-02-18,140
2075,5.5508633,2075-01-03,94
2076,23.019352,2076-02-01,123
2077,4.2577753,2077-02-21,143
2078,9.602647,2077-12-31,91
2079,9.156782,2079-01-22,113
2080,3.9946215,2080-02-27,149
2081,6.457739,2081-01-24,115
2082,1.5520022,2081-11-23,53
2083,2.0286245,2083-03-12,162
2084,6.217405,2083-12-15,75
2085,4.261588,2084-12-30,90
2086,6.399286,2085-10-29,28
2087,4.366552,2086-11-24,54
2088,1.8961246,2087-11-29,59
2089,1.5996372,2088-12-05,65
2090,1.2365968,2089-10-01,0
2091,2.4524753,2090-11-30,60
2092,4.7425117,2091-12-12,72
2093,2.0035653,2092-10-22,21
2094,3.4000535,2094-09-30,364
2095,3.1399007,2094-10-01,0
2096,7.764321,2095-10-19,18
2097,4.7058525,2097-08-29,332
