,maxval,maxdate,maxarg
1981,23.803915,1981-03-23,173
1982,52.3243,1982-04-18,199
1983,18.874222,1983-04-25,206
1984,13.725613,1984-03-21,172
1985,31.240486,1985-03-08,158
1986,23.800058,1986-03-28,178
1987,33.353687,1987-03-02,152
1988,22.7117,1988-02-19,141
1989,13.285527,1989-02-14,136
1990,31.295485,1990-02-26,148
1991,20.03895,1991-02-13,135
1992,20.25734,1992-02-13,135
1993,23.879726,1993-01-28,119
1994,15.948939,1994-01-18,109
1995,30.628578,1995-01-27,118
1996,26.079716,1996-01-21,112
1997,16.287323,1997-01-21,112
1998,27.035606,1998-01-09,100
1999,27.698862,1999-01-07,98
2000,14.974866,1999-12-12,72
2001,14.66919,2000-12-21,81
2002,28.527084,2001-12-30,90
2003,31.343378,2003-01-02,93
2004,33.019825,2003-12-03,63
2005,19.981487,2004-11-28,58
2006,18.654408,2005-11-17,47
2007,13.387158,2007-09-30,364
2008,26.870407,2008-09-29,364
2009,29.05638,2008-10-24,23
2010,28.964949,2009-11-06,36
2011,26.090862,2010-11-09,39
2012,20.966047,2012-09-30,365
2013,21.425173,2012-10-10,9
2014,15.471689,2014-01-21,112
2015,25.008656,2015-02-11,133
2016,22.78784,2016-02-08,130
2017,30.523811,2017-01-15,106
2018,16.941854,2018-01-23,114
2019,26.617208,2019-02-02,124
2020,14.470447,2020-01-02,93
2021,33.39918,2020-12-11,71
2022,22.327505,2021-12-29,89
2023,36.06565,2022-12-30,90
2024,23.082565,2024-01-07,98
2025,25.677895,2024-12-08,68
2026,20.186186,2025-12-07,67
2027,9.388679,2027-09-30,364
2028,20.910728,2027-12-12,72
2029,26.331392,2028-11-20,50
2030,10.884311,2029-11-01,31
2031,18.95717,2031-09-29,363
2032,22.250692,2031-10-25,24
2033,39.22531,2033-09-30,364
2034,40.59783,2033-10-23,22
2035,25.561312,2035-09-30,364
2036,27.649761,2035-10-20,19
2037,26.643505,2037-09-26,360
2038,30.672136,2038-09-26,360
2039,30.515366,2038-10-01,0
2040,28.164454,2039-10-01,0
2041,14.852266,2040-10-04,3
2042,15.306807,2042-08-20,323
2043,23.864895,2043-08-28,331
2044,15.302803,2044-07-31,304
2045,16.298477,2045-08-17,320
2046,29.33947,2046-08-12,315
2047,38.66669,2047-08-09,312
2048,33.996513,2048-08-10,314
2049,11.521602,2049-06-24,266
2050,22.348751,2050-07-22,294
2051,14.046348,2051-06-28,270
2052,15.042747,2052-07-06,279
2053,22.619637,2053-06-18,260
2054,26.110783,2054-07-12,284
2055,14.637474,2055-06-13,255
2056,5.708501,2056-06-01,244
2057,20.184124,2057-06-11,253
2058,18.239609,2058-06-08,250
2059,12.569719,2059-05-09,220
2060,14.383863,2060-05-25,237
2061,8.608902,2061-04-15,196
2062,14.510318,2062-04-15,196
2063,19.59144,2063-05-13,224
2064,11.620825,2064-04-30,212
2065,17.388065,2065-04-08,189
2066,24.25933,2066-05-09,220
2067,11.789598,2067-04-10,191
2068,15.8037,2068-04-12,194
2069,5.695872,2069-03-20,170
2070,13.364247,2070-03-21,171
2071,17.874407,2071-03-25,175
2072,38.11509,2072-03-27,178
2073,12.261422,2073-03-23,173
2074,21.660606,2074-03-11,161
2075,12.28366,2075-02-07,129
2076,10.368457,2076-02-02,124
2077,19.67024,2077-02-18,140
2078,17.452986,2078-02-27,149
2079,19.078966,2079-01-30,121
2080,9.493181,2080-01-18,109
2081,16.05308,2081-01-24,115
2082,11.155022,2082-01-06,97
2083,6.103453,2083-01-10,101
2084,12.439376,2084-01-03,94
2085,13.149094,2084-12-28,88
2086,13.147695,2086-01-03,94
2087,20.866838,2087-01-16,107
2088,16.139414,2087-12-21,81
2089,12.272137,2088-12-07,67
2090,5.58631,2089-10-30,29
2091,8.578419,2090-12-10,70
2092,6.836447,2092-09-30,365
2093,11.671243,2092-11-12,42
2094,8.677615,2093-11-18,48
2095,15.719277,2094-11-27,57
2096,7.16716,2095-10-16,15
2097,8.786112,2097-09-30,364
