,maxval,maxdate,maxarg
1981,12.820692,1981-03-28,178
1982,20.202963,1982-03-31,181
1983,13.339237,1983-03-28,178
1984,16.917927,1984-04-24,206
1985,19.51184,1985-04-03,184
1986,14.083353,1986-03-29,179
1987,17.07879,1987-04-02,183
1988,11.601929,1988-03-16,167
1989,11.968685,1989-02-04,126
1990,17.512135,1990-02-27,149
1991,15.515437,1991-02-16,138
1992,19.320673,1992-02-14,136
1993,15.132106,1993-02-05,127
1994,19.053436,1994-01-26,117
1995,18.805605,1995-02-24,146
1996,16.993484,1996-01-19,110
1997,14.000346,1997-01-11,102
1998,19.213991,1998-01-01,92
1999,10.11199,1999-01-03,94
2000,13.707924,2000-01-05,96
2001,12.856034,2001-01-01,92
2002,14.561056,2002-01-01,92
2003,24.255785,2002-12-21,81
2004,21.85643,2003-12-12,72
2005,19.170364,2005-09-30,364
2006,29.364088,2005-11-29,59
2007,20.131304,2006-11-24,54
2008,16.70392,2008-09-30,365
2009,19.452055,2008-11-05,35
2010,14.191861,2009-11-13,43
2011,16.347696,2011-09-30,364
2012,16.987003,2011-10-27,26
2013,17.75384,2012-10-18,17
2014,19.427593,2014-02-02,124
2015,22.05316,2015-01-29,120
2016,14.071238,2016-02-03,125
2017,23.69157,2017-01-24,115
2018,22.3509,2018-02-02,124
2019,15.306421,2019-01-12,103
2020,12.793245,2019-12-28,88
2021,18.62062,2021-01-04,95
2022,18.183153,2022-01-11,102
2023,18.810556,2022-12-29,89
2024,14.785245,2024-01-10,101
2025,19.939514,2024-12-09,69
2026,12.845125,2025-12-06,66
2027,11.918617,2026-11-18,48
2028,16.880222,2027-12-11,71
2029,13.556821,2028-11-24,54
2030,13.950241,2029-11-20,50
2031,12.639035,2030-11-12,42
2032,14.638209,2031-11-06,36
2033,18.543575,2032-11-25,55
2034,16.854809,2034-09-30,364
2035,21.486982,2034-11-04,34
2036,25.322975,2035-10-29,28
2037,17.833082,2036-10-23,22
2038,17.866215,2037-10-28,27
2039,21.66022,2039-09-30,364
2040,22.515919,2039-10-05,4
2041,21.096167,2041-09-09,343
2042,16.946005,2041-10-01,0
2043,12.697347,2043-08-31,334
2044,17.512066,2044-08-31,335
2045,15.425505,2045-09-15,349
2046,22.128298,2046-08-14,317
2047,18.910141,2047-08-27,330
2048,14.724542,2048-08-10,314
2049,17.944418,2049-07-27,299
2050,14.852804,2050-07-27,299
2051,26.212112,2051-08-02,305
2052,18.106535,2052-07-13,286
2053,18.455917,2053-07-10,282
2054,11.109877,2054-07-14,286
2055,12.3482485,2055-06-22,264
2056,12.765881,2056-06-04,247
2057,12.9291315,2057-06-22,264
2058,20.756067,2058-06-22,264
2059,23.861464,2059-06-04,246
2060,11.550409,2060-05-27,239
2061,13.162564,2061-05-22,233
2062,15.361416,2062-05-04,215
2063,12.10778,2063-05-14,225
2064,15.563901,2064-05-21,233
2065,14.273265,2065-04-29,210
2066,13.091074,2066-04-30,211
2067,20.663107,2067-05-14,225
2068,11.559835,2068-04-15,197
2069,9.378294,2069-04-16,197
2070,8.493202,2070-03-30,180
2071,13.460973,2071-03-31,181
2072,13.227073,2072-03-28,179
2073,20.998981,2073-03-30,180
2074,14.436409,2074-03-06,156
2075,14.709115,2075-03-09,159
2076,13.3099985,2076-02-06,128
2077,11.874935,2077-02-23,145
2078,10.707342,2078-02-04,126
2079,14.86089,2079-03-16,166
2080,14.696975,2080-03-13,164
2081,16.493475,2081-01-25,116
2082,6.4223824,2082-01-27,118
2083,9.123127,2082-12-29,89
2084,21.004293,2084-02-03,125
2085,14.5155325,2085-01-20,111
2086,16.843958,2086-01-24,115
2087,13.558902,2087-01-12,103
2088,7.894505,2087-12-24,84
2089,7.6576667,2088-12-09,69
2090,7.623739,2089-12-03,63
2091,12.172291,2090-12-19,79
2092,17.026815,2091-12-11,71
2093,15.725392,2092-11-21,51
2094,15.341534,2093-11-26,56
2095,11.215991,2094-11-09,39
2096,8.826392,2095-12-15,75
2097,11.2130375,2097-09-30,364
