,maxval,maxdate,maxarg
1981,18.56724,1981-03-28,178
1982,25.175117,1982-04-23,204
1983,18.352383,1983-03-26,176
1984,17.502232,1984-03-22,173
1985,24.700857,1985-04-01,182
1986,26.507376,1986-03-29,179
1987,25.548422,1987-04-02,183
1988,17.429672,1988-03-16,167
1989,19.997713,1989-02-10,132
1990,23.5245,1990-03-10,160
1991,19.984583,1991-03-17,167
1992,22.764132,1992-01-31,122
1993,30.216385,1993-02-09,131
1994,21.939026,1994-01-26,117
1995,19.391485,1995-02-10,132
1996,24.586952,1996-01-23,114
1997,19.795658,1996-12-24,84
1998,22.795752,1998-01-22,113
1999,12.883594,1999-01-07,98
2000,17.494394,1999-12-30,90
2001,18.637468,2000-12-26,86
2002,24.13897,2002-01-01,92
2003,41.793728,2003-01-03,94
2004,19.772432,2003-12-12,72
2005,20.253407,2004-12-19,79
2006,25.459103,2005-11-23,53
2007,23.5512,2006-11-30,60
2008,15.308028,2007-11-25,55
2009,16.35615,2008-10-26,25
2010,20.191252,2009-11-13,43
2011,29.153172,2011-09-30,364
2012,29.89475,2011-10-20,19
2013,23.272966,2012-10-12,11
2014,25.332613,2014-01-27,118
2015,17.583212,2015-02-10,132
2016,24.90212,2016-02-06,128
2017,25.655205,2017-01-21,112
2018,24.428192,2018-02-02,124
2019,25.074867,2019-01-12,103
2020,19.479908,2020-01-01,92
2021,17.961302,2020-12-18,78
2022,20.818665,2022-01-12,103
2023,23.448988,2023-01-17,108
2024,18.669197,2024-01-11,102
2025,17.715464,2024-11-24,54
2026,14.076487,2025-12-21,81
2027,15.974779,2027-09-30,364
2028,23.476065,2027-12-12,72
2029,15.83061,2028-11-17,47
2030,23.813322,2029-12-13,73
2031,24.46298,2030-11-11,41
2032,16.437132,2031-11-02,32
2033,24.12366,2032-11-25,55
2034,22.54214,2034-09-30,364
2035,25.991173,2034-10-29,28
2036,25.184292,2035-10-31,30
2037,24.462042,2036-10-22,21
2038,17.54871,2038-09-30,364
2039,25.060223,2039-09-30,364
2040,25.85462,2039-10-05,4
2041,20.895523,2040-10-22,21
2042,16.92524,2041-10-09,8
2043,18.90788,2043-09-16,350
2044,18.60963,2044-08-23,327
2045,21.779833,2045-09-29,363
2046,24.826714,2046-08-10,313
2047,17.97321,2047-08-26,329
2048,15.156422,2048-08-08,312
2049,13.351347,2049-06-29,271
2050,19.044146,2050-08-01,304
2051,25.580517,2051-07-26,298
2052,13.514228,2052-07-12,285
2053,25.043789,2053-06-25,267
2054,15.601059,2054-07-13,285
2055,18.2832,2055-07-06,278
2056,17.736969,2056-06-04,247
2057,21.299738,2057-06-29,271
2058,19.359404,2058-06-20,262
2059,20.352608,2059-06-03,245
2060,13.275271,2060-05-26,238
2061,13.021364,2061-06-19,261
2062,13.283988,2062-05-19,230
2063,8.529935,2063-04-27,208
2064,16.658907,2064-05-23,235
2065,15.575346,2065-04-29,210
2066,15.854363,2066-05-07,218
2067,14.334446,2067-05-13,224
2068,11.1017275,2068-04-13,195
2069,15.644928,2069-02-25,147
2070,9.840293,2070-03-24,174
2071,11.662371,2071-03-30,180
2072,16.011852,2072-03-25,176
2073,24.383482,2073-03-30,180
2074,10.462605,2074-03-03,153
2075,17.49692,2075-04-13,194
2076,11.707446,2076-02-04,126
2077,12.955814,2077-02-23,145
2078,12.705036,2078-02-07,129
2079,13.842941,2079-03-15,165
2080,16.12747,2080-03-21,172
2081,11.15499,2081-01-25,116
2082,9.938453,2082-01-06,97
2083,15.758194,2083-01-13,104
2084,20.670586,2084-01-06,97
2085,13.18863,2085-01-01,92
2086,14.04593,2086-02-07,129
2087,15.877329,2086-12-20,80
2088,9.210008,2087-12-23,83
2089,8.447805,2088-12-06,66
2090,10.271753,2090-09-27,361
2091,14.973487,2090-12-11,71
2092,18.480698,2091-12-11,71
2093,16.374182,2092-11-15,45
2094,9.702029,2093-11-21,51
2095,10.696564,2094-10-23,22
2096,16.046982,2095-12-14,74
2097,12.3120365,2097-09-30,364
