,maxval,maxdate,maxarg
1981,16.743734,1981-03-23,173
1982,16.313963,1982-02-19,141
1983,4.888839,1983-01-22,113
1984,4.5213046,1984-01-31,122
1985,20.84898,1985-03-05,155
1986,5.3100953,1986-02-07,129
1987,12.09088,1987-03-01,151
1988,17.163506,1988-01-27,118
1989,1.2645121,1988-12-21,81
1990,17.28411,1990-01-19,110
1991,8.88183,1990-12-21,81
1992,7.051655,1992-01-04,95
1993,5.0056844,1992-12-06,66
1994,4.63819,1994-09-30,364
1995,12.025105,1994-12-14,74
1996,3.0528686,1996-09-19,354
1997,7.0635176,1997-09-30,364
1998,7.4575973,1997-10-03,2
1999,7.9869337,1998-11-08,38
2000,4.2574315,1999-11-25,55
2001,3.6030533,2001-09-28,362
2002,5.1180406,2002-08-27,330
2003,7.2188272,2003-07-24,296
2004,7.408371,2003-11-01,31
2005,6.102405,2004-10-04,3
2006,3.793602,2005-10-07,6
2007,2.7266326,2006-10-04,3
2008,11.095869,2008-09-21,356
2009,9.072427,2008-10-01,0
2010,10.010921,2010-09-08,342
2011,7.546644,2010-10-29,28
2012,12.795652,2012-08-27,331
2013,7.1281137,2012-10-09,8
2014,7.078178,2013-12-08,68
2015,3.7586648,2014-11-26,56
2016,5.145129,2015-11-13,43
2017,9.315002,2016-12-01,61
2018,6.6075497,2017-11-03,33
2019,9.697061,2018-11-03,33
2020,2.3124607,2019-10-13,12
2021,7.4505844,2020-11-05,35
2022,4.3597426,2022-09-11,345
2023,11.192123,2022-11-26,56
2024,1.7552285,2024-09-30,365
2025,3.8234413,2025-09-28,362
2026,6.4197764,2025-12-04,64
2027,3.9340036,2027-09-30,364
2028,3.9334416,2027-10-01,0
2029,1.26746,2028-10-09,8
2030,2.8701174,2030-08-17,320
2031,3.2725072,2030-11-03,33
2032,3.8416708,2032-08-31,335
2033,7.6445694,2033-09-17,351
2034,5.421157,2033-10-02,1
2035,2.3556304,2035-08-19,322
2036,1.4419094,2036-08-22,326
2037,3.6894162,2037-06-22,264
2038,1.4349021,2038-09-06,340
2039,3.6579568,2039-08-09,312
2040,5.28944,2040-09-12,347
2041,2.27171,2041-08-11,314
2042,1.4085047,2042-07-09,281
2043,2.5241518,2043-04-14,195
2044,1.6235249,2044-06-22,265
2045,5.3984833,2045-07-25,297
2046,11.946786,2046-07-04,276
2047,8.137826,2047-07-22,294
2048,1.9980009,2048-06-15,258
2049,1.426779,2049-04-04,185
2050,0.89637923,2050-04-30,211
2051,4.4929595,2051-05-15,226
2052,0.82301146,2052-03-21,172
2053,4.6844473,2053-04-18,199
2054,4.172416,2054-04-11,192
2055,2.7758515,2055-05-02,213
2056,3.3372917,2056-06-13,256
2057,7.5220723,2057-05-24,235
2058,1.113504,2058-04-30,211
2059,3.3217747,2059-04-29,210
2060,0.80000734,2060-04-20,202
2061,5.752526,2061-02-27,149
2062,4.2106977,2062-03-03,153
2063,1.0768993,2063-03-15,165
2064,3.3398662,2064-02-02,124
2065,2.5384202,2065-03-30,180
2066,4.3335266,2066-02-21,143
2067,1.6095393,2067-03-22,172
2068,0.66015553,2068-01-17,108
2069,1.2070701,2069-01-17,108
2070,6.052597,2070-03-04,154
2071,2.3700027,2071-01-12,103
2072,3.8784847,2072-02-22,144
2073,3.7396278,2072-12-10,70
2074,1.5620023,2074-01-05,96
2075,2.0140367,2075-01-02,93
2076,5.1599708,2076-01-29,120
2077,0.93586874,2076-12-13,73
2078,1.1937978,2077-11-22,52
2079,2.466193,2078-11-25,55
2080,0.97543025,2079-12-24,84
2081,0.98692256,2080-10-16,15
2082,0.51238203,2081-11-13,43
2083,0.96358496,2082-11-16,46
2084,0.9861078,2083-12-14,74
2085,1.2075112,2084-12-25,85
2086,2.0338066,2085-10-28,27
2087,0.57791555,2086-11-22,52
2088,0.96071196,2088-09-11,346
2089,0.45858717,2089-09-30,364
2090,0.474156,2089-10-03,2
2091,0.6313162,2091-08-31,334
2092,0.76634055,2091-11-26,56
2093,0.17238392,2092-10-21,20
2094,0.6298105,2094-09-30,364
2095,0.41826165,2094-10-01,0
2096,1.4246017,2095-10-18,17
2097,0.93075156,2097-09-30,364
