,maxval,maxdate,maxarg
1981,3.8532794,1981-03-04,154
1982,14.071657,1982-02-20,142
1983,1.1907091,1982-11-18,48
1984,1.623783,1984-01-31,122
1985,8.116944,1985-02-11,133
1986,2.3707142,1986-01-05,96
1987,6.853915,1987-02-23,145
1988,3.3293722,1988-01-18,109
1989,3.0447993,1988-12-26,86
1990,7.442518,1990-01-16,107
1991,2.788428,1990-12-06,66
1992,4.2090077,1992-01-04,95
1993,3.6620402,1992-12-15,75
1994,4.2676177,1993-12-12,72
1995,7.0217,1994-11-27,57
1996,2.9431305,1995-12-29,89
1997,5.0314517,1997-09-30,364
1998,8.917786,1997-12-02,62
1999,4.7492957,1998-11-09,39
2000,1.580526,1999-11-17,47
2001,3.8032207,2001-09-29,363
2002,7.9196486,2001-11-27,57
2003,1.6495489,2003-07-25,297
2004,5.792641,2004-09-30,365
2005,6.0121574,2004-10-09,8
2006,2.4631972,2006-08-11,314
2007,1.4234556,2007-08-31,334
2008,7.1667595,2008-09-28,363
2009,6.8448644,2008-10-01,0
2010,5.856926,2010-09-17,351
2011,2.0748224,2011-08-18,321
2012,5.112326,2012-09-10,345
2013,1.3822465,2013-07-07,279
2014,4.230862,2013-12-15,75
2015,3.6563663,2014-11-19,49
2016,5.8411193,2015-12-03,63
2017,7.989431,2016-12-01,61
2018,3.707,2017-11-25,55
2019,2.8533778,2018-10-21,20
2020,2.2837617,2020-09-30,365
2021,10.213494,2020-11-06,36
2022,2.0020938,2021-11-28,58
2023,3.726566,2023-09-04,338
2024,5.97574,2024-09-30,365
2025,5.9754167,2024-10-01,0
2026,3.2565773,2025-10-01,0
2027,2.2931597,2027-09-15,349
2028,2.3242335,2027-10-08,7
2029,3.3382201,2029-09-27,361
2030,3.6156068,2029-10-06,5
2031,2.5848851,2031-09-18,352
2032,2.2517154,2032-08-31,335
2033,2.8556707,2033-09-18,352
2034,3.7429857,2034-08-26,329
2035,4.955007,2035-09-03,337
2036,4.472205,2035-10-05,4
2037,3.9925466,2037-08-03,306
2038,1.4154619,2038-08-28,331
2039,1.8960267,2039-08-03,306
2040,4.4653296,2040-08-23,327
2041,1.4126952,2041-05-17,228
2042,1.4213538,2042-07-15,287
2043,1.8589562,2043-06-28,270
2044,1.381035,2044-06-01,244
2045,2.3714848,2045-07-21,293
2046,6.72961,2046-07-04,276
2047,5.8037987,2047-07-16,288
2048,7.939727,2048-07-17,290
2049,1.2679884,2049-05-05,216
2050,2.4134252,2050-05-02,213
2051,2.1117773,2051-05-07,218
2052,0.8559391,2052-03-22,173
2053,4.7512035,2053-05-29,240
2054,4.3182764,2054-06-11,253
2055,2.1759076,2055-03-12,162
2056,0.8031538,2056-03-04,155
2057,6.1212597,2057-06-02,244
2058,2.5204165,2058-06-06,248
2059,1.174905,2059-06-12,254
2060,1.6475512,2060-03-16,167
2061,3.7884362,2061-03-13,163
2062,3.2637594,2062-02-14,136
2063,2.1277938,2063-02-11,133
2064,1.58824,2064-02-02,124
2065,2.4235296,2065-03-10,160
2066,1.9024085,2066-01-12,103
2067,1.5773851,2067-03-25,175
2068,1.6722157,2068-01-22,113
2069,1.0335599,2069-02-23,145
2070,2.1533132,2070-02-27,149
2071,4.2456336,2071-01-13,104
2072,5.4299726,2072-03-08,159
2073,1.7723643,2072-12-10,70
2074,4.7275023,2074-02-19,141
2075,1.2612038,2075-01-04,95
2076,0.9410792,2076-01-04,95
2077,1.7112502,2076-12-10,70
2078,1.4257678,2078-01-01,92
2079,1.6867312,2078-11-14,44
2080,1.2872275,2079-12-30,90
2081,2.0080454,2080-10-16,15
2082,1.78348,2081-11-23,53
2083,1.6251959,2082-11-18,48
2084,1.4212787,2083-12-03,63
2085,1.8455533,2084-10-14,13
2086,1.0976871,2085-10-31,30
2087,2.637767,2086-11-30,60
2088,1.1530997,2087-12-01,61
2089,1.1083397,2089-09-30,364
2090,1.127666,2089-10-01,0
2091,0.6734756,2090-11-30,60
2092,0.8979457,2091-11-24,54
2093,1.988281,2093-09-30,364
2094,1.9885813,2093-10-01,0
2095,0.91343826,2094-10-18,17
2096,0.729399,2096-09-04,339
2097,0.9641179,2096-10-10,9
