,maxval,maxdate,maxarg
1981,22.757826,1981-03-25,175
1982,20.745052,1982-03-08,158
1983,9.983858,1983-01-25,116
1984,3.588546,1984-02-01,123
1985,21.290173,1985-03-25,175
1986,8.31047,1986-02-07,129
1987,18.741358,1987-03-01,151
1988,13.042289,1988-01-27,118
1989,7.0834146,1988-12-26,86
1990,16.10092,1990-02-25,147
1991,11.240831,1991-02-11,133
1992,9.578588,1992-01-22,113
1993,11.3662405,1993-01-28,119
1994,14.966802,1993-12-11,71
1995,19.84759,1995-01-03,94
1996,10.038927,1996-01-19,110
1997,9.665075,1997-09-30,364
1998,16.308365,1997-12-30,90
1999,10.386636,1998-11-08,38
2000,3.4642222,1999-11-24,54
2001,4.7072606,2001-09-28,362
2002,10.445304,2001-11-21,51
2003,14.562525,2002-12-01,61
2004,8.599349,2003-12-01,61
2005,12.006569,2005-09-17,351
2006,13.21049,2005-10-07,6
2007,10.46999,2006-10-24,23
2008,10.553343,2008-09-26,361
2009,9.492142,2008-10-01,0
2010,16.996134,2010-09-09,343
2011,15.895011,2010-10-26,25
2012,13.022182,2011-10-01,0
2013,2.8589866,2012-11-29,59
2014,15.1195545,2014-01-15,106
2015,11.720337,2015-02-10,132
2016,11.387177,2015-12-15,75
2017,13.232344,2016-12-01,61
2018,11.20766,2017-11-27,57
2019,10.652053,2018-11-03,33
2020,6.8807917,2019-11-02,32
2021,15.253589,2020-11-20,50
2022,8.875465,2022-09-13,347
2023,15.349576,2022-11-28,58
2024,12.697561,2024-09-30,365
2025,14.722423,2024-10-12,11
2026,8.959345,2025-10-01,0
2027,7.8338747,2027-09-30,364
2028,9.267354,2027-11-23,53
2029,3.193199,2028-10-30,29
2030,7.323426,2030-09-17,351
2031,7.615178,2030-11-10,40
2032,6.2415915,2031-10-24,23
2033,11.658751,2033-09-30,364
2034,15.819674,2034-09-30,364
2035,17.445248,2034-10-25,24
2036,11.272408,2035-10-05,4
2037,7.602461,2037-08-15,318
2038,2.2059495,2038-06-11,253
2039,6.4680877,2039-05-21,232
2040,13.35262,2040-09-17,352
2041,4.3756733,2041-05-21,232
2042,2.7136056,2042-07-09,281
2043,5.119349,2043-05-11,222
2044,5.4922047,2044-06-22,265
2045,4.9268994,2045-07-29,301
2046,8.934233,2046-07-04,276
2047,14.638544,2047-07-25,297
2048,2.8356838,2048-04-09,191
2049,2.7662427,2049-06-22,264
2050,3.1564248,2050-04-06,187
2051,10.145577,2051-06-18,260
2052,3.641909,2052-03-23,174
2053,7.906335,2053-06-10,252
2054,5.0557923,2054-04-10,191
2055,7.7895527,2055-06-24,266
2056,2.3243704,2056-03-03,154
2057,10.270649,2057-06-08,250
2058,2.483763,2058-06-01,243
2059,0.96021855,2059-04-24,205
2060,1.807803,2060-04-21,203
2061,8.524203,2061-03-12,162
2062,11.496311,2062-03-31,181
2063,1.9675558,2063-02-12,134
2064,3.0222468,2064-04-06,188
2065,3.0748522,2065-03-14,164
2066,3.5795376,2066-02-18,140
2067,2.0077682,2066-12-20,80
2068,1.6762266,2068-01-20,111
2069,1.688062,2069-04-04,185
2070,7.8037004,2070-03-05,155
2071,6.979874,2071-03-29,179
2072,7.1613984,2072-02-24,146
2073,3.7574096,2073-03-14,164
2074,2.696049,2074-01-06,97
2075,6.52618,2075-02-05,127
2076,3.0973077,2076-01-10,101
2077,2.4698446,2076-12-10,70
2078,2.7736995,2077-11-20,50
2079,5.0684953,2078-12-07,67
2080,2.106702,2079-12-30,90
2081,1.9257996,2080-11-09,39
2082,0.98860157,2081-11-13,43
2083,1.3301796,2082-12-20,80
2084,2.2224145,2083-12-04,64
2085,3.2284114,2084-12-30,90
2086,3.8415046,2085-10-30,29
2087,2.153882,2086-11-28,58
2088,1.0707296,2088-09-17,352
2089,1.3149437,2088-12-06,66
2090,1.2973368,2089-12-29,89
2091,1.2589102,2091-09-02,336
2092,3.5224926,2091-12-02,62
2093,1.1416608,2092-10-23,22
2094,2.0476303,2094-09-30,364
2095,4.7008405,2095-01-03,94
2096,1.8685596,2095-11-27,57
2097,3.3440213,2097-08-30,333
