,maxval,maxdate,maxarg
1981,28.204948,1981-03-28,178
1982,31.365673,1982-03-21,171
1983,23.973583,1983-03-24,174
1984,20.22366,1984-03-23,174
1985,35.315834,1985-04-22,203
1986,20.669636,1986-03-26,176
1987,33.79227,1987-04-01,182
1988,25.525618,1988-03-17,168
1989,21.811483,1989-02-05,127
1990,26.715246,1990-02-20,142
1991,23.182411,1991-02-04,126
1992,21.87168,1992-02-13,135
1993,29.353045,1993-02-09,131
1994,26.615627,1994-01-26,117
1995,29.052135,1995-01-15,106
1996,21.697948,1996-01-23,114
1997,19.143953,1996-12-23,83
1998,28.203259,1997-12-31,91
1999,15.504946,1999-01-03,94
2000,14.854698,2000-01-05,96
2001,20.913876,2000-12-26,86
2002,25.513279,2002-09-30,364
2003,40.176044,2003-01-01,92
2004,30.71485,2003-12-11,71
2005,31.542204,2004-12-17,77
2006,30.887775,2005-12-05,65
2007,26.66402,2006-11-09,39
2008,21.581926,2007-10-31,30
2009,20.670784,2008-10-26,25
2010,21.91019,2009-11-17,47
2011,28.723717,2011-09-30,364
2012,30.511408,2011-10-26,25
2013,29.618366,2012-10-18,17
2014,22.16735,2014-01-21,112
2015,24.784418,2015-02-09,131
2016,22.507254,2016-01-31,122
2017,32.598686,2017-01-22,113
2018,30.298447,2018-02-02,124
2019,26.54908,2019-01-11,102
2020,20.637753,2020-01-01,92
2021,30.160513,2020-12-17,77
2022,22.611877,2022-01-11,102
2023,34.0097,2022-12-31,91
2024,15.419736,2024-01-10,101
2025,25.134026,2024-12-08,68
2026,21.513857,2025-12-05,65
2027,18.78259,2026-11-17,47
2028,25.298443,2027-12-12,72
2029,21.107111,2028-12-06,66
2030,20.42397,2029-11-19,49
2031,24.928247,2030-11-22,52
2032,21.621563,2031-11-13,43
2033,26.08886,2032-11-25,55
2034,31.078997,2034-09-30,364
2035,36.309277,2034-10-29,28
2036,28.38565,2035-10-09,8
2037,22.950285,2036-10-20,19
2038,17.836653,2037-10-19,18
2039,29.593676,2039-09-30,364
2040,29.731596,2039-10-15,14
2041,26.49993,2040-10-03,2
2042,21.143782,2041-10-08,7
2043,17.271152,2043-08-30,333
2044,19.163544,2044-07-22,295
2045,19.445354,2045-09-16,350
2046,26.49433,2046-08-10,313
2047,23.605404,2047-08-16,319
2048,14.906526,2048-08-07,311
2049,17.98701,2049-07-01,273
2050,17.884794,2050-08-28,331
2051,29.048326,2051-08-01,304
2052,18.852524,2052-07-13,286
2053,30.099209,2053-06-20,262
2054,15.81758,2054-07-14,286
2055,19.564207,2055-07-12,284
2056,15.059064,2056-05-22,234
2057,21.916498,2057-07-15,287
2058,21.02859,2058-06-04,246
2059,16.784103,2059-05-05,216
2060,10.322663,2060-05-18,230
2061,17.786453,2061-06-23,265
2062,22.629772,2062-05-19,230
2063,12.525811,2063-05-13,224
2064,21.73477,2064-05-31,243
2065,17.328535,2065-04-04,185
2066,18.271805,2066-05-26,237
2067,7.682274,2067-05-13,224
2068,12.031166,2068-03-06,157
2069,15.0867815,2069-02-24,146
2070,16.494066,2070-03-29,179
2071,13.902715,2071-03-30,180
2072,17.098007,2072-03-25,176
2073,26.473083,2073-03-28,178
2074,6.1412163,2074-02-18,140
2075,20.84639,2075-04-13,194
2076,17.194904,2076-02-03,125
2077,10.421152,2077-02-23,145
2078,10.935386,2078-01-21,112
2079,13.888003,2079-01-29,120
2080,12.797746,2080-01-21,112
2081,11.368279,2081-01-25,116
2082,6.0722,2082-01-05,96
2083,10.83311,2082-12-08,68
2084,22.600441,2084-02-13,135
2085,15.816622,2085-01-02,93
2086,10.032604,2086-01-21,112
2087,12.594698,2086-12-17,77
2088,8.600635,2087-12-16,76
2089,4.895235,2088-11-04,34
2090,6.9077168,2090-09-27,361
2091,9.790648,2091-09-30,364
2092,13.064962,2091-12-11,71
2093,11.445161,2092-11-15,45
2094,7.9723315,2094-09-30,364
2095,11.022046,2094-10-22,21
2096,17.899477,2095-12-14,74
2097,9.24089,2097-09-30,364
