,maxval,maxdate,maxarg
1981,46.983738,1981-03-24,174
1982,31.698652,1982-03-05,155
1983,22.36347,1983-01-22,113
1984,6.6754236,1983-12-14,74
1985,40.53151,1985-03-07,157
1986,12.050698,1986-01-31,122
1987,30.161892,1987-03-10,160
1988,41.592037,1988-02-23,145
1989,9.52872,1989-02-09,131
1990,22.167753,1990-01-21,112
1991,11.912154,1990-12-05,65
1992,4.9259086,1992-01-04,95
1993,24.002142,1993-01-28,119
1994,28.01402,1993-12-13,73
1995,47.032845,1995-01-15,106
1996,19.95892,1996-01-21,112
1997,10.460081,1997-09-30,364
1998,20.909073,1997-12-04,64
1999,27.517237,1998-11-09,39
2000,11.359916,2000-09-15,350
2001,14.787488,2000-12-19,79
2002,13.250991,2002-08-27,330
2003,15.745192,2002-10-26,25
2004,23.284319,2004-09-23,358
2005,44.98427,2004-12-02,62
2006,26.952034,2006-09-30,364
2007,33.370026,2006-11-07,37
2008,23.978973,2007-10-07,6
2009,18.58547,2009-09-30,364
2010,20.361319,2010-09-08,342
2011,17.616373,2010-10-23,22
2012,14.1582155,2011-10-01,0
2013,5.864098,2012-10-11,10
2014,4.884946,2013-12-07,67
2015,8.378794,2015-02-03,125
2016,3.5529463,2015-11-20,50
2017,14.766066,2017-01-21,112
2018,27.866926,2018-02-04,126
2019,15.753311,2018-11-04,34
2020,10.67115,2020-09-30,365
2021,27.933765,2020-12-17,77
2022,10.219962,2022-09-10,344
2023,30.44858,2022-11-25,55
2024,12.702604,2024-09-12,347
2025,12.098777,2025-09-28,362
2026,19.800251,2025-12-01,61
2027,11.634516,2027-09-14,348
2028,13.955578,2027-11-04,34
2029,1.6616255,2028-10-29,28
2030,15.59874,2030-09-09,343
2031,17.312263,2031-09-17,351
2032,20.466198,2031-10-26,25
2033,7.3956375,2033-06-29,271
2034,4.0061197,2034-07-18,290
2035,6.001792,2034-10-24,23
2036,5.3854246,2036-08-23,327
2037,8.791487,2037-06-22,264
2038,1.295526,2038-06-12,254
2039,9.339528,2039-09-21,355
2040,8.188796,2040-08-09,313
2041,4.0604124,2041-06-27,269
2042,2.8641555,2042-07-09,281
2043,1.3648642,2043-05-08,219
2044,3.3332393,2044-05-28,240
2045,10.986022,2045-07-26,298
2046,15.423809,2046-07-04,276
2047,11.027625,2047-08-10,313
2048,3.072362,2048-06-09,252
2049,4.177426,2049-04-04,185
2050,4.8507276,2050-06-29,271
2051,6.9202433,2051-05-19,230
2052,5.318134,2052-04-30,212
2053,9.334308,2053-04-18,199
2054,1.1599826,2054-07-12,284
2055,5.124431,2055-06-29,271
2056,2.9828236,2056-03-01,152
2057,9.6073675,2057-05-24,235
2058,2.533225,2058-07-09,281
2059,1.3418014,2059-04-11,192
2060,0.41268542,2060-04-07,189
2061,2.4980345,2061-05-14,225
2062,5.7123904,2062-03-03,153
2063,4.134356,2063-02-11,133
2064,2.2048762,2064-02-01,123
2065,4.2376065,2065-03-11,161
2066,11.367946,2066-03-10,160
2067,1.7618226,2066-12-20,80
2068,0.00020647183,2067-12-31,91
2069,0.0003541502,2069-02-15,137
2070,6.5615172,2070-03-05,155
2071,1.532112,2071-03-29,179
2072,7.4702935,2072-02-21,143
2073,3.555531,2073-02-22,144
2074,1.4844053,2074-01-04,95
2075,3.351368,2074-12-29,89
2076,5.120832,2076-01-10,101
2077,1.4368554,2076-12-07,67
2078,1.421105,2077-12-31,91
2079,2.2089229,2079-01-22,113
2080,1.9408329,2079-12-05,65
2081,3.7660413,2080-11-28,58
2082,1.3873913,2081-11-23,53
2083,8.4427775e-05,2082-12-07,67
2084,4.630185,2083-12-15,75
2085,4.2595043,2084-11-27,57
2086,0.6354623,2085-10-14,13
2087,0.34385562,2087-09-29,363
2088,1.562474e-05,2087-12-08,68
2089,0.0001364912,2088-10-26,25
2090,0.3433897,2089-10-27,26
2091,1.8800343e-05,2091-08-18,321
2092,0.2409008,2091-11-03,33
2093,0.9102124,2092-11-01,31
2094,0.44344798,2094-09-27,361
2095,0.22826429,2095-07-12,284
2096,2.3151472,2095-11-10,40
2097,0.9057952,2097-08-12,315
