,maxval,maxdate,maxarg
1981,19.973867,1981-03-28,178
1982,35.402927,1982-03-13,163
1983,17.680037,1983-03-24,174
1984,10.7627945,1984-03-22,173
1985,27.764044,1985-03-25,175
1986,13.559241,1986-03-14,164
1987,20.747652,1987-03-06,156
1988,11.7471485,1988-02-10,132
1989,12.470607,1989-01-31,122
1990,21.922176,1990-02-26,148
1991,16.805212,1991-02-04,126
1992,14.9737425,1992-01-23,114
1993,18.660643,1993-02-04,126
1994,17.248549,1994-01-07,98
1995,27.432909,1995-01-15,106
1996,14.759527,1996-01-19,110
1997,12.6988125,1996-12-23,83
1998,20.211536,1998-01-11,102
1999,9.757338,1998-11-28,58
2000,9.370302,1999-12-03,63
2001,11.091017,2000-12-20,80
2002,15.976346,2001-12-18,78
2003,22.406487,2002-12-05,65
2004,21.988726,2003-12-03,63
2005,20.602804,2004-12-13,73
2006,25.12132,2005-11-23,53
2007,18.55907,2006-10-26,25
2008,16.387516,2007-10-31,30
2009,17.922215,2008-10-23,22
2010,17.896032,2010-09-22,356
2011,25.847706,2011-09-29,363
2012,25.857367,2011-10-02,1
2013,22.872927,2012-10-16,15
2014,14.187562,2014-01-25,116
2015,17.327019,2015-02-05,127
2016,16.136383,2016-02-02,124
2017,29.794044,2017-01-22,113
2018,18.660055,2018-01-30,121
2019,16.288904,2019-01-10,101
2020,14.197822,2019-12-24,84
2021,22.683311,2021-01-04,95
2022,15.204819,2022-01-10,101
2023,24.8261,2022-12-23,83
2024,13.628045,2024-09-30,365
2025,22.681042,2024-11-22,52
2026,16.843803,2025-12-05,65
2027,14.039724,2026-11-16,46
2028,12.570863,2028-09-30,365
2029,18.780806,2028-10-31,30
2030,10.096751,2029-10-09,8
2031,12.666383,2030-11-11,41
2032,14.066622,2031-11-01,31
2033,20.337759,2033-09-30,364
2034,21.858892,2033-10-15,14
2035,24.124615,2034-10-22,21
2036,22.34769,2035-10-08,7
2037,15.864803,2037-08-23,326
2038,15.808382,2038-08-28,331
2039,26.404873,2039-09-27,361
2040,26.506697,2039-10-04,3
2041,16.816504,2041-08-27,330
2042,12.452611,2042-08-11,314
2043,13.2404995,2043-08-18,321
2044,15.874901,2044-07-22,295
2045,10.896315,2045-08-18,321
2046,24.039011,2046-07-11,283
2047,20.80904,2047-08-12,315
2048,15.657813,2048-08-07,311
2049,12.804816,2049-06-28,270
2050,16.914793,2050-07-25,297
2051,17.920124,2051-06-26,268
2052,12.99585,2052-07-11,284
2053,17.388111,2053-06-14,256
2054,14.154149,2054-07-06,278
2055,10.624981,2055-06-22,264
2056,7.528892,2056-05-23,235
2057,14.940565,2057-06-08,250
2058,14.433764,2058-06-04,246
2059,14.580286,2059-05-04,215
2060,8.934114,2060-05-23,235
2061,13.517,2061-04-14,195
2062,21.812098,2062-05-14,225
2063,7.5950212,2063-04-20,201
2064,13.15994,2064-05-14,226
2065,10.329615,2065-04-07,188
2066,14.255818,2066-03-26,176
2067,4.0645165,2067-04-11,192
2068,5.7190986,2068-02-19,141
2069,7.370229,2069-02-24,146
2070,10.710636,2070-03-24,174
2071,12.128569,2071-03-30,180
2072,13.356006,2072-03-26,177
2073,15.937697,2073-03-28,178
2074,9.667596,2074-02-23,145
2075,14.783653,2075-02-09,131
2076,12.203917,2076-02-03,125
2077,6.2210193,2077-02-22,144
2078,10.627249,2078-01-16,107
2079,9.039778,2079-01-23,114
2080,4.694392,2080-01-21,112
2081,9.690551,2081-01-25,116
2082,2.93602,2082-01-05,96
2083,5.4894795,2082-12-08,68
2084,8.710867,2083-12-15,75
2085,13.085479,2084-12-28,88
2086,6.6531563,2085-11-06,36
2087,7.3970995,2086-12-17,77
2088,2.9310656,2087-12-15,75
2089,3.1065192,2088-10-25,24
2090,5.0920153,2090-09-26,360
2091,6.3994927,2090-10-11,10
2092,6.769083,2091-10-19,18
2093,7.2557015,2092-11-12,42
2094,5.641746,2094-09-30,364
2095,9.889329,2094-10-22,21
2096,7.7404394,2095-10-26,25
2097,6.6014075,2097-09-30,364
