,maxval,maxdate,maxarg
1981,19.076235,1981-03-28,178
1982,33.7498,1982-04-14,195
1983,11.425441,1983-03-25,175
1984,4.997507,1984-02-02,124
1985,20.483316,1985-03-29,179
1986,7.260446,1986-03-15,165
1987,19.20259,1987-04-06,187
1988,11.2336235,1988-02-23,145
1989,8.592374,1989-02-10,132
1990,20.371534,1990-02-26,148
1991,14.683362,1991-02-15,137
1992,12.268739,1992-01-22,113
1993,9.864001,1993-02-04,126
1994,6.36795,1994-09-30,364
1995,18.66329,1995-01-15,106
1996,10.955513,1996-01-23,114
1997,6.1840425,1996-11-19,49
1998,14.000914,1997-12-31,91
1999,8.748657,1999-01-02,93
2000,8.121778,2000-01-05,96
2001,10.425444,2001-09-29,363
2002,15.2424345,2001-12-04,64
2003,16.877954,2003-01-02,93
2004,20.463276,2003-12-07,67
2005,11.470365,2004-12-17,77
2006,8.502463,2005-11-18,48
2007,8.002561,2006-11-09,39
2008,14.118827,2008-09-30,365
2009,15.180844,2008-10-27,26
2010,11.251568,2010-09-22,356
2011,13.596311,2010-11-07,37
2012,21.747282,2012-09-20,355
2013,23.507618,2012-10-18,17
2014,6.174011,2014-01-21,112
2015,12.410241,2015-02-10,132
2016,9.8092785,2016-02-02,124
2017,13.722381,2017-01-22,113
2018,13.207166,2018-02-01,123
2019,15.110048,2019-01-12,103
2020,9.699573,2020-01-09,100
2021,14.978401,2020-12-18,78
2022,10.220826,2022-09-30,364
2023,21.246998,2023-01-16,107
2024,6.1324654,2024-01-03,94
2025,9.532867,2024-12-09,69
2026,10.8869705,2025-12-05,65
2027,8.026752,2026-11-24,54
2028,9.243082,2027-12-11,71
2029,9.609714,2028-11-16,46
2030,4.3067617,2030-09-30,364
2031,6.246416,2030-11-12,42
2032,13.79058,2032-09-27,362
2033,14.774731,2033-09-30,364
2034,16.004032,2033-10-15,14
2035,13.497617,2034-10-29,28
2036,12.234352,2036-09-29,364
2037,13.3879795,2037-08-26,329
2038,12.724602,2038-09-13,347
2039,14.868954,2039-09-30,364
2040,15.396177,2039-10-09,8
2041,10.849596,2041-08-12,315
2042,11.652008,2042-08-21,324
2043,10.319275,2043-08-31,334
2044,7.4059753,2044-07-21,294
2045,9.234258,2045-08-18,321
2046,15.799693,2046-08-07,310
2047,21.481712,2047-08-16,319
2048,21.205803,2048-07-21,294
2049,5.0270076,2049-06-29,271
2050,13.517111,2050-07-29,301
2051,10.093004,2051-06-29,271
2052,2.8834734,2052-05-24,236
2053,14.161251,2053-06-19,261
2054,7.330544,2054-07-13,285
2055,9.461432,2055-07-01,273
2056,2.1228876,2056-06-17,260
2057,12.953279,2057-07-04,276
2058,9.213683,2058-06-06,248
2059,5.870027,2059-05-04,215
2060,10.147229,2060-05-23,235
2061,9.995745,2061-05-31,242
2062,16.559904,2062-05-19,230
2063,7.3885903,2063-05-18,229
2064,10.059742,2064-05-15,227
2065,3.8770757,2065-04-07,188
2066,13.873974,2066-04-07,188
2067,6.3182917,2067-04-11,192
2068,3.302802,2068-02-18,140
2069,5.566258,2069-04-14,195
2070,10.96405,2070-03-24,174
2071,7.4255757,2071-03-30,180
2072,12.242236,2072-03-25,176
2073,9.827122,2073-03-19,169
2074,2.3670607,2074-02-18,140
2075,7.1682553,2075-02-09,131
2076,10.678369,2076-02-06,128
2077,4.9753313,2077-02-22,144
2078,10.230473,2078-02-07,129
2079,7.0466986,2079-01-26,117
2080,2.3198195,2080-01-20,111
2081,11.632292,2081-01-24,115
2082,1.9179107,2081-12-04,64
2083,2.208213,2082-12-08,68
2084,6.4014573,2084-01-04,95
2085,7.754328,2085-01-02,93
2086,5.9198527,2086-01-08,99
2087,13.94999,2086-12-16,76
2088,11.110524,2087-12-20,80
2089,4.6789465,2088-12-06,66
2090,4.451624,2090-09-27,361
2091,10.163312,2090-12-09,69
2092,3.102217,2091-12-12,72
2093,4.7101088,2092-11-04,34
2094,6.350784,2094-09-30,364
2095,8.760299,2094-10-23,22
2096,2.6755023,2095-10-25,24
2097,4.5037756,2097-09-30,364
