,maxval,maxdate,maxarg
1981,28.079178,1981-03-28,178
1982,59.491055,1982-04-22,203
1983,27.058937,1983-03-25,175
1984,13.533307,1984-03-23,174
1985,36.399303,1985-04-05,186
1986,14.301661,1986-03-29,179
1987,25.464035,1987-03-13,163
1988,20.221306,1988-02-23,145
1989,15.871577,1989-02-11,133
1990,26.784372,1990-03-03,153
1991,24.119438,1991-02-16,138
1992,19.283043,1992-02-12,134
1993,19.6571,1993-02-05,127
1994,22.064327,1994-01-28,119
1995,33.78856,1995-01-29,120
1996,19.150291,1996-01-20,111
1997,16.281807,1996-12-23,83
1998,28.450838,1998-01-12,103
1999,16.424314,1999-01-07,98
2000,16.887589,1999-12-28,88
2001,14.407839,2000-12-26,86
2002,22.300844,2002-01-01,92
2003,26.961216,2003-01-03,94
2004,36.35242,2003-12-11,71
2005,25.250946,2004-12-18,78
2006,35.6298,2005-12-07,67
2007,28.582918,2006-11-30,60
2008,26.280664,2008-09-30,365
2009,28.216702,2008-10-27,26
2010,21.93461,2010-09-30,364
2011,34.04014,2011-09-30,364
2012,36.783943,2011-10-25,24
2013,32.291145,2012-10-17,16
2014,16.96656,2014-01-28,119
2015,26.64845,2015-02-09,131
2016,18.73224,2016-02-07,129
2017,40.90387,2017-01-25,116
2018,27.063015,2018-02-02,124
2019,23.929047,2019-01-25,116
2020,18.217459,2020-01-01,92
2021,38.526333,2021-01-04,95
2022,18.808939,2022-01-13,104
2023,36.96037,2023-01-14,105
2024,17.850853,2024-01-05,96
2025,29.223593,2024-12-28,88
2026,20.827492,2025-12-06,66
2027,18.587606,2026-11-21,51
2028,17.440443,2027-12-11,71
2029,23.243042,2028-11-22,52
2030,12.324,2029-11-19,49
2031,13.275538,2030-11-13,43
2032,16.998322,2032-09-30,365
2033,25.913265,2033-09-30,364
2034,27.711136,2033-11-04,34
2035,26.625536,2034-10-24,23
2036,27.46636,2035-10-13,12
2037,28.289013,2036-10-21,20
2038,24.59467,2037-10-01,0
2039,36.394028,2039-09-30,364
2040,36.81622,2039-10-05,4
2041,31.040052,2041-09-08,342
2042,27.973782,2041-10-01,0
2043,14.778767,2043-08-30,333
2044,21.031355,2044-08-31,335
2045,14.001245,2045-08-19,322
2046,41.099354,2046-08-20,323
2047,36.39177,2047-08-16,319
2048,27.63423,2048-08-08,312
2049,21.695745,2049-06-28,270
2050,27.40697,2050-08-16,319
2051,28.132668,2051-07-03,275
2052,24.670475,2052-07-12,285
2053,26.174438,2053-06-25,267
2054,17.562546,2054-07-14,286
2055,13.1425905,2055-06-22,264
2056,12.445067,2056-06-02,245
2057,19.805744,2057-06-29,271
2058,18.032385,2058-06-09,251
2059,24.986252,2059-05-27,238
2060,15.161213,2060-05-23,235
2061,19.403618,2061-06-02,244
2062,40.36133,2062-05-14,225
2063,10.149652,2063-05-12,223
2064,27.607422,2064-05-17,229
2065,18.969131,2065-04-28,209
2066,23.600573,2066-03-26,176
2067,19.207035,2067-05-03,214
2068,10.0819435,2068-04-04,186
2069,10.656018,2069-04-15,196
2070,16.794714,2070-03-24,174
2071,17.994942,2071-04-09,190
2072,20.191326,2072-03-26,177
2073,22.988663,2073-03-29,179
2074,14.765829,2074-03-14,164
2075,20.318722,2075-02-11,133
2076,23.801823,2076-02-05,127
2077,15.234684,2077-02-22,144
2078,12.655666,2078-01-26,117
2079,13.03736,2079-01-29,120
2080,11.719805,2080-03-23,174
2081,28.11895,2081-01-25,116
2082,4.2438545,2082-01-06,97
2083,10.097491,2083-01-13,104
2084,17.113316,2084-01-05,96
2085,23.139406,2085-01-02,93
2086,10.289057,2086-01-09,100
2087,16.326744,2086-12-22,82
2088,13.66473,2087-12-23,83
2089,12.851685,2088-12-06,66
2090,8.870223,2090-09-27,361
2091,14.111536,2090-12-11,71
2092,11.755138,2092-09-30,365
2093,17.333542,2092-11-16,46
2094,12.392707,2093-11-24,54
2095,10.231348,2094-10-31,30
2096,12.320234,2095-12-02,62
2097,7.298151,2097-09-30,364
