,maxval,maxdate,maxarg
1981,12.909621,1981-03-24,174
1982,11.553966,1982-02-19,141
1983,6.2230034,1983-01-22,113
1984,3.0341408,1984-01-31,122
1985,16.18601,1985-03-25,175
1986,7.0147104,1986-02-06,128
1987,11.057665,1987-03-05,155
1988,10.36727,1988-01-27,118
1989,5.1085477,1988-12-25,85
1990,10.074057,1990-01-19,110
1991,8.310671,1990-12-21,81
1992,4.4019823,1992-01-04,95
1993,8.293558,1993-01-28,119
1994,10.255426,1993-12-09,69
1995,10.010797,1994-12-14,74
1996,5.2319407,1996-01-20,111
1997,6.0382056,1997-09-30,364
1998,8.535863,1997-12-04,64
1999,7.9122944,1998-11-09,39
2000,1.9565064,2000-09-22,357
2001,3.8567553,2000-12-09,69
2002,6.6067142,2002-09-24,358
2003,8.921235,2002-11-14,44
2004,5.7329116,2003-11-03,33
2005,6.567637,2005-09-16,350
2006,6.493591,2005-10-07,6
2007,5.764075,2006-10-12,11
2008,8.063188,2008-09-25,360
2009,6.53282,2008-10-01,0
2010,10.078848,2010-09-09,343
2011,10.418348,2010-10-29,28
2012,6.3384223,2011-10-01,0
2013,2.4652784,2013-07-05,277
2014,8.20877,2013-12-10,70
2015,4.4870114,2015-09-30,364
2016,7.1838317,2015-12-01,61
2017,7.9354486,2016-12-01,61
2018,6.427502,2017-11-27,57
2019,9.318354,2018-11-03,33
2020,4.005541,2019-11-02,32
2021,7.470706,2020-11-05,35
2022,6.5798464,2022-09-13,347
2023,10.2975235,2022-11-26,56
2024,7.052457,2024-09-12,347
2025,6.4398303,2024-10-11,10
2026,4.41304,2025-10-01,0
2027,4.710132,2027-09-30,364
2028,5.9061737,2027-11-23,53
2029,2.9301164,2028-10-30,29
2030,5.5491138,2030-08-19,322
2031,6.2190866,2030-11-09,39
2032,3.9260693,2031-10-21,20
2033,6.3918653,2033-09-26,360
2034,7.3817515,2034-08-27,330
2035,7.461928,2034-10-09,8
2036,2.1997302,2035-10-01,0
2037,6.506963,2037-06-22,264
2038,2.5550401,2038-06-12,254
2039,2.7047958,2039-09-23,357
2040,5.724691,2040-09-17,352
2041,2.08142,2041-05-17,228
2042,1.0491216,2042-09-17,351
2043,2.8152688,2043-05-07,218
2044,1.7866719,2044-06-23,266
2045,2.4931233,2045-07-25,297
2046,11.641641,2046-07-05,277
2047,9.0117655,2047-07-24,296
2048,2.072106,2048-06-02,245
2049,1.4763589,2049-07-27,299
2050,1.4752084,2050-06-24,266
2051,8.60046,2051-05-16,227
2052,1.9466128,2052-03-23,174
2053,4.5270233,2053-04-19,200
2054,3.672369,2054-04-11,192
2055,5.1071978,2055-06-24,266
2056,1.7777684,2056-03-03,154
2057,4.067422,2057-05-23,234
2058,2.0799282,2058-06-03,245
2059,0.8930862,2059-02-16,138
2060,1.2073748,2060-04-05,187
2061,4.872219,2061-02-28,150
2062,4.026173,2062-03-31,181
2063,1.3426218,2063-02-12,134
2064,1.825572,2064-02-01,123
2065,2.2296689,2065-03-14,164
2066,6.371421,2066-02-21,143
2067,1.1058731,2066-12-20,80
2068,0.83607185,2068-01-18,109
2069,1.3950688,2069-01-17,108
2070,5.578594,2070-03-05,155
2071,2.8848937,2071-03-25,175
2072,6.2453504,2072-02-24,146
2073,2.4754188,2072-12-10,70
2074,1.423167,2074-01-05,96
2075,2.3405004,2075-01-04,95
2076,3.1178389,2076-02-02,124
2077,1.9818921,2076-12-15,75
2078,1.7181795,2077-11-22,52
2079,3.1730707,2078-12-06,66
2080,1.6293348,2080-01-17,108
2081,1.376133,2080-11-10,40
2082,0.4136109,2082-09-24,358
2083,0.57559574,2082-11-12,42
2084,1.1558644,2084-01-03,94
2085,1.8875626,2084-12-30,90
2086,2.1033607,2085-10-29,28
2087,0.7562267,2086-11-22,52
2088,0.4180099,2088-01-18,109
2089,0.43540955,2088-12-05,65
2090,0.7256342,2089-12-30,90
2091,0.38068905,2091-08-31,334
2092,0.62376475,2091-11-26,56
2093,0.4955208,2092-11-01,31
2094,0.4868971,2094-09-30,364
2095,0.5044037,2094-10-01,0
2096,0.7815482,2095-10-19,18
2097,2.122684,2097-08-30,333
