,maxval,maxdate,maxarg
1981,32.278625,1981-03-27,177
1982,76.25872,1982-04-12,193
1983,23.55864,1983-03-24,174
1984,11.954715,1984-02-28,150
1985,45.789078,1985-03-26,176
1986,27.812761,1986-03-14,164
1987,39.73635,1987-03-12,162
1988,14.757649,1988-02-02,124
1989,20.065105,1989-02-10,132
1990,44.76012,1990-02-26,148
1991,25.228407,1991-02-09,131
1992,23.026976,1992-01-23,114
1993,33.67341,1993-01-28,119
1994,24.891798,1993-12-12,72
1995,40.85583,1995-01-12,103
1996,30.203674,1996-01-19,110
1997,27.208399,1996-12-23,83
1998,42.517853,1997-12-31,91
1999,23.452633,1999-01-01,92
2000,12.852584,1999-12-03,63
2001,20.879,2000-12-25,85
2002,26.309715,2002-09-30,364
2003,40.832073,2002-12-05,65
2004,39.45947,2003-12-03,63
2005,30.130188,2004-11-30,60
2006,39.59962,2005-12-06,66
2007,31.304716,2006-10-25,24
2008,29.212475,2008-09-30,365
2009,30.844517,2008-10-12,11
2010,31.359539,2010-09-30,364
2011,36.869236,2010-11-22,52
2012,38.791187,2012-09-30,365
2013,40.931965,2012-10-09,8
2014,28.532223,2014-01-25,116
2015,36.817764,2015-02-10,132
2016,22.794691,2016-02-02,124
2017,45.59471,2017-01-20,111
2018,33.213913,2018-01-31,122
2019,26.014414,2019-01-10,101
2020,22.285387,2020-01-01,92
2021,39.96337,2020-12-07,67
2022,23.335403,2022-01-05,96
2023,38.83979,2022-12-24,84
2024,29.590874,2024-01-04,95
2025,38.72894,2024-12-08,68
2026,24.29044,2025-12-05,65
2027,19.88794,2026-11-14,44
2028,25.163647,2028-09-30,365
2029,41.013763,2028-11-03,33
2030,20.150372,2029-10-27,26
2031,20.635283,2030-11-09,39
2032,33.5603,2032-09-27,362
2033,43.564728,2033-09-30,364
2034,47.325546,2033-10-15,14
2035,36.52335,2034-10-22,21
2036,36.756546,2035-10-08,7
2037,31.765562,2037-09-19,353
2038,38.585915,2038-09-08,342
2039,54.44304,2039-09-30,364
2040,54.709793,2039-10-04,3
2041,29.324806,2040-10-03,2
2042,31.930754,2042-08-19,322
2043,25.098936,2043-08-28,331
2044,29.70324,2044-07-31,304
2045,18.081852,2045-08-17,320
2046,52.25663,2046-07-12,284
2047,46.911587,2047-08-11,314
2048,36.965614,2048-07-17,290
2049,24.424984,2049-06-26,268
2050,33.94785,2050-07-23,295
2051,23.98574,2051-06-26,268
2052,19.021757,2052-06-18,261
2053,39.735126,2053-06-16,258
2054,36.159897,2054-07-07,279
2055,23.237228,2055-06-22,264
2056,8.833528,2056-05-01,213
2057,29.65161,2057-06-11,253
2058,24.323877,2058-06-06,248
2059,19.29406,2059-05-03,214
2060,17.743639,2060-05-23,235
2061,22.530169,2061-05-16,227
2062,38.398586,2062-05-19,230
2063,13.655006,2063-05-09,220
2064,27.02753,2064-05-16,228
2065,13.256883,2065-04-07,188
2066,30.642876,2066-03-25,175
2067,8.743049,2067-04-10,191
2068,16.143854,2068-04-02,184
2069,7.7174563,2069-02-24,146
2070,13.890496,2070-03-07,157
2071,31.81085,2071-03-30,180
2072,31.491947,2072-03-26,177
2073,25.758392,2073-03-18,168
2074,21.686214,2074-02-18,140
2075,23.624063,2075-02-09,131
2076,17.186485,2076-02-02,124
2077,18.201042,2077-02-19,141
2078,22.455564,2078-01-31,122
2079,20.127937,2079-01-23,114
2080,10.304215,2080-01-19,110
2081,18.211052,2081-01-25,116
2082,6.852664,2081-12-09,69
2083,9.97267,2082-12-08,68
2084,13.018721,2084-01-02,93
2085,20.56281,2084-12-26,86
2086,8.099963,2085-11-06,36
2087,21.407524,2086-12-10,70
2088,7.417827,2087-12-03,63
2089,8.518417,2088-10-26,25
2090,9.214754,2090-09-26,360
2091,9.110254,2090-10-09,8
2092,11.160011,2091-12-12,72
2093,13.934059,2092-11-11,41
2094,9.382394,2094-09-30,364
2095,16.553907,2094-10-23,22
2096,9.377064,2095-10-24,23
2097,9.205744,2097-09-30,364
