,maxval,maxdate,maxarg
1981,24.871754,1981-03-26,176
1982,59.1384,1982-04-14,195
1983,10.120372,1983-02-22,144
1984,6.868392,1984-03-17,168
1985,47.54267,1985-03-24,174
1986,20.158712,1986-03-13,163
1987,34.563427,1987-03-01,151
1988,14.789642,1988-01-30,121
1989,5.7150183,1988-12-25,85
1990,38.52594,1990-01-20,111
1991,24.006691,1991-01-06,97
1992,36.055145,1992-01-04,95
1993,10.33788,1992-12-14,74
1994,12.117213,1994-09-30,364
1995,23.988445,1995-01-03,94
1996,20.97779,1996-01-19,110
1997,18.54384,1996-11-11,41
1998,32.90115,1997-12-30,90
1999,14.717537,1999-01-04,95
2000,13.177746,2000-01-03,94
2001,9.678623,2001-09-30,364
2002,23.071093,2001-11-21,51
2003,29.750977,2002-12-03,63
2004,31.177505,2003-12-01,61
2005,16.77822,2004-10-04,3
2006,22.244358,2005-11-13,43
2007,18.10998,2006-11-06,36
2008,31.820631,2008-09-28,363
2009,31.162043,2008-10-01,0
2010,20.610151,2010-09-17,351
2011,24.25773,2010-11-04,34
2012,31.668524,2012-09-10,345
2013,27.602112,2012-10-01,0
2014,14.915387,2014-01-20,111
2015,18.85604,2015-02-10,132
2016,12.610558,2015-11-23,53
2017,26.335535,2016-12-01,61
2018,11.977312,2017-11-24,54
2019,13.522173,2018-11-12,42
2020,9.008272,2020-09-30,365
2021,36.8769,2020-11-06,36
2022,18.593342,2022-09-30,364
2023,41.36648,2022-11-29,59
2024,14.547081,2024-01-05,96
2025,11.321996,2025-09-29,363
2026,21.215305,2025-12-05,65
2027,7.4443254,2027-09-30,364
2028,8.306579,2028-09-30,365
2029,17.638117,2028-11-04,34
2030,11.871733,2029-10-06,5
2031,4.1603336,2031-09-27,361
2032,33.004704,2032-09-26,361
2033,36.49616,2033-09-30,364
2034,39.269356,2033-10-09,8
2035,18.958406,2034-10-09,8
2036,14.252457,2035-10-01,0
2037,28.455015,2037-09-17,351
2038,25.917109,2038-09-26,360
2039,26.883158,2039-08-11,314
2040,21.36939,2039-10-03,2
2041,9.347362,2040-10-01,0
2042,8.713915,2042-08-02,305
2043,3.447905,2043-06-18,260
2044,13.151778,2044-07-17,290
2045,15.1405,2045-07-25,297
2046,18.297325,2046-06-24,266
2047,36.75609,2047-07-21,293
2048,42.073174,2048-07-06,279
2049,10.338736,2049-06-25,267
2050,16.9954,2050-07-25,297
2051,9.397529,2051-05-19,230
2052,4.7828207,2052-03-26,177
2053,11.007453,2053-06-15,257
2054,16.113436,2054-06-19,261
2055,6.526501,2055-06-02,244
2056,3.3017423,2056-06-17,260
2057,20.280548,2057-07-10,282
2058,17.292381,2058-05-13,224
2059,12.253426,2059-04-30,211
2060,12.927407,2060-04-22,204
2061,10.867434,2061-05-15,226
2062,28.532764,2062-03-30,180
2063,14.417359,2063-04-25,206
2064,4.1901217,2064-04-19,201
2065,3.3032596,2065-03-29,179
2066,16.932892,2066-03-07,157
2067,10.980374,2067-04-03,184
2068,5.791058,2068-03-31,182
2069,10.023928,2069-04-11,192
2070,10.809053,2070-03-05,155
2071,17.554176,2071-03-29,179
2072,25.187445,2072-03-08,159
2073,5.022037,2072-12-10,70
2074,16.623426,2074-02-18,140
2075,8.667531,2075-01-17,108
2076,12.162259,2076-01-29,120
2077,7.1451993,2077-02-20,142
2078,2.4284236,2077-11-19,49
2079,12.76148,2079-01-20,111
2080,2.2623882,2079-12-03,63
2081,6.018538,2080-11-28,58
2082,3.7199473,2081-11-22,52
2083,3.5603244,2082-11-17,47
2084,6.794305,2083-12-08,68
2085,7.4995646,2084-12-26,86
2086,2.7170203,2085-10-29,28
2087,14.926052,2086-11-26,56
2088,7.1807404,2087-12-06,66
2089,2.447934,2089-09-30,364
2090,7.8664765,2090-09-26,360
2091,7.7262373,2090-10-01,0
2092,7.559014,2091-12-12,72
2093,3.485795,2093-09-30,364
2094,5.9142094,2094-09-30,364
2095,12.520673,2094-10-17,16
2096,3.0429802,2095-10-18,17
2097,2.6739917,2097-09-30,364
