,maxval,maxdate,maxarg
1981,18.967552,1981-03-28,178
1982,25.00355,1982-03-17,167
1983,14.725494,1983-03-27,177
1984,15.462673,1984-03-22,173
1985,23.776087,1985-03-27,177
1986,18.297676,1986-03-26,176
1987,20.925081,1987-03-06,156
1988,7.255642,1988-02-10,132
1989,15.320082,1989-02-01,123
1990,22.119493,1990-02-28,150
1991,20.765005,1991-02-16,138
1992,18.205355,1992-02-13,135
1993,25.887491,1993-02-05,127
1994,15.675963,1994-01-12,103
1995,15.302865,1995-01-12,103
1996,17.607994,1996-01-20,111
1997,18.560686,1996-12-25,85
1998,20.747124,1998-01-14,105
1999,11.089741,1998-12-27,87
2000,16.01871,1999-12-03,63
2001,15.806885,2000-12-26,86
2002,17.695826,2001-12-31,91
2003,26.860672,2003-01-03,94
2004,14.678821,2003-12-05,65
2005,15.773115,2004-12-01,61
2006,25.299421,2005-11-24,54
2007,16.187817,2006-11-24,54
2008,14.7079935,2007-10-31,30
2009,15.321302,2008-10-16,15
2010,14.447936,2009-10-20,19
2011,26.654375,2011-09-30,364
2012,26.932974,2011-10-07,6
2013,20.50855,2012-10-12,11
2014,17.76716,2014-01-25,116
2015,20.019646,2015-01-28,119
2016,21.188957,2016-02-05,127
2017,23.957424,2017-01-22,113
2018,18.952414,2018-02-01,123
2019,21.975893,2019-01-11,102
2020,16.084457,2019-12-26,86
2021,19.761225,2020-12-11,71
2022,22.077444,2021-12-29,89
2023,23.442553,2022-12-22,82
2024,17.723312,2024-01-05,96
2025,22.035948,2024-12-09,69
2026,16.3061,2025-12-03,63
2027,15.527649,2026-11-17,47
2028,12.821652,2028-09-30,365
2029,20.794918,2028-11-20,50
2030,19.716606,2029-11-25,55
2031,17.544699,2030-11-05,35
2032,15.464658,2032-09-30,365
2033,19.226133,2033-09-30,364
2034,22.597025,2033-10-16,15
2035,25.022814,2035-09-30,364
2036,29.21579,2035-10-30,29
2037,19.095545,2037-09-28,362
2038,21.577768,2038-09-29,363
2039,28.363464,2039-09-30,364
2040,28.406166,2039-10-05,4
2041,20.417027,2041-09-07,341
2042,15.207242,2042-08-20,323
2043,22.136135,2043-08-28,331
2044,17.708868,2044-08-28,332
2045,10.095188,2045-08-19,322
2046,21.871267,2046-08-10,313
2047,22.247917,2047-08-17,320
2048,22.456003,2048-08-20,324
2049,17.863098,2049-06-26,268
2050,16.837486,2050-08-03,306
2051,18.926657,2051-07-25,297
2052,12.310113,2052-07-11,284
2053,20.276983,2053-06-27,269
2054,17.71707,2054-07-13,285
2055,14.822508,2055-06-22,264
2056,12.764698,2056-06-03,246
2057,17.17567,2057-06-11,253
2058,20.648024,2058-06-08,250
2059,18.63706,2059-05-30,241
2060,15.65167,2060-05-26,238
2061,14.951691,2061-04-15,196
2062,18.103914,2062-05-06,217
2063,11.984238,2063-05-12,223
2064,10.573739,2064-04-21,203
2065,13.803044,2065-04-08,189
2066,17.103636,2066-05-09,220
2067,11.670344,2067-05-14,225
2068,12.856188,2068-04-13,195
2069,8.486631,2069-02-25,147
2070,7.7013946,2070-03-21,171
2071,14.321462,2071-03-26,176
2072,14.600806,2072-03-21,172
2073,22.2434,2073-03-19,169
2074,15.254199,2074-04-04,185
2075,13.68114,2075-02-14,136
2076,11.7258215,2076-01-30,121
2077,16.456224,2077-02-19,141
2078,18.935734,2078-02-01,123
2079,13.231775,2079-01-30,121
2080,11.7485695,2080-01-22,113
2081,11.999475,2081-01-25,116
2082,9.282488,2082-01-07,98
2083,11.219727,2083-01-14,105
2084,13.603128,2084-01-05,96
2085,14.143548,2085-01-01,92
2086,14.302876,2086-01-08,99
2087,19.514902,2087-01-15,106
2088,7.058861,2087-12-28,88
2089,13.644385,2088-12-06,66
2090,7.7899194,2090-09-27,361
2091,12.033073,2090-12-11,71
2092,12.936129,2092-09-30,365
2093,19.994446,2092-11-13,43
2094,13.1476345,2093-12-03,63
2095,11.982395,2094-10-25,24
2096,8.386452,2095-10-25,24
2097,10.1607485,2097-09-30,364
