,maxval,maxdate,maxarg
1981,16.720434,1981-03-24,174
1982,13.487474,1982-02-21,143
1983,8.823904,1983-01-25,116
1984,1.915173,1983-12-11,71
1985,13.090775,1985-03-06,156
1986,6.109258,1986-02-07,129
1987,10.405934,1987-02-04,126
1988,8.433564,1988-01-27,118
1989,4.685716,1988-12-25,85
1990,12.174331,1990-01-18,109
1991,9.908726,1990-12-12,72
1992,3.4539695,1991-11-25,55
1993,10.755961,1992-12-15,75
1994,11.585931,1993-12-11,71
1995,14.3696375,1995-01-03,94
1996,3.5651064,1995-11-30,60
1997,8.926151,1997-09-30,364
1998,13.371911,1997-12-03,63
1999,9.076044,1998-11-08,38
2000,2.7626579,1999-11-17,47
2001,3.150864,2001-09-29,363
2002,7.3857164,2002-08-27,330
2003,6.968402,2002-10-31,30
2004,6.7806754,2004-09-28,363
2005,10.612706,2005-09-17,351
2006,10.110981,2006-09-29,363
2007,11.250859,2006-10-12,11
2008,8.001117,2008-09-22,357
2009,6.4650187,2008-10-01,0
2010,12.303758,2010-09-09,343
2011,15.80354,2011-09-25,359
2012,15.653979,2011-10-01,0
2013,1.4061782,2013-07-05,277
2014,12.951814,2013-12-11,71
2015,6.7160954,2015-01-26,117
2016,9.033548,2015-12-15,75
2017,10.762391,2016-12-04,64
2018,9.210973,2017-11-28,58
2019,7.1001062,2018-11-03,33
2020,5.974478,2019-11-02,32
2021,11.752647,2020-11-08,38
2022,2.5463386,2022-08-19,322
2023,6.2535577,2022-11-25,55
2024,10.233058,2024-09-30,365
2025,10.96278,2024-10-11,10
2026,8.396478,2025-10-02,1
2027,7.2071486,2027-09-30,364
2028,7.2774115,2027-10-07,6
2029,1.377525,2028-10-24,23
2030,7.20254,2030-09-14,348
2031,6.4524527,2031-09-18,352
2032,4.6547184,2031-10-01,0
2033,5.123381,2033-07-14,286
2034,10.386904,2034-09-30,364
2035,10.77333,2034-10-09,8
2036,1.5291896,2036-08-16,320
2037,4.9551816,2037-08-01,304
2038,1.2362497,2038-07-01,273
2039,2.605657,2039-05-21,232
2040,6.0942626,2040-08-09,313
2041,3.2225537,2041-05-21,232
2042,1.5892206,2042-07-09,281
2043,1.6513854,2043-05-07,218
2044,6.1560593,2044-06-01,244
2045,2.8795462,2045-07-21,293
2046,8.203122,2046-07-04,276
2047,6.0121427,2047-06-06,248
2048,1.9046859,2048-06-02,245
2049,1.6130452,2049-04-04,185
2050,2.3305852,2050-04-07,188
2051,7.68457,2051-05-15,226
2052,2.5830345,2052-03-23,174
2053,3.9943583,2053-04-23,204
2054,4.105886,2054-04-08,189
2055,5.1444087,2055-05-01,212
2056,1.7145702,2056-03-03,154
2057,7.320922,2057-05-22,233
2058,1.1470847,2058-06-01,243
2059,1.6373427,2059-04-24,205
2060,1.2810551,2060-04-05,187
2061,7.4750304,2061-03-12,162
2062,6.093669,2062-03-27,177
2063,1.6438766,2063-02-12,134
2064,2.3699677,2064-02-01,123
2065,3.6796672,2065-03-10,160
2066,3.5071654,2066-02-18,140
2067,1.0348426,2066-12-19,79
2068,0.5371548,2068-01-19,110
2069,1.6725338,2069-01-19,110
2070,5.2182107,2070-02-19,141
2071,3.3427396,2071-03-24,174
2072,5.554921,2072-02-18,140
2073,2.2889132,2073-03-13,163
2074,4.134317,2074-01-06,97
2075,2.3945105,2074-11-03,33
2076,2.1523516,2076-02-02,124
2077,2.485992,2076-12-10,70
2078,2.6914785,2077-11-20,50
2079,3.6724384,2078-11-21,51
2080,1.1209797,2079-12-30,90
2081,1.2016804,2080-11-10,40
2082,0.36743727,2081-11-30,60
2083,1.0408906,2082-12-21,81
2084,2.187306,2083-12-04,64
2085,2.1027107,2084-12-27,87
2086,3.5479226,2085-10-30,29
2087,0.6701687,2086-10-23,22
2088,0.7878289,2087-11-29,59
2089,1.3010503,2088-11-30,60
2090,0.38749468,2089-10-01,0
2091,0.56037164,2091-09-01,335
2092,1.6559906,2091-11-26,56
2093,0.35189366,2092-10-23,22
2094,0.67199814,2094-09-30,364
2095,1.1988971,2095-08-09,312
2096,0.57334363,2095-10-07,6
2097,1.6608655,2097-08-16,319
