,maxval,maxdate,maxarg
1981,44.04764,1981-03-24,174
1982,30.370022,1982-02-20,142
1983,15.51747,1983-01-21,112
1984,6.57203,1983-12-24,84
1985,36.194748,1985-03-14,164
1986,11.178591,1986-02-05,127
1987,28.947144,1987-03-11,161
1988,46.086792,1988-02-23,145
1989,7.3406615,1989-02-09,131
1990,25.580853,1990-01-22,113
1991,10.385775,1990-11-03,33
1992,4.3148623,1992-01-03,94
1993,17.147764,1992-12-14,74
1994,17.134993,1993-12-08,68
1995,39.263714,1995-01-15,106
1996,13.4861145,1996-01-21,112
1997,8.750722,1997-09-30,364
1998,16.98575,1997-12-04,64
1999,30.300747,1998-11-08,38
2000,10.351888,2000-09-16,351
2001,12.367881,2000-12-19,79
2002,9.763908,2002-08-27,330
2003,14.510267,2003-08-14,317
2004,18.582594,2003-11-04,34
2005,32.920574,2004-12-02,62
2006,19.743477,2006-09-30,364
2007,22.875498,2006-11-07,37
2008,19.414398,2007-10-30,29
2009,13.8728075,2009-09-30,364
2010,18.165915,2010-09-08,342
2011,14.215545,2010-10-20,19
2012,10.979185,2012-08-30,334
2013,3.4376795,2012-10-10,9
2014,4.278625,2013-12-07,67
2015,7.869496,2015-02-05,127
2016,4.140969,2015-11-28,58
2017,11.348437,2016-12-03,63
2018,28.000805,2018-01-31,122
2019,16.179516,2018-11-04,34
2020,8.726415,2020-09-30,365
2021,22.257153,2020-11-03,33
2022,7.518597,2022-01-05,96
2023,26.522955,2022-11-25,55
2024,12.339851,2024-09-12,347
2025,11.892284,2025-09-27,361
2026,21.656326,2025-12-01,61
2027,9.739018,2027-08-24,327
2028,10.684043,2027-10-29,28
2029,1.5584792,2028-10-29,28
2030,12.28618,2030-08-17,320
2031,14.264209,2030-11-22,52
2032,12.370546,2031-10-25,24
2033,9.388887,2033-09-12,346
2034,4.291866,2033-10-01,0
2035,5.815155,2034-10-24,23
2036,4.283114,2036-08-19,323
2037,9.591113,2037-06-22,264
2038,1.2546905,2038-06-15,257
2039,6.265699,2039-09-22,356
2040,5.08636,2040-08-30,334
2041,4.101304,2041-06-27,269
2042,1.542682,2042-07-09,281
2043,1.2835993,2043-05-09,220
2044,2.3434043,2044-05-28,240
2045,11.724741,2045-07-26,298
2046,13.906152,2046-06-21,263
2047,11.059207,2047-07-24,296
2048,3.3898172,2048-06-09,252
2049,5.6990094,2049-04-04,185
2050,4.5726333,2050-06-28,270
2051,4.483702,2051-05-16,227
2052,4.4643836,2052-04-30,212
2053,7.036515,2053-04-18,199
2054,0.8091031,2054-06-14,256
2055,4.890671,2055-06-29,271
2056,2.348619,2056-03-01,152
2057,12.532193,2057-05-24,235
2058,1.6146125,2058-07-09,281
2059,1.5578547,2059-04-29,210
2060,0.44735795,2060-04-07,189
2061,2.7275026,2061-03-11,161
2062,5.1193976,2062-03-31,181
2063,2.3589413,2063-02-10,132
2064,2.8744457,2064-02-01,123
2065,3.8040843,2065-04-01,182
2066,8.647072,2066-03-10,160
2067,1.0631568,2066-12-20,80
2068,0.0036888504,2067-12-31,91
2069,8.280933e-05,2069-01-16,107
2070,7.289908,2070-03-05,155
2071,1.5738596,2071-03-29,179
2072,6.6963663,2072-02-21,143
2073,2.0581398,2073-02-22,144
2074,1.0028392,2074-01-04,95
2075,2.633101,2075-03-09,159
2076,5.1563573,2076-01-11,102
2077,0.5785424,2076-12-08,68
2078,0.6278131,2077-12-05,65
2079,1.4174849,2079-01-22,113
2080,2.1282976,2079-12-06,66
2081,4.109154,2080-11-29,59
2082,0.51777726,2081-11-23,53
2083,0.013481428,2082-12-19,79
2084,4.1657953,2083-12-14,74
2085,2.1340656,2084-11-27,57
2086,0.7503496,2085-10-14,13
2087,0.5828442,2087-09-29,363
2088,1.8934414e-06,2087-12-08,68
2089,5.383096e-05,2088-10-26,25
2090,0.41128668,2089-10-08,7
2091,5.163501e-06,2091-08-18,321
2092,5.410356e-05,2091-12-10,70
2093,0.17985028,2092-11-01,31
2094,0.34067005,2094-09-27,361
2095,0.247922,2095-07-11,283
2096,2.3776073,2095-11-11,41
2097,0.78960913,2097-08-13,316
