,maxval,maxdate,maxarg
1981,71.73805,1981-04-05,186
1982,48.134727,1982-03-05,155
1983,32.200832,1983-01-21,112
1984,19.698889,1984-01-31,122
1985,68.10637,1985-03-25,175
1986,27.234232,1986-02-01,123
1987,58.136574,1987-03-30,180
1988,70.30487,1988-02-23,145
1989,14.191009,1989-02-09,131
1990,51.14833,1990-01-21,112
1991,27.065052,1991-01-01,92
1992,12.24191,1992-01-04,95
1993,33.568417,1993-01-28,119
1994,32.525032,1994-01-07,98
1995,64.20312,1995-01-15,106
1996,29.24065,1996-01-21,112
1997,17.52448,1997-09-30,364
1998,43.84645,1997-12-09,69
1999,47.361984,1998-11-08,38
2000,17.874645,2000-09-22,357
2001,33.897205,2000-12-19,79
2002,19.215813,2002-08-27,330
2003,30.706467,2002-10-27,26
2004,34.655636,2003-12-10,70
2005,51.88452,2004-12-02,62
2006,31.663183,2006-09-30,364
2007,39.677357,2006-11-07,37
2008,41.70175,2007-10-31,30
2009,27.330019,2008-10-01,0
2010,34.947987,2010-09-24,358
2011,36.107594,2010-10-23,22
2012,27.538113,2012-09-08,343
2013,22.018053,2012-10-11,10
2014,9.055647,2013-12-08,68
2015,11.539125,2014-11-27,57
2016,18.89954,2015-11-28,58
2017,24.9518,2017-01-20,111
2018,44.303947,2018-02-06,128
2019,26.127813,2018-11-04,34
2020,21.877865,2020-01-09,100
2021,39.652946,2020-12-05,65
2022,19.09426,2022-09-28,362
2023,49.70971,2022-11-26,56
2024,19.50609,2024-09-13,348
2025,17.652544,2024-10-13,12
2026,38.197464,2025-12-03,63
2027,22.797216,2027-09-30,364
2028,29.905754,2027-12-16,76
2029,2.3039956,2028-10-30,29
2030,22.416037,2030-08-18,321
2031,37.776752,2030-11-22,52
2032,24.95877,2031-10-26,25
2033,20.259207,2033-09-23,357
2034,18.199799,2033-10-02,1
2035,17.178143,2034-10-24,23
2036,7.8814707,2036-08-22,326
2037,17.072784,2037-06-22,264
2038,3.372302,2038-06-19,261
2039,9.682757,2039-09-22,356
2040,17.681618,2040-09-16,351
2041,10.480322,2040-10-01,0
2042,3.4813282,2042-07-09,281
2043,3.156203,2043-05-10,221
2044,6.841293,2044-05-12,224
2045,15.331471,2045-07-26,298
2046,18.148413,2046-07-05,277
2047,17.958849,2047-07-24,296
2048,5.3231688,2048-06-09,252
2049,5.639043,2049-04-07,188
2050,6.216167,2050-06-29,271
2051,18.749407,2051-06-22,264
2052,5.8360314,2052-04-30,212
2053,12.523048,2053-04-19,200
2054,2.5808702,2054-04-07,188
2055,17.977165,2055-06-28,270
2056,4.2539105,2056-04-24,206
2057,19.823341,2057-05-24,235
2058,4.5816555,2058-07-09,281
2059,4.0947347,2059-02-27,149
2060,3.072773,2060-02-18,140
2061,7.981894,2061-03-11,161
2062,13.741012,2062-03-04,154
2063,5.2128425,2063-02-12,134
2064,3.4985743,2064-02-01,123
2065,7.4382544,2065-04-01,182
2066,14.454976,2066-03-10,160
2067,1.7141688,2066-12-19,79
2068,0.6829961,2068-01-17,108
2069,0.7084865,2069-01-15,106
2070,21.263351,2070-03-05,155
2071,6.4426126,2071-03-29,179
2072,7.7836533,2072-02-23,145
2073,5.1784916,2073-02-22,144
2074,3.9371274,2074-02-15,137
2075,6.889879,2075-01-04,95
2076,8.577838,2076-02-01,123
2077,2.126787,2076-12-06,66
2078,1.5408238,2077-12-05,65
2079,3.7163744,2078-11-27,57
2080,4.0052524,2079-12-05,65
2081,5.886359,2080-11-29,59
2082,2.1411107,2081-11-24,54
2083,0.3088899,2082-11-11,41
2084,3.2715611,2083-12-14,74
2085,7.5036616,2084-11-27,57
2086,2.5969498,2085-10-15,14
2087,0.7512131,2087-09-29,363
2088,0.011662042,2088-09-11,346
2089,0.04713823,2088-12-04,64
2090,2.913905,2089-10-27,26
2091,0.011098499,2091-08-31,334
2092,0.5393888,2091-10-08,7
2093,0.56229275,2092-10-31,30
2094,0.97227615,2094-09-27,361
2095,0.3723447,2094-10-01,0
2096,2.7379436,2095-11-11,41
2097,1.5413101,2097-08-14,317
