,maxval,maxdate,maxarg
1981,21.603918,1981-03-28,178
1982,17.558184,1982-03-07,157
1983,15.797636,1983-03-23,173
1984,14.55608,1984-02-03,125
1985,27.92589,1985-03-21,171
1986,14.348005,1986-02-20,142
1987,20.43067,1987-03-09,159
1988,18.95642,1988-02-23,145
1989,16.306538,1989-02-09,131
1990,19.06103,1990-02-20,142
1991,17.683712,1991-01-28,119
1992,15.310449,1992-01-20,111
1993,13.685855,1993-02-05,127
1994,18.757063,1994-01-09,100
1995,21.460894,1995-01-15,106
1996,15.254012,1996-01-20,111
1997,11.567285,1996-11-18,48
1998,20.657125,1997-12-24,84
1999,13.816375,1998-11-25,55
2000,11.408945,1999-12-09,69
2001,15.534534,2000-12-21,81
2002,13.768509,2001-11-13,43
2003,18.916656,2002-11-28,58
2004,16.383701,2003-12-11,71
2005,18.647892,2004-12-01,61
2006,19.521751,2005-11-17,47
2007,20.739641,2006-11-08,38
2008,14.116456,2007-10-31,30
2009,16.408081,2008-10-24,23
2010,17.474403,2010-09-24,358
2011,18.849258,2011-09-30,364
2012,18.866327,2011-10-02,1
2013,16.566742,2012-10-12,11
2014,12.533199,2014-01-09,100
2015,16.071344,2015-02-08,130
2016,12.70636,2016-01-13,104
2017,20.147367,2017-01-22,113
2018,22.036102,2018-02-03,125
2019,13.237192,2018-12-09,69
2020,15.045052,2019-11-26,56
2021,20.121952,2020-12-17,77
2022,14.130444,2022-01-09,100
2023,21.735504,2022-11-27,57
2024,9.630767,2024-09-30,365
2025,13.90243,2024-11-22,52
2026,15.147836,2025-12-02,62
2027,15.008012,2026-11-17,47
2028,14.292672,2027-12-17,77
2029,13.131401,2028-10-30,29
2030,10.805624,2030-09-30,364
2031,15.092168,2030-11-22,52
2032,14.306316,2031-11-01,31
2033,15.062362,2033-09-26,360
2034,16.209373,2034-09-28,362
2035,20.263626,2035-09-19,353
2036,18.856693,2035-10-01,0
2037,15.780178,2037-08-18,321
2038,8.742363,2038-08-03,306
2039,15.552711,2039-09-30,364
2040,15.926311,2039-10-01,0
2041,16.119217,2041-08-14,317
2042,9.304156,2041-10-01,0
2043,9.349215,2043-08-04,307
2044,11.841948,2044-07-13,286
2045,7.0491424,2045-08-18,321
2046,13.681089,2046-07-27,299
2047,11.251531,2047-08-10,313
2048,8.306153,2048-06-21,264
2049,9.873644,2049-06-28,270
2050,5.3890696,2050-07-07,279
2051,12.647397,2051-06-25,267
2052,4.752265,2052-05-24,236
2053,13.600187,2053-06-11,253
2054,8.036452,2054-06-23,265
2055,11.687267,2055-07-02,274
2056,3.8469584,2056-05-21,233
2057,11.981798,2057-06-26,268
2058,5.7059026,2058-05-17,228
2059,4.1153135,2059-05-01,212
2060,3.7956085,2060-04-07,189
2061,11.621815,2061-03-12,162
2062,12.942187,2062-05-09,220
2063,6.0923705,2063-04-02,183
2064,4.358617,2064-03-23,174
2065,12.703257,2065-04-08,189
2066,11.30334,2066-03-12,162
2067,3.8060162,2067-01-13,104
2068,6.5859385,2068-03-06,157
2069,5.5450597,2069-02-24,146
2070,9.718914,2070-03-25,175
2071,2.6189141,2071-03-30,180
2072,7.055082,2072-02-27,149
2073,8.735476,2073-03-13,163
2074,2.2685835,2074-01-22,113
2075,13.817672,2075-02-16,138
2076,9.632045,2076-01-28,119
2077,2.1753972,2076-12-16,76
2078,4.9803424,2078-01-12,103
2079,4.436697,2078-12-20,80
2080,4.8384705,2080-01-21,112
2081,6.750721,2080-12-03,63
2082,3.2427669,2081-12-07,67
2083,3.2581987,2082-12-08,68
2084,12.378031,2084-01-04,95
2085,6.6440563,2084-12-31,91
2086,3.0806768,2085-11-01,31
2087,2.3529618,2086-12-11,71
2088,0.81634444,2087-12-16,76
2089,1.3991024,2088-10-28,27
2090,3.92377,2090-09-27,361
2091,3.8150878,2090-10-08,7
2092,2.9626372,2092-09-28,363
2093,3.7498558,2092-10-31,30
2094,1.4114171,2094-09-30,364
2095,2.1365423,2095-08-15,318
2096,5.39744,2095-11-17,47
2097,5.024424,2097-09-20,354
