,maxval,maxdate,maxarg
1981,42.99797,1981-03-24,174
1982,32.074394,1982-03-05,155
1983,27.16491,1983-01-22,113
1984,19.298874,1984-01-31,122
1985,46.65298,1985-03-08,158
1986,16.121815,1986-01-31,122
1987,36.83335,1987-03-26,176
1988,35.816757,1988-02-23,145
1989,16.609333,1989-02-09,131
1990,30.150238,1990-01-23,114
1991,23.545874,1991-01-02,93
1992,7.155225,1992-01-05,96
1993,22.555742,1993-01-28,119
1994,41.013218,1994-01-07,98
1995,45.547653,1995-01-15,106
1996,19.694914,1996-01-18,109
1997,15.877604,1997-09-30,364
1998,31.374306,1997-12-05,65
1999,24.564688,1998-11-09,39
2000,14.810002,2000-09-23,358
2001,25.34271,2000-12-06,66
2002,21.27629,2002-09-24,358
2003,23.878157,2002-11-13,43
2004,24.801254,2004-09-23,358
2005,43.071266,2004-12-02,62
2006,28.358013,2006-09-30,364
2007,35.636986,2006-11-07,37
2008,29.368868,2007-10-25,24
2009,18.08355,2009-09-30,364
2010,20.651617,2010-09-23,357
2011,28.24768,2011-09-30,364
2012,28.42284,2011-10-01,0
2013,15.352261,2012-10-17,16
2014,12.835106,2013-12-08,68
2015,15.16644,2014-11-29,59
2016,13.563419,2016-01-07,98
2017,18.606075,2017-01-23,114
2018,24.758493,2017-11-03,33
2019,18.291876,2018-11-05,35
2020,22.967152,2020-01-09,100
2021,25.630667,2020-12-05,65
2022,18.609028,2022-09-30,364
2023,35.133854,2022-11-27,57
2024,17.306273,2024-09-12,347
2025,17.449448,2024-10-15,14
2026,15.582286,2025-12-05,65
2027,13.149317,2027-09-30,364
2028,15.208191,2027-11-27,57
2029,4.0145855,2028-10-01,0
2030,14.482986,2030-08-17,320
2031,13.269461,2031-09-16,350
2032,17.387178,2031-10-27,26
2033,8.826857,2033-09-24,358
2034,12.039797,2034-09-19,353
2035,16.374561,2035-08-20,323
2036,9.609319,2035-10-01,0
2037,13.078814,2037-08-17,320
2038,4.3417063,2038-06-29,271
2039,11.731487,2039-09-22,356
2040,19.043251,2040-08-08,312
2041,11.255601,2040-10-01,0
2042,10.399892,2042-07-12,284
2043,6.2338815,2043-05-30,241
2044,4.465956,2044-05-28,240
2045,8.538586,2045-07-26,298
2046,14.088033,2046-07-06,278
2047,9.404561,2047-08-10,313
2048,8.698209,2048-06-20,263
2049,4.596486,2049-06-27,269
2050,4.3837605,2050-06-28,270
2051,14.071349,2051-06-24,266
2052,10.0874195,2052-05-01,213
2053,13.884602,2053-04-26,207
2054,2.80701,2054-04-09,190
2055,5.0858355,2055-05-08,219
2056,3.964682,2056-04-24,206
2057,7.878821,2057-05-22,233
2058,3.111472,2058-05-06,217
2059,1.9265202,2059-04-11,192
2060,2.5580654,2060-04-12,194
2061,8.1053295,2061-03-09,159
2062,14.56062,2062-04-06,187
2063,3.2072384,2063-02-16,138
2064,7.831476,2064-02-10,132
2065,7.838132,2065-04-08,189
2066,15.349753,2066-03-10,160
2067,4.7681723,2067-02-26,148
2068,2.9322052,2068-01-19,110
2069,0.508026,2069-01-15,106
2070,6.608249,2070-03-23,173
2071,1.1364315,2071-03-27,177
2072,6.9751782,2072-02-26,148
2073,2.9949386,2073-03-12,162
2074,1.367407,2074-01-05,96
2075,6.827361,2075-01-21,112
2076,10.806206,2076-01-28,119
2077,2.1670465,2076-12-14,74
2078,2.3491933,2078-01-11,102
2079,2.0668097,2078-11-27,57
2080,2.9360538,2079-12-10,70
2081,7.535385,2080-12-01,61
2082,2.9297457,2081-11-25,55
2083,0.7289773,2082-11-21,51
2084,4.33064,2083-12-16,76
2085,7.042028,2084-11-28,58
2086,2.8205686,2085-10-17,16
2087,1.5940133,2086-10-30,29
2088,1.5887781,2087-10-08,7
2089,1.5620548,2088-10-29,28
2090,2.006675,2089-10-28,27
2091,1.6099283,2091-09-18,352
2092,0.87840027,2091-10-15,14
2093,2.0231078,2092-11-14,44
2094,1.6422665,2094-09-30,364
2095,2.2627974,2094-10-02,1
2096,2.489827,2095-11-10,40
2097,1.7711601,2097-08-30,333
